 	objlabelArray	fx0array	fy0array	fz0array	fx1array	fy1array	fz1array
1	obj1-val2657	120.54	25.75	1.15	116.28	24.76	4.26
2	obj2-val3100	144.48	19.84	1.80	137.76	24.27	3.61
3	obj3-val3542	125.30	21.16	2.46	121.69	22.63	4.59
4	obj4-val3985	161.38	29.03	2.46	170.23	28.37	4.92
5	obj5-val4428	114.64	28.04	1.64	114.96	30.83	5.41
6	obj6-val4871	154.16	29.52	1.97	157.44	33.29	4.76
7	obj7-val5314	99.38	29.03	2.79	105.12	27.22	4.59
8	obj8-val5756	105.78	38.70	0	98.24	30.83	6.89
9	obj9-val6642	121.85	35.42	1.80	115.95	42.97	6.07
10	obj10-val7085	135.79	17.38	2.62	144.81	9.35	6.23
11	obj11-val7528	143.83	17.55	2.30	152.68	10.66	7.22
12	obj12-val7970	121.69	31.32	2.95	129.89	32.80	5.25
13	obj13-val8856	130.38	18.04	2.79	134.97	10.99	6.40
14	obj14-val9299	138.42	9.18	2.30	132.68	4.76	5.41
15	obj15-val9742	159.57	31.49	2.46	164	38.21	7.38
16	obj16-val10627	57.56	19.19	3.44	63.14	17.22	6.56
17	obj17-val11070	133.66	29.03	2.62	135.30	36.24	7.38
18	obj18-val11513	116.60	33.95	3.77	128.74	36.90	6.23
19	obj19-val11956	108.90	18.20	3.94	104.30	15.58	5.74
20	obj20-val12399	122.51	17.22	3.12	124.31	11.32	6.23
21	obj21-val12841	144.81	20.99	1.80	149.57	14.43	8.53
22	obj22-val13284	117.26	18.70	2.62	117.92	11.32	6.89
23	obj23-val13727	135.46	16.73	2.46	139.24	13.28	7.87
24	obj24-val14170	174.33	19.84	3.77	179.42	20.99	8.36
25	obj25-val14613	134.32	25.91	2.62	130.22	29.85	6.72
26	obj26-val15055	159.24	28.21	2.79	164.98	30.83	9.35
27	obj27-val15498	113.98	20.34	2.46	113.16	15.09	8.20
28	obj28-val15941	65.44	19.35	3.44	72.98	16.56	7.05
29	obj29-val16384	83.97	30.67	4.10	92.66	30.01	7.54
30	obj30-val16827	75.28	22.63	3.28	69.54	23.45	8.04
31	obj31-val17269	137.92	28.37	2.46	136.94	33.29	8.04
32	obj32-val17712	149.57	27.22	2.46	144.32	34.77	8.36
33	obj33-val18155	141.53	28.70	2.13	140.38	34.44	8.20
34	obj34-val18598	128.41	20.66	2.95	134.81	12.46	7.87
35	obj35-val19041	53.96	25.91	3.94	44.61	22.96	7.22
36	obj36-val19483	141.86	27.72	2.13	143.50	32.64	8.86
37	obj37-val19926	151.21	20.50	2.13	156.13	18.53	9.02
38	obj38-val20369	108.08	22.63	3.12	108.08	16.07	6.72
39	obj39-val20812	122.84	25.91	2.46	128.25	24.44	9.18
40	obj40-val21255	83.64	26.08	4.26	92.33	23.29	6.89
41	obj41-val21697	122.34	32.14	3.28	134.15	34.93	7.54
42	obj42-val22140	72.65	35.26	5.74	63.30	34.28	7.05
43	obj43-val22583	129.07	23.12	2.79	128.74	15.25	7.87
44	obj44-val23026	129.89	22.80	2.62	132.84	16.40	8.04
45	obj45-val23469	127.92	23.78	2.62	128.41	31.32	8.36
46	obj46-val23911	115.46	33.13	3.77	127.43	35.75	7.54
47	obj47-val24354	54.78	13.94	6.07	46.58	15.42	6.56
48	obj48-val24797	137.60	23.45	3.12	137.43	17.71	9.02
49	obj49-val25240	94.14	23.12	3.77	89.54	19.68	6.72
50	obj50-val25683	150.55	25.91	2.30	154.32	30.01	9.02
51	obj51-val26125	60.84	29.19	4.10	53.79	34.11	7.22
52	obj52-val26568	166.30	32.96	3.28	170.89	32.47	8.53
53	obj53-val27011	144.98	35.92	3.44	148.42	35.59	8.04
54	obj54-val27454	153.67	17.22	2.13	156.78	12.63	8.04
55	obj55-val27897	118.74	19.68	3.94	124.31	12.30	7.38
56	obj56-val28339	86.92	18.37	4.43	91.18	16.07	7.05
57	obj57-val28782	53.30	19.52	4.26	59.70	15.91	7.05
58	obj58-val29225	39.52	17.06	6.40	27.06	21.81	7.05
59	obj59-val29668	152.52	22.80	2.95	155.80	21.48	9.35
60	obj60-val30111	59.70	23.62	4.26	54.28	25.42	8.20
61	obj61-val30553	149.73	25.75	2.46	146.29	29.52	9.51
62	obj62-val30996	142.19	19.02	2.62	146.78	10.66	7.54
63	obj63-val31439	170.23	15.09	4.43	181.55	16.07	9.18
64	obj64-val31882	52.81	19.68	4.43	39.36	18.04	7.05
65	obj65-val32325	64.94	23.78	3.61	72.00	17.71	7.54
66	obj66-val32768	71.83	18.86	5.41	81.51	20.99	7.38
