 	objlabelArray	ACIMajor	ACIMinor	MajorAngle	Dap
1	obj1-val2829	7.58	5.40	33.69	2
2	obj2-val3300	7.44	4.84	84.81	3
3	obj3-val4243	1.64	1.25	21.80	1
4	obj4-val4715	6.96	4.83	20.96	3
5	obj5-val5186	2.14	0.64	82.41	1
6	obj6-val5658	7.00	5.57	52.13	2
7	obj7-val6129	7.61	5.51	14.62	2
8	obj8-val6601	8.80	5.55	16.09	3
9	obj9-val7072	6.44	4.74	21.80	2
10	obj10-val7544	6.81	5.23	12.09	2
11	obj11-val8015	7.99	4.61	13.30	3
12	obj12-val8487	7.02	5.53	33.02	3
13	obj13-val8958	5.25	1.83	26.57	2
14	obj14-val9429	7.40	5.18	8.13	3
15	obj15-val9901	6.40	5.14	72.90	2
16	obj16-val10372	12.99	6.03	16.04	3
17	obj17-val10844	6.27	4.80	9.69	3
18	obj18-val11315	6.22	4.69	32.57	3
19	obj19-val11787	5.22	3.99	13.63	2
20	obj20-val12258	12.50	6.25	18.64	3
21	obj21-val12730	7.99	4.90	49.03	2
22	obj22-val13201	9.60	4.80	58.20	3
23	obj23-val13673	6.67	3.19	55.62	3
24	obj24-val14144	6.83	2.68	21.32	2
25	obj25-val14616	7.26	3.14	9.66	3
26	obj26-val15087	6.59	3.97	16.11	3
27	obj27-val15559	7.92	3.56	28.52	3
28	obj28-val16030	7.03	4.83	18.43	3
29	obj29-val16502	7.57	4.40	13.50	3
30	obj30-val16973	6.27	3.82	28.93	3
31	obj31-val17445	5.62	5.34	42.36	3
32	obj32-val17916	7.86	3.31	53.81	2
33	obj33-val18388	6.82	4.03	29.05	3
34	obj34-val18859	9.89	3.41	4.27	3
35	obj35-val19330	5.90	4.81	7.50	3
36	obj36-val19802	6.11	2.93	28.61	3
37	obj37-val20273	9.94	3.68	3.27	3
38	obj38-val20745	6.94	5.71	34.02	3
39	obj39-val21216	5.86	3.68	40.91	3
40	obj40-val21688	3.93	2.19	70.91	3
41	obj41-val22159	7.32	2.33	52.22	3
42	obj42-val22631	8.93	3.79	19.21	4
43	obj43-val23102	8.96	2.61	23.46	3
44	obj44-val23574	6.39	3.88	5.31	3
45	obj45-val24045	5.70	3.56	79.56	3
46	obj46-val24517	6.67	2.72	26.00	3
47	obj47-val24988	2.76	0.93	34.38	2
48	obj48-val25460	8.36	4.99	13.30	3
49	obj49-val25931	7.52	2.28	1.12	3
50	obj50-val26403	7.61	3.59	17.70	3
51	obj51-val26874	4.04	2.97	73.50	3
52	obj52-val27346	6.20	3.02	82.23	2
53	obj53-val27817	4.64	3.59	38.42	3
54	obj54-val28288	6.99	4.01	5.39	3
55	obj55-val28760	5.29	4.57	14.04	3
56	obj56-val29231	6.99	4.30	29.29	3
57	obj57-val29703	4.85	3.61	17.88	3
58	obj58-val30174	5.37	3.72	8.33	3
59	obj59-val30646	5.23	4.80	77.47	3
60	obj60-val31117	10.04	2.56	28.61	3
61	obj61-val31589	5.89	1.96	58.78	3
62	obj62-val32060	9.66	3.77	39.92	3
63	obj63-val32532	5.76	1.96	38.42	3
64	obj64-val33003	3.86	3.30	83.66	3
65	obj65-val33475	6.59	4.41	59.04	3
66	obj66-val33946	8.38	4.84	32.40	3
67	obj67-val34418	6.12	3.34	45	3
68	obj68-val34889	5.55	2.53	8.37	3
69	obj69-val35361	4.63	2.79	5.53	2
70	obj70-val35832	3.49	2.05	45	3
71	obj71-val36304	5.64	1.82	6.01	3
72	obj72-val36775	6.33	2.58	16.14	4
73	obj73-val37247	5.82	4.20	5.86	2
74	obj74-val37718	6.28	2.74	56.31	3
75	obj75-val38189	5.46	3.32	4.90	3
76	obj76-val38661	5.37	2.84	16.99	3
77	obj77-val39132	3.30	2.06	69.15	2
78	obj78-val39604	5.44	3.21	10.44	2
79	obj79-val40075	4.76	2.84	14.04	4
80	obj80-val40547	3.74	1.48	70.91	2
81	obj81-val41018	4.73	2.74	72.18	3
82	obj82-val41490	6.40	3.43	5.19	3
83	obj83-val41961	3.95	2.73	30.96	3
84	obj84-val42433	6.95	5.17	13.45	2
85	obj85-val42904	7.60	5.74	56.93	2
86	obj86-val43376	5.26	3.02	52.13	3
87	obj87-val43847	3.27	2.32	56.31	3
88	obj88-val44319	8.77	2.60	17.24	3
