 	objlabelArray	ACIMajor	ACIMinor	MajorAngle	Dap
1	obj1-val2244	7.14	3.07	13.45	2
2	obj2-val3142	6.21	4.83	66.61	3
3	obj3-val3591	4.08	3.52	17.10	2
4	obj4-val4938	8.60	4.28	68.96	2
5	obj5-val5835	7.75	5.27	4.32	3
6	obj6-val6284	5.09	2.91	10.62	2
7	obj7-val7182	9.29	5.86	14.50	3
8	obj8-val7631	5.87	3.08	23.96	2
9	obj9-val8080	7.34	5.13	75.70	3
10	obj10-val8529	2.64	2.41	63.43	1
11	obj11-val8977	8.83	3.04	19.83	3
12	obj12-val9426	8.76	8.01	45	3
13	obj13-val9875	3.34	2.35	10.30	2
14	obj14-val10324	1.96	1.33	51.34	1
15	obj15-val10773	10.08	4.21	19.03	3
16	obj16-val11222	4.37	2.73	35.75	2
17	obj17-val11671	6.93	4.10	4.97	2
18	obj18-val12119	4.91	2.43	39.61	2
19	obj19-val12568	9.76	5.58	9.75	3
20	obj20-val13017	6.64	5.33	7.77	3
21	obj21-val13466	13.90	2.63	18.22	3
22	obj22-val13915	7.01	5.21	75.07	3
23	obj23-val14364	14.69	4.13	3.65	4
24	obj24-val14813	5.32	4.89	41.76	3
25	obj25-val15262	10.69	4.34	28.98	3
26	obj26-val15710	2.44	1.80	57.26	1
27	obj27-val16159	8.36	4.62	13.78	3
28	obj28-val16608	8.81	6.03	57.99	3
29	obj29-val17057	9.00	4.42	37.45	3
30	obj30-val17506	9.43	5.03	3.58	3
31	obj31-val17955	4.83	2.79	22.11	2
32	obj32-val18404	6.45	3.71	9.27	2
33	obj33-val19301	6.76	3.50	16.31	2
34	obj34-val19750	7.78	5.86	75.14	3
35	obj35-val20199	10.63	3.59	4.70	3
36	obj36-val20648	8.27	4.10	7.52	2
37	obj37-val21097	6.54	5.40	84.81	3
38	obj38-val21546	8.40	5.56	11.51	3
39	obj39-val21995	7.11	4.17	14.93	2
40	obj40-val22443	0.88	0.74	38.66	1
41	obj41-val23341	4.55	3.83	16.39	2
42	obj42-val23790	3.58	2.86	76.50	3
43	obj43-val24239	7.05	4.84	4.48	3
44	obj44-val24688	6.99	5.23	55.98	3
45	obj45-val25137	4.44	3.96	32.01	2
46	obj46-val25586	9.61	4.16	8.13	3
47	obj47-val26034	8.11	4.18	19.13	3
48	obj48-val26932	5.71	2.88	7.70	2
49	obj49-val27830	1.81	1.30	48.01	1
50	obj50-val28279	7.65	5.15	12.91	3
51	obj51-val28728	7.88	4.70	32.12	3
52	obj52-val29177	5.28	4.92	37.75	3
53	obj53-val29625	5.78	4.92	8.13	3
54	obj54-val30074	6.73	5.41	2.54	2
55	obj55-val30523	8.22	3.96	15.26	3
56	obj56-val30972	9.70	4.15	15.82	2
57	obj57-val31421	10.22	5.17	12.80	3
58	obj58-val32319	10.61	3.60	19.77	3
59	obj59-val32768	9.21	3.61	6.88	3
60	obj60-val33665	8.18	4.60	11.73	3
