 	objlabelArray	fx0array	fy0array	fz0array	fx1array	fy1array	fz1array
1	obj1-val1894	169.74	18.37	0.66	175.15	15.25	4.92
2	obj2-val2273	129.40	30.67	1.80	138.42	28.70	2.62
3	obj3-val2652	195.00	19.52	0.98	193.36	14.60	4.59
4	obj4-val3031	177.45	26.24	0.49	175.48	23.94	2.95
5	obj5-val3409	179.58	24.60	0.66	179.74	36.08	3.77
6	obj6-val4167	171.38	14.10	1.31	167.61	6.56	3.12
7	obj7-val4925	202.05	14.92	1.48	203.36	12.46	4.76
8	obj8-val5303	187.62	29.36	0	184.17	34.44	5.08
9	obj9-val6440	180.89	21.98	1.31	190.90	13.28	5.08
10	obj10-val6819	182.70	24.27	0.33	184.01	34.44	4.92
11	obj11-val7197	134.15	35.42	1.80	124.15	34.11	3.12
12	obj12-val7576	137.76	9.02	1.15	136.28	8.04	4.10
13	obj13-val7955	113.98	6.56	2.79	118.08	14.43	3.61
14	obj14-val8334	142.35	11.48	1.48	134.64	9.18	3.61
15	obj15-val8713	198.44	12.96	1.64	197.95	12.63	4.92
16	obj16-val9092	165.48	32.47	1.97	175.64	36.74	4.76
17	obj17-val9470	71.83	25.42	1.80	78.72	30.50	5.08
18	obj18-val9849	108.24	28.70	0.82	103.32	31.32	5.08
19	obj19-val10228	200.08	30.34	1.48	206.15	33.46	5.41
20	obj20-val10607	194.67	31.00	1.48	195.49	35.26	5.08
21	obj21-val10986	167.12	27.55	1.31	172.20	28.04	4.92
22	obj22-val11364	67.57	27.55	1.31	76.59	32.64	4.26
23	obj23-val11743	93.81	30.18	2.46	86.26	33.46	4.43
24	obj24-val12501	96.10	26.08	1.97	103.16	31.49	5.08
25	obj25-val12880	79.21	27.88	1.64	86.43	32.31	5.41
26	obj26-val13259	179.25	36.74	0.16	169.25	45.10	3.94
27	obj27-val13637	55.76	18.70	1.80	58.38	18.04	5.74
28	obj28-val14016	126.94	20.34	1.80	117.10	18.20	5.90
29	obj29-val14395	133.82	30.50	2.62	143.17	34.11	5.08
30	obj30-val14774	208.44	32.64	1.97	218.61	31.65	5.41
31	obj31-val15153	135.79	35.75	2.79	148.91	34.93	3.61
32	obj32-val15531	114.96	16.56	3.61	128.25	12.96	3.77
33	obj33-val15910	54.61	17.38	2.46	57.40	13.94	4.43
34	obj34-val16289	47.07	14.60	4.10	34.44	15.74	4.76
