 	objlabelArray	ACIMajor	ACIMinor	MajorAngle	Dap
133	obj133-val49228	4.33	3.74	20.14	3
134	obj134-val49536	6.85	3.94	11.07	3
135	obj135-val49844	5.90	4.62	36.03	3
136	obj136-val50151	8.84	3.44	8.84	3
137	obj137-val50767	8.92	6.16	20.22	3
138	obj138-val51074	4.71	2.68	37.57	3
139	obj139-val51382	4.76	4.00	3.58	3
140	obj140-val51690	6.68	3.56	67.56	3
141	obj141-val51997	6.81	2.23	19.29	3
142	obj142-val52305	5.00	3.16	32.74	3
143	obj143-val52613	8.04	3.32	18.43	3
144	obj144-val52920	6.28	2.52	9.09	3
145	obj145-val53228	3.60	3.26	83.42	2
146	obj146-val53536	2.44	1.82	17.53	2
147	obj147-val53843	5.96	3.48	27.26	3
148	obj148-val54151	5.61	5.05	30.26	3
149	obj149-val54459	5.83	4.31	11.31	3
150	obj150-val54766	4.88	3.68	51.84	2
151	obj151-val55074	3.35	1.30	18.43	2
152	obj152-val55382	1.81	1.14	59.04	1
153	obj153-val56305	4.27	1.24	62.59	2
154	obj154-val56612	5.43	1.92	17.45	2
155	obj155-val56920	5.81	3.96	2.73	3
156	obj156-val57228	4.17	2.29	5.04	3
157	obj157-val57535	2.11	1.49	36.03	2
158	obj158-val57843	5.69	3.80	56.31	3
159	obj159-val58151	3.98	2.65	6.12	3
160	obj160-val58458	2.11	1.50	53.13	2
161	obj161-val58766	8.03	3.49	5.10	4
162	obj162-val59074	4.89	2.93	22.38	3
163	obj163-val59381	6.60	2.30	26.57	3
164	obj164-val59689	2.91	1.83	18.43	3
165	obj165-val59997	6.69	2.38	28.81	3
166	obj166-val60305	4.36	3.19	54.69	3
167	obj167-val60920	2.61	1.63	56.31	2
168	obj168-val61228	6.61	4.06	28.81	3
169	obj169-val61535	12.59	5.22	5.78	5
170	obj170-val61843	5.68	3.61	23.20	3
171	obj171-val62151	4.32	2.73	4.40	3
172	obj172-val62458	2.59	1.69	6.01	3
173	obj173-val62766	4.36	2.88	19.03	2
174	obj174-val63074	4.91	1.21	47.49	3
175	obj175-val63381	2.70	1.28	18.43	2
176	obj176-val63997	3.39	2.08	51.34	3
177	obj177-val64612	3.60	1.16	1.91	2
178	obj178-val64920	4.98	3.04	21.25	3
179	obj179-val65227	1.83	0.59	33.69	1
180	obj180-val65535	5.18	3.05	18.43	3
