 	objlabelArray	ACIMajor	ACIMinor	MajorAngle	Dap
1	obj1-val3480	5.82	4.71	41.73	2
2	obj2-val4060	6.60	3.41	67.93	3
3	obj3-val4640	4.59	2.78	50.19	2
4	obj4-val5220	6.82	4.92	16.82	3
5	obj5-val5800	3.98	2.88	6.58	2
6	obj6-val6380	7.91	5.60	5.60	3
7	obj7-val6959	6.72	4.72	55.56	2
8	obj8-val7539	3.39	0.91	26.57	1
9	obj9-val8119	4.91	2.33	64.23	2
10	obj10-val8699	5.02	4.70	31.50	2
11	obj11-val9279	7.12	3.94	59.83	3
12	obj12-val9859	12.86	5.07	24.39	4
13	obj13-val10439	4.32	3.48	36.87	2
14	obj14-val11019	3.79	2.79	79.11	2
15	obj15-val11599	6.58	3.82	8.30	2
16	obj16-val12179	8.15	6.01	23.43	3
17	obj17-val12759	7.12	6.32	3.65	2
18	obj18-val13339	6.83	4.79	3.65	3
19	obj19-val13919	9.15	3.14	15.17	3
20	obj20-val14499	6.57	4.84	2.49	3
21	obj21-val15079	7.99	6.70	28.07	2
22	obj22-val15659	9.21	5.60	29.51	3
23	obj23-val16239	7.69	3.66	21.80	2
24	obj24-val16819	8.55	3.67	7.67	3
25	obj25-val17399	6.24	3.83	85.91	3
26	obj26-val17979	7.44	5.58	11.31	4
27	obj27-val18559	5.06	3.92	4.76	3
28	obj28-val19139	1.67	0.95	59.04	1
29	obj29-val19718	7.63	5.33	73.74	3
30	obj30-val20298	6.21	4.35	26.00	3
31	obj31-val20878	4.69	1.48	59.74	2
32	obj32-val21458	9.56	5.62	17.35	3
33	obj33-val22038	5.34	3.15	70.02	3
34	obj34-val22618	9.55	5.03	1.74	3
35	obj35-val23198	5.02	2.23	45	2
36	obj36-val23778	4.68	3.96	8.62	3
37	obj37-val24358	5.61	3.64	34.11	3
38	obj38-val24938	6.56	3.39	33.37	3
39	obj39-val25518	6.86	5.03	73.41	3
40	obj40-val26098	10.24	4.39	16.48	3
41	obj41-val26678	4.62	2.31	4.76	2
42	obj42-val27258	13.35	5.09	33.50	3
43	obj43-val27838	3.07	1.70	26.57	2
44	obj44-val28418	7.76	5.41	20.67	3
45	obj45-val28998	12.57	3.76	32.77	3
46	obj46-val29578	6.97	4.04	34.29	3
47	obj47-val30158	6.15	3.04	35.54	3
48	obj48-val30738	3.57	2.87	34.38	1
49	obj49-val31318	4.47	3.64	1.79	3
50	obj50-val31898	6.93	4.61	12.53	3
51	obj51-val32478	10.32	4.29	37.52	3
52	obj52-val33057	5.39	2.41	17.45	2
53	obj53-val33637	3.81	3.01	15.95	3
54	obj54-val34217	10.88	3.29	16.39	3
55	obj55-val34797	5.47	3.25	20.38	3
56	obj56-val35377	5.59	3.14	8.62	2
57	obj57-val35957	14.80	4.22	14.57	4
58	obj58-val36537	7.86	3.29	36.87	2
59	obj59-val37117	7.74	4.54	10.84	2
60	obj60-val37697	5.46	3.34	14.42	3
61	obj61-val38277	4.34	3.13	14.53	2
62	obj62-val38857	8.97	4.03	16.89	3
63	obj63-val39437	3.18	2.61	76.61	1
64	obj64-val40017	5.34	3.28	33.23	3
65	obj65-val40597	6.68	3.30	29.43	3
66	obj66-val41177	5.36	3.40	40.43	2
67	obj67-val41757	7.01	1.84	18.03	2
68	obj68-val42337	11.97	4.22	9.46	3
69	obj69-val42917	9.31	3.46	13.80	3
70	obj70-val43497	10.72	3.12	5.55	3
71	obj71-val44077	12.63	3.95	8.23	3
72	obj72-val44657	8.94	6.57	31.12	3
73	obj73-val45237	8.94	2.88	17.18	3
74	obj74-val45817	8.54	2.67	26.10	3
75	obj75-val46396	6.34	4.03	16.70	2
76	obj76-val46976	10.03	4.64	13.19	3
77	obj77-val47556	6.84	5.67	33.69	3
78	obj78-val48136	8.49	5.12	9.82	2
79	obj79-val48716	9.38	3.06	13.13	3
80	obj80-val49296	5.33	2.76	22.62	3
81	obj81-val49876	9.74	3.39	22.96	3
82	obj82-val50456	5.85	4.18	18.03	3
83	obj83-val51036	11.26	3.92	16.90	4
84	obj84-val51616	1.57	0.92	56.31	1
85	obj85-val52196	13.48	4.09	3.81	4
86	obj86-val52776	8.34	4.57	21.25	3
87	obj87-val53356	9.39	3.49	19.06	3
88	obj88-val53936	8.17	5.10	33.69	3
89	obj89-val54516	4.86	2.89	87.61	2
90	obj90-val55096	NaN	NaN	NaN	3
91	obj91-val55676	12.68	3.17	11.02	4
92	obj92-val56256	4.85	2.97	7.13	2
93	obj93-val56836	6.93	3.76	17.65	3
94	obj94-val57416	7.86	3.73	9.09	3
95	obj95-val57996	4.28	3.01	68.20	3
96	obj96-val58576	12.76	4.15	24.68	3
97	obj97-val59155	10.52	1.85	26.57	3
98	obj98-val59735	7.89	3.63	10.62	2
99	obj99-val60315	10.53	4.00	6.71	4
100	obj100-val60895	6.96	3.82	13.76	3
101	obj101-val61475	7.96	2.92	14.04	2
102	obj102-val62055	NaN	NaN	NaN	3
103	obj103-val62635	4.16	0.93	13.50	3
104	obj104-val63215	5.83	4.06	5.36	3
105	obj105-val63795	2.83	1.58	12.53	1
106	obj106-val64375	7.01	5.32	14.04	2
107	obj107-val64955	12.81	3.45	7.37	3
