 	objlabelArray	fx0array	fy0array	fz0array	fx1array	fy1array	fz1array
1	obj1-val1503	274.86	27.55	0	274.54	35.92	4.76
2	obj2-val1804	272.40	24.27	2.13	269.94	18.53	2.62
3	obj3-val2104	275.85	23.29	0.98	276.50	23.62	3.61
4	obj4-val2405	223.53	26.08	2.13	233.21	25.58	3.28
5	obj5-val2706	264.70	38.87	0.82	275.19	37.39	4.59
6	obj6-val3006	234.19	44.28	1.97	239.77	47.72	3.44
7	obj7-val3307	215.00	15.42	2.79	229.60	12.30	3.44
8	obj8-val3607	278.96	25.26	0.98	277.16	23.78	3.94
9	obj9-val3908	210.41	34.44	2.79	202.05	33.95	2.95
10	obj10-val4209	250.59	16.40	1.64	250.92	16.56	4.26
11	obj11-val4509	251.74	25.09	2.95	236.65	23.94	3.61
12	obj12-val4810	219.27	43.46	2.62	229.44	41.49	3.77
13	obj13-val5111	226.81	30.01	2.46	216.48	27.72	3.77
14	obj14-val5411	292.58	32.80	2.79	279.62	32.64	4.76
15	obj15-val5712	242.23	31.65	1.97	251.90	40.34	5.90
16	obj16-val6012	251.90	24.44	1.15	251.41	15.74	6.23
17	obj17-val6313	216.64	29.36	2.79	224.68	37.39	6.40
18	obj18-val6614	296.02	22.47	2.46	297.00	22.30	5.74
19	obj19-val6914	292.08	29.68	2.30	301.60	29.03	3.28
20	obj20-val7215	259.28	20.17	1.48	253.22	15.09	6.72
21	obj21-val7515	290.28	19.52	2.62	295.04	19.68	5.08
22	obj22-val7816	280.28	36.08	1.80	279.13	33.46	5.58
23	obj23-val8117	262.89	26.90	1.31	260.76	36.90	6.40
24	obj24-val8417	236.00	34.28	2.13	245.02	41.33	5.25
25	obj25-val8718	246.98	12.63	3.12	233.86	14.10	4.92
26	obj26-val9019	273.06	19.02	1.97	281.75	13.28	5.41
27	obj27-val9319	214.18	15.58	2.95	227.14	15.42	3.77
28	obj28-val9620	301.10	22.63	3.12	310.29	21.48	5.41
29	obj29-val9920	229.93	38.38	2.79	241.08	41.82	5.08
30	obj30-val10221	282.24	20.17	1.97	287.98	20.01	6.56
31	obj31-val10522	299.79	33.62	3.44	304.55	29.85	5.25
32	obj32-val10822	184.50	18.86	3.61	192.54	13.94	7.22
33	obj33-val11123	278.96	19.02	1.48	277.00	20.99	7.38
34	obj34-val11424	198.11	24.27	3.61	185.81	23.62	4.76
35	obj35-val11724	264.37	33.62	1.31	272.73	36.24	5.58
36	obj36-val12025	251.90	38.87	1.15	253.22	42.48	5.90
37	obj37-val12325	263.06	15.91	2.13	266.50	11.81	6.23
38	obj38-val12626	247.15	18.37	2.13	247.48	15.91	7.22
39	obj39-val12927	294.38	25.42	2.79	305.70	27.55	5.41
40	obj40-val13227	240.59	25.75	3.28	243.54	27.22	5.58
41	obj41-val13528	229.60	41.16	4.43	217.63	38.38	4.59
42	obj42-val13828	226.98	13.78	3.28	223.53	12.14	6.40
43	obj43-val14129	212.38	21.16	2.95	215.99	13.61	6.72
44	obj44-val14430	272.73	23.62	1.80	265.68	15.74	6.40
45	obj45-val14730	20.17	22.63	4.10	22.47	20.66	6.56
46	obj46-val15031	304.06	28.21	3.94	315.70	24.44	5.08
47	obj47-val15332	187.78	28.04	4.10	196.47	31.98	7.22
48	obj48-val15632	260.60	27.72	1.80	265.68	36.41	6.40
49	obj49-val15933	256.00	29.19	1.64	260.10	35.26	6.89
50	obj50-val16233	276.50	36.90	2.95	276.01	34.77	5.58
51	obj51-val16534	204.84	34.77	4.10	217.46	38.54	5.08
52	obj52-val16835	251.74	34.11	1.64	256.82	38.21	6.40
53	obj53-val17135	226.81	16.07	4.26	240.42	8.69	4.76
54	obj54-val17436	216.97	12.46	4.43	205.66	12.30	5.74
55	obj55-val17737	264.86	18.70	2.13	271.42	13.78	6.40
56	obj56-val18037	194.50	19.84	3.44	199.92	18.70	7.71
57	obj57-val18338	252.56	23.45	3.77	252.07	20.99	6.40
58	obj58-val18638	264.20	23.62	1.64	270.93	21.32	7.87
59	obj59-val18939	280.77	28.04	1.80	285.20	22.47	6.89
60	obj60-val19240	282.08	29.52	3.94	295.53	31.49	4.92
61	obj61-val19540	236.00	26.24	2.79	242.72	37.56	6.56
62	obj62-val19841	232.55	33.29	1.80	228.78	37.88	6.40
63	obj63-val20141	254.86	33.62	0.66	260.76	40.34	6.07
64	obj64-val20442	247.97	18.70	1.80	253.22	11.97	6.23
65	obj65-val20743	308.32	17.22	4.26	322.26	21.65	5.41
66	obj66-val21043	273.72	24.76	1.64	274.37	15.09	6.72
67	obj67-val21344	197.78	16.07	3.77	206.15	14.60	7.05
68	obj68-val21645	262.24	20.50	1.31	258.30	16.40	6.89
69	obj69-val21945	224.35	19.84	3.28	213.86	16.89	6.72
70	obj70-val22246	258.96	25.09	2.62	266.17	18.37	7.71
71	obj71-val22546	194.83	22.14	4.10	195.49	18.70	7.87
72	obj72-val22847	251.74	24.44	3.44	252.07	21.81	7.05
73	obj73-val23148	268.30	25.26	1.64	272.73	24.44	7.71
74	obj74-val23448	232.88	29.36	2.62	233.54	27.39	6.89
75	obj75-val23749	228.78	34.60	2.30	226.32	29.36	7.71
76	obj76-val24050	251.08	27.88	0.82	252.40	34.28	7.38
77	obj77-val24350	187.78	32.64	3.12	194.01	35.26	7.22
78	obj78-val24651	195.32	33.13	3.61	205.16	35.10	6.89
79	obj79-val24951	246	31.32	3.12	250.10	38.87	6.40
80	obj80-val25252	185.81	36.24	3.77	194.83	37.56	6.56
81	obj81-val25553	196.31	13.78	4.10	201.56	11.81	6.56
82	obj82-val25853	190.73	12.63	4.26	189.42	12.96	7.22
83	obj83-val26154	234.36	20.17	3.12	239.77	14.60	7.38
84	obj84-val26454	226.48	22.47	1.97	234.68	16.07	7.54
85	obj85-val26755	223.86	23.62	2.30	227.96	17.71	7.87
86	obj86-val27056	12.46	23.62	5.08	21.81	20.01	6.23
87	obj87-val27356	200.24	28.04	2.62	199.75	25.42	8.36
88	obj88-val27657	280.11	29.85	3.28	274.37	21.98	6.89
89	obj89-val27958	270.27	33.29	2.95	278.31	31.65	5.90
90	obj90-val28258	134.81	37.56	4.43	131.36	33.95	7.54
91	obj91-val28559	26.40	19.19	4.92	34.60	17.22	8.86
92	obj92-val28859	255.51	27.22	2.46	258.63	25.09	7.87
93	obj93-val29160	252.23	26.40	2.46	254.04	26.90	8.20
94	obj94-val29461	247.80	29.52	2.79	252.07	27.72	8.04
95	obj95-val29761	203.36	27.06	2.95	202.54	30.50	8.04
96	obj96-val30062	267.81	28.37	0.66	265.84	30.01	7.71
97	obj97-val30363	254.36	30.18	1.80	258.46	29.68	7.71
98	obj98-val30663	208.12	30.01	2.30	214.18	32.96	7.38
99	obj99-val30964	211.23	29.85	2.79	218.78	36.24	6.72
100	obj100-val31264	233.04	32.80	1.64	236.65	35.42	7.22
101	obj101-val31565	193.68	37.88	4.26	207.46	37.72	4.76
102	obj102-val31866	244.03	17.88	2.46	248.13	12.14	6.72
103	obj103-val32166	224.35	19.35	3.28	217.96	16.40	7.22
104	obj104-val32467	237.96	22.80	3.28	244.20	15.25	7.38
105	obj105-val32768	29.52	23.45	4.76	36.24	22.30	7.87
106	obj106-val33068	233.86	24.11	3.28	235.34	26.40	7.71
107	obj107-val33369	262.73	26.90	1.97	264.86	22.63	8.20
108	obj108-val33669	13.28	25.75	4.59	20.50	27.72	8.04
109	obj109-val33970	242.06	31.49	1.97	246.49	27.55	8.04
110	obj110-val34271	216.32	30.01	2.79	222.88	32.64	7.22
111	obj111-val34571	182.04	34.28	3.44	190.73	34.44	7.54
112	obj112-val35172	25.42	16.24	4.59	27.55	17.22	9.35
113	obj113-val35473	42.80	23.29	4.76	50.35	21.98	7.87
114	obj114-val35774	218.94	26.08	3.28	221.89	25.58	8.36
115	obj115-val36074	189.09	14.60	6.40	176.30	16.07	6.89
116	obj116-val36375	166.46	21.32	4.10	174.33	15.74	7.71
117	obj117-val36676	234.36	23.78	3.12	240.75	19.02	8.04
118	obj118-val36976	254.86	26.40	2.46	256.17	19.35	7.54
119	obj119-val37277	207.79	23.62	3.28	200.08	22.80	8.04
120	obj120-val37577	241.08	21.65	3.28	250.59	23.45	8.20
121	obj121-val38179	240.59	28.37	2.62	242.39	28.04	8.04
122	obj122-val38479	181.22	28.70	3.44	190.73	30.83	8.36
123	obj123-val38780	232.22	30.67	2.62	235.34	28.37	8.04
124	obj124-val39081	163.51	31.32	4.10	171.05	36.24	8.20
125	obj125-val39381	174.33	15.42	4.59	184.17	12.14	7.22
126	obj126-val39682	227.96	24.44	3.28	230.91	20.01	8.20
127	obj127-val39982	207.79	28.21	3.44	203.20	28.37	7.71
128	obj128-val40283	209.43	28.37	4.43	217.79	29.52	7.87
129	obj129-val40584	173.51	30.83	4.10	185.98	33.95	8.04
130	obj130-val40884	153.34	19.02	4.92	159.90	15.25	8.04
131	obj131-val41185	135.96	21.16	5.41	141.20	18.20	7.71
132	obj132-val41485	210.74	23.62	2.79	214.84	18.04	7.71
133	obj133-val41786	167.44	25.91	4.26	160.23	23.29	9.35
134	obj134-val42087	162.85	26.24	4.26	156.62	24.11	8.86
135	obj135-val42387	150.39	24.76	5.08	144.98	27.22	8.86
136	obj136-val42688	35.42	29.03	6.23	22.96	30.34	6.72
137	obj137-val42989	8.69	28.37	5.74	18.20	31.32	6.56
138	obj138-val43289	176.96	28.70	3.61	185.16	30.34	8.69
139	obj139-val43590	175.32	35.26	4.59	181.88	37.88	7.71
140	obj140-val43890	163.18	37.72	5.74	177.28	39.52	6.40
141	obj141-val44191	161.70	18.70	4.76	170.56	12.96	7.05
142	obj142-val44492	17.88	17.88	4.92	27.22	17.22	9.35
143	obj143-val44792	182.86	21.32	4.43	193.19	20.83	8.36
144	obj144-val45093	211.56	24.60	3.12	219.60	20.17	8.04
145	obj145-val45394	142.68	23.45	5.74	128.25	22.96	7.22
146	obj146-val45694	238.78	25.91	2.46	246.16	23.62	8.20
147	obj147-val45995	203.85	25.75	3.77	211.40	24.11	8.04
148	obj148-val46295	225.83	26.40	3.77	224.19	21.16	8.20
149	obj149-val46596	213.36	26.40	3.94	208.61	27.55	8.04
150	obj150-val46897	62.32	9.84	6.07	53.79	10.33	6.89
151	obj151-val47197	150.22	17.22	5.58	142.19	16.56	8.04
