 	objlabelArray	ACIMajor	ACIMinor	MajorAngle	Dap
1	obj1-val3901	8.80	6.63	53.70	3
2	obj2-val4681	7.72	5.32	64.98	2
3	obj3-val6241	5.17	4.07	19.54	2
4	obj4-val7022	8.16	7.13	42.65	3
5	obj5-val7802	7.62	4.90	48.81	2
6	obj6-val8582	9.63	6.63	17.35	3
7	obj7-val9362	6.77	6.41	71.57	3
8	obj8-val10142	9.64	3.31	12.63	2
9	obj9-val10923	10.48	4.48	5.19	3
10	obj10-val11703	4.43	3.09	38.05	2
11	obj11-val12483	5.87	3.09	35.91	3
12	obj12-val13263	3.81	2.25	30.58	2
13	obj13-val14043	9.01	5.02	78.69	3
14	obj14-val14823	5.34	3.45	48.37	2
15	obj15-val15604	5.49	3.68	21.80	2
16	obj16-val16384	8.76	6.20	38.50	3
17	obj17-val17164	8.62	6.81	68.03	3
18	obj18-val17944	4.39	4.15	63.43	3
19	obj19-val18724	9.33	5.75	15.26	3
20	obj20-val19504	7.42	5.45	22.62	3
21	obj21-val20285	2.98	1.66	71.57	2
22	obj22-val21065	5.93	4.99	8.97	3
23	obj23-val21845	5.58	4.08	8.75	3
24	obj24-val22625	6.83	3.19	15.02	2
25	obj25-val23405	9.20	6.28	24.30	3
26	obj26-val24186	8.21	5.43	9.64	3
27	obj27-val24966	8.49	3.13	3.18	2
28	obj28-val25746	8.84	5.65	11.73	2
29	obj29-val26526	5.89	5.57	9.25	3
30	obj30-val27306	8.55	4.14	9.95	3
31	obj31-val28086	3.92	3.16	12.99	2
32	obj32-val28867	6.94	2.43	24.78	2
33	obj33-val29647	2.83	1.26	2.86	2
34	obj34-val30427	8.62	5.48	5.29	2
35	obj35-val31207	5.83	4.01	8.97	3
36	obj36-val31987	10.65	4.82	35.64	3
37	obj37-val32768	5.58	1.69	59.30	3
38	obj38-val33548	6.49	4.63	62.82	3
39	obj39-val34328	8.62	3.57	8.67	3
40	obj40-val35108	7.31	2.56	8.13	2
41	obj41-val35888	7.53	4.92	20.56	3
42	obj42-val36668	7.25	4.77	18.43	3
43	obj43-val37449	5.95	3.42	17.53	2
44	obj44-val38229	4.26	3.00	79.51	3
45	obj45-val39009	5.63	4.12	23.20	3
46	obj46-val39789	6.46	5.04	45.88	3
47	obj47-val40569	6.34	2.17	9.93	2
48	obj48-val41349	14.01	4.16	1.91	4
49	obj49-val42130	7.07	4.83	24.54	3
50	obj50-val42910	7.01	3.18	4.48	3
51	obj51-val43690	8.09	4.29	24.84	3
52	obj52-val44470	9.31	3.83	10.22	3
53	obj53-val45250	6.70	5.85	12.80	3
54	obj54-val46031	7.16	5.54	14.93	3
55	obj55-val46811	8.18	3.77	1.01	3
56	obj56-val47591	5.39	2.35	41.19	2
57	obj57-val48371	9.29	4.59	2.82	3
58	obj58-val49151	10.34	3.34	12.44	3
59	obj59-val49931	12.35	3.79	12.53	3
60	obj60-val50712	6.04	1.87	11.31	2
61	obj61-val51492	8.78	2.38	22.83	3
62	obj62-val52272	10.25	2.81	6.61	3
63	obj63-val53052	9.75	3.08	26.15	3
64	obj64-val53832	3.77	3.21	35.54	3
65	obj65-val54613	5.49	2.33	3.18	2
66	obj66-val55393	3.53	2.04	34.82	2
67	obj67-val56173	5.06	4.23	84.96	3
68	obj68-val56953	12.90	3.96	20.39	4
69	obj69-val57733	7.14	4.27	8.13	3
70	obj70-val58513	7.33	6.10	8.43	2
71	obj71-val59294	8.49	3.43	7.99	2
72	obj72-val60074	11.08	2.75	3.22	2
73	obj73-val60854	7.92	3.96	19.38	2
74	obj74-val61634	6.86	5.09	34.70	2
75	obj75-val62414	6.20	4.72	8.75	2
76	obj76-val63194	5.39	3.45	11.00	3
77	obj77-val63975	NaN	NaN	NaN	3
78	obj78-val64755	8.07	4.50	6.46	2
