 	objlabelArray	ACIMajor	ACIMinor	MajorAngle	Dap
1	obj1-val1894	7.27	4.13	27.65	2
2	obj2-val2273	5.08	2.83	61.93	2
3	obj3-val2652	2.81	2.04	21.25	1
4	obj4-val3409	8.76	7.84	11.51	2
5	obj5-val3788	5.53	4.44	71.08	2
6	obj6-val4167	10.73	5.82	20.85	2
7	obj7-val4546	8.52	7.40	14.04	3
8	obj8-val4925	9.42	3.71	8.97	3
9	obj9-val5303	9.28	5.29	48.53	4
10	obj10-val5682	6.41	4.47	21.04	2
11	obj11-val6061	7.92	5.34	15.07	3
12	obj12-val6440	9.54	6.13	47.60	3
13	obj13-val6819	1.30	0.56	45	1
14	obj14-val7197	5.17	3.76	70.46	2
15	obj15-val7576	6.35	3.55	30.96	3
16	obj16-val7955	7.23	3.17	5.08	2
17	obj17-val8334	7.62	5.16	23.33	2
18	obj18-val8713	4.06	2.82	80.91	2
19	obj19-val9092	5.24	2.64	71.15	2
20	obj20-val9470	4.69	1.05	10.78	2
21	obj21-val9849	6.77	5.49	18.85	3
22	obj22-val10228	6.28	4.22	7.59	2
23	obj23-val10607	6.34	3.98	5.08	3
24	obj24-val10986	4.31	2.92	35.54	3
25	obj25-val11364	7.19	4.32	2.39	3
26	obj26-val11743	5.71	3.08	55.62	2
27	obj27-val12122	8.61	7.08	6.65	3
28	obj28-val12501	4.87	3.48	48.81	2
29	obj29-val12880	5.78	4.47	13.32	2
30	obj30-val13637	6.73	5.28	23.63	3
31	obj31-val14016	3.88	3.05	23.75	3
32	obj32-val14395	7.90	3.90	29.05	3
33	obj33-val14774	6.49	5.06	12.91	3
34	obj34-val15153	2.35	1.49	42.51	1
35	obj35-val15531	8.45	3.31	16.09	3
36	obj36-val15910	7.16	3.95	69.44	3
37	obj37-val16289	6.38	5.33	55.22	3
38	obj38-val17047	6.45	3.40	20.73	2
39	obj39-val17425	4.01	3.58	8.62	2
40	obj40-val17804	5.97	4.87	21.32	3
41	obj41-val18183	6.49	2.63	12.68	2
42	obj42-val18562	7.79	2.57	12.26	2
43	obj43-val18941	6.93	4.19	48.58	2
44	obj44-val19320	5.25	3.48	59.04	3
45	obj45-val19698	5.83	4.43	33.27	2
46	obj46-val20077	4.79	3.50	5.04	2
47	obj47-val20456	6.35	4.14	33.34	3
48	obj48-val20835	7.44	2.43	41.08	3
49	obj49-val21214	7.85	4.26	73.91	4
50	obj50-val21592	6.22	2.70	3.99	3
51	obj51-val21971	6.92	5.06	65.14	4
52	obj52-val22350	8.61	4.66	25.68	3
53	obj53-val22729	5.66	3.76	68.75	4
54	obj54-val23108	7.99	2.61	20.22	3
55	obj55-val23487	3.28	2.88	23.20	2
56	obj56-val23865	4.76	2.48	54.46	3
57	obj57-val24244	7.34	3.95	59.83	3
58	obj58-val24623	1.56	0.33	19.98	1
59	obj59-val25002	7.07	2.56	83.02	3
60	obj60-val25381	5.40	3.54	72.55	2
61	obj61-val25759	5.70	3.98	63.43	3
62	obj62-val26138	6.14	4.96	26.57	3
63	obj63-val26517	4.47	3.05	76.43	3
64	obj64-val26896	2.77	1.73	30.96	2
65	obj65-val27275	7.92	4.51	30.96	3
66	obj66-val27653	3.04	1.81	14.04	2
67	obj67-val28032	4.98	4.21	36.87	3
68	obj68-val28411	8.43	3.90	77.28	3
69	obj69-val28790	9.60	3.60	5.44	4
70	obj70-val29169	8.55	5.18	11.69	3
71	obj71-val29548	5.05	3.79	76.37	3
72	obj72-val29926	5.72	3.26	18.85	3
73	obj73-val30305	7.80	2.76	38.16	2
74	obj74-val30684	5.46	4.50	48.95	3
75	obj75-val31063	4.16	3.38	23.96	3
76	obj76-val31820	5.09	4.76	6.71	3
77	obj77-val32199	12.33	3.82	16.21	4
78	obj78-val32578	6.47	3.54	32.57	3
79	obj79-val32957	6.59	5.52	5.19	3
80	obj80-val33336	5.99	4.20	7.28	3
81	obj81-val33715	6.11	1.98	23.39	3
82	obj82-val34093	5.53	3.51	69.62	3
83	obj83-val34472	9.62	4.52	4.40	4
84	obj84-val34851	3.82	2.95	53.97	3
85	obj85-val35230	4.20	3.05	39.56	3
86	obj86-val35609	6.47	2.06	13.09	3
87	obj87-val35987	7.10	5.34	68.43	3
88	obj88-val36366	6.49	4.52	24.68	3
89	obj89-val36745	5.69	3.74	54.29	2
90	obj90-val37124	8.81	4.07	8.58	2
91	obj91-val37503	5.21	3.26	26.57	3
92	obj92-val37882	4.82	1.88	14.93	2
93	obj93-val38260	6.60	4.59	16.59	3
94	obj94-val38639	9.25	3.09	9.95	3
95	obj95-val39018	5.19	1.92	14.04	2
96	obj96-val39397	2.64	2.31	32.01	2
97	obj97-val39776	6.78	4.39	81.16	4
98	obj98-val40154	5.25	1.49	3.47	2
99	obj99-val40533	5.36	2.49	51.77	3
100	obj100-val40912	5.72	3.60	55.01	2
101	obj101-val41291	5.89	4.62	55.56	3
102	obj102-val41670	6.66	3.88	27.70	3
103	obj103-val42048	7.94	3.34	4.48	3
104	obj104-val42427	5.46	3.81	75.96	4
105	obj105-val42806	6.61	4.34	23.55	3
106	obj106-val43185	5.12	2.89	22.99	3
107	obj107-val43564	3.69	2.37	69.44	3
108	obj108-val43943	4.05	3.37	12.09	3
109	obj109-val44321	6.58	3.42	37.41	2
110	obj110-val44700	0.66	0.26	53.13	1
111	obj111-val45079	5.68	2.46	52.82	3
112	obj112-val45458	7.62	1.80	23.05	3
113	obj113-val45837	3.16	2.67	82.87	3
114	obj114-val46215	4.52	2.70	12.34	4
115	obj115-val46594	6.74	2.37	2.73	4
116	obj116-val46973	7.28	3.26	29.25	3
117	obj117-val47352	5.97	2.33	74.62	4
118	obj118-val48110	6.46	3.04	25.91	3
119	obj119-val48488	5.60	3.75	80.79	3
120	obj120-val48867	3.93	1.80	16.50	3
121	obj121-val49246	8.86	2.99	11.94	3
122	obj122-val49625	8.74	3.41	55.75	4
123	obj123-val50004	4.38	1.62	8.13	1
124	obj124-val50382	4.71	2.36	86.63	3
125	obj125-val50761	6.54	4.88	14.32	4
126	obj126-val51140	4.49	2.98	53.13	3
127	obj127-val51519	5.83	4.58	11.31	3
128	obj128-val51898	4.77	2.75	16.39	3
129	obj129-val52276	5.48	3.55	55.12	3
130	obj130-val52655	5.21	3.16	6.17	3
131	obj131-val53034	5.37	3.89	62.82	3
132	obj132-val53413	5.29	3.22	68.84	3
133	obj133-val53792	8.65	4.23	18.43	4
134	obj134-val54171	2.75	1.63	80.54	3
135	obj135-val54549	3.26	1.78	54.78	3
136	obj136-val55307	5.35	4.13	46.12	2
137	obj137-val55686	4.33	1.70	5.71	3
138	obj138-val56065	7.62	2.92	4.90	2
139	obj139-val56443	7.62	4.57	23.05	3
140	obj140-val56822	2.42	0.40	50.19	3
141	obj141-val57201	6.67	2.74	27.76	3
142	obj142-val57580	7.08	3.28	30.34	3
143	obj143-val57959	3.55	1.42	16.26	2
144	obj144-val58338	5.32	3.42	12.88	3
145	obj145-val58716	1.39	0.71	57.99	1
146	obj146-val59095	7.58	6.02	10.89	4
147	obj147-val59474	4.41	3.82	67.52	2
148	obj148-val59853	6.28	2.92	81.87	3
149	obj149-val60232	3.70	2.02	80.13	3
150	obj150-val60610	2.46	1.42	29.36	2
151	obj151-val60989	1.46	0.89	66.04	1
152	obj152-val61368	6.59	4.44	12.38	3
153	obj153-val61747	6.17	1.67	9.25	3
154	obj154-val62126	10.54	2.80	7.77	3
155	obj155-val62504	3.15	1.35	64.80	2
156	obj156-val62883	5.30	3.26	74.48	3
157	obj157-val63641	2.79	1.49	79.22	2
158	obj158-val64020	5.94	3.70	8.97	3
159	obj159-val64399	1.17	0.23	23.20	1
160	obj160-val64777	5.10	3.29	21.50	2
161	obj161-val65535	4.61	3.60	49.76	3
