 	objlabelArray	ACIMajor	ACIMinor	MajorAngle	Dap
1	obj1-val1568	6.24	4.29	30.47	2
2	obj2-val1881	3.15	2.21	77.20	1
3	obj3-val2195	2.01	1.38	45	1
4	obj4-val2509	1.63	1.20	19.65	1
5	obj5-val2822	8.76	4.69	14.28	2
6	obj6-val3136	4.16	2.23	66.25	2
7	obj7-val3449	3.45	1.58	10.30	1
8	obj8-val3763	5.70	5.00	34.44	2
9	obj9-val4076	3.02	2.29	35.84	2
10	obj10-val4390	2.35	1.27	23.20	1
11	obj11-val4703	0.93	0.19	11.31	2
12	obj12-val5017	4.63	3.49	22.48	2
13	obj13-val5331	6.22	3.18	5.19	2
14	obj14-val5644	7.79	5.38	12.65	2
15	obj15-val5958	12.51	6.26	84.87	4
16	obj16-val6271	15.38	8.52	11.89	4
17	obj17-val6585	7.68	4.52	2.34	2
18	obj18-val6898	5.56	4.31	33.69	2
19	obj19-val7212	2.00	0.99	17.10	1
20	obj20-val7526	1.74	0.73	14.04	1
21	obj21-val7839	9.83	3.03	29.05	3
22	obj22-val8466	7.52	4.44	13.76	2
23	obj23-val8780	4.05	2.66	59.62	2
24	obj24-val9721	2.30	1.61	40.24	1
25	obj25-val10034	9.15	4.89	10.56	3
26	obj26-val10348	4.91	2.54	12.99	2
27	obj27-val10661	8.49	7.35	25.08	2
28	obj28-val11602	3.80	1.78	78.69	2
29	obj29-val12229	2.75	1.01	15.95	1
30	obj30-val12543	8.23	7.51	36.25	3
31	obj31-val12856	3.99	3.49	75.47	2
32	obj32-val13483	4.70	1.73	21.16	2
33	obj33-val13797	5.68	3.98	16.39	2
34	obj34-val14110	2.98	1.63	80.54	2
35	obj35-val14424	7.31	3.82	32.12	3
36	obj36-val14738	8.24	4.11	12.43	3
37	obj37-val15365	4.77	3.55	13.67	2
38	obj38-val15678	6.27	3.07	10.18	2
39	obj39-val15992	5.19	1.96	41.50	2
40	obj40-val16305	9.15	2.49	16.61	2
41	obj41-val16932	9.41	3.43	34.99	2
42	obj42-val17560	9.26	2.91	15.10	3
43	obj43-val18187	4.42	1.82	80.22	2
44	obj44-val18500	2.98	1.15	11.89	2
45	obj45-val18814	7.41	3.43	43.36	3
46	obj46-val19127	3.33	2.07	6.84	2
47	obj47-val19441	9.01	3.28	11.11	2
48	obj48-val19755	6.78	4.32	60.95	3
49	obj49-val20068	5.82	4.52	2.66	3
50	obj50-val20382	8.37	5.08	7.52	3
51	obj51-val20695	6.80	4.91	18.03	3
52	obj52-val21009	6.23	4.57	36.87	3
53	obj53-val21322	9.05	4.49	12.62	3
54	obj54-val21636	6.37	3.85	18.00	3
55	obj55-val21950	2.52	1.86	65.77	2
56	obj56-val22263	3.99	2.04	45	3
57	obj57-val22577	4.03	2.65	71.57	2
58	obj58-val23204	5.22	4.04	6.71	2
59	obj59-val23517	5.44	2.57	3.18	2
60	obj60-val23831	4.65	3.52	36.57	2
61	obj61-val24144	8.11	5.09	24.78	3
62	obj62-val24458	7.67	3.10	16.26	3
63	obj63-val24772	4.58	3.24	9.16	2
64	obj64-val25085	1.94	1.38	26.57	3
65	obj65-val25399	4.21	4.19	17.45	3
66	obj66-val25712	4.57	2.59	50.71	2
67	obj67-val26026	4.90	4.49	35.13	2
68	obj68-val26339	3.81	1.91	77.91	3
69	obj69-val26653	5.33	2.34	22.99	2
70	obj70-val27280	8.43	4.22	8.97	2
71	obj71-val28534	8.15	6.95	11.11	3
72	obj72-val28848	3.11	2.61	22.83	2
73	obj73-val29162	2.85	2.02	32.91	3
74	obj74-val29789	6.74	4.44	19.98	3
75	obj75-val30102	4.96	4.84	9.73	3
76	obj76-val30416	6.51	4.45	11.04	3
77	obj77-val30729	5.07	2.68	8.37	3
78	obj78-val31356	6.42	4.55	19.65	3
79	obj79-val31670	6.55	4.57	25.46	3
80	obj80-val31984	6.84	2.65	6.48	2
81	obj81-val32297	4.94	3.25	84.96	3
82	obj82-val32611	6.06	4.08	18.43	2
83	obj83-val32924	4.48	3.94	23.43	3
84	obj84-val33238	8.37	2.94	17.85	3
85	obj85-val33551	6.51	5.18	60.10	3
86	obj86-val33865	4.85	3.29	21.25	3
87	obj87-val34492	3.65	2.81	20.56	3
88	obj88-val34806	4.81	4.16	86.63	3
89	obj89-val35119	4.31	3.15	72.90	2
90	obj90-val35433	5.73	4.71	60.64	3
91	obj91-val35746	9.40	3.93	22.48	3
92	obj92-val36060	8.74	3.69	64.32	4
93	obj93-val36373	4.05	1.86	38.66	2
94	obj94-val36687	4.66	1.49	83.29	2
95	obj95-val37001	4.68	3.16	30.38	2
96	obj96-val37314	5.05	3.74	24.10	3
97	obj97-val37628	6.78	3.71	6.98	2
98	obj98-val37941	5.38	3.61	11.98	3
99	obj99-val38568	4.58	2.31	25.71	2
100	obj100-val38882	4.70	3.35	16.19	3
101	obj101-val39196	7.09	4.65	20.10	2
102	obj102-val39509	6.37	3.46	12.01	3
103	obj103-val39823	7.72	5.17	18.06	2
104	obj104-val40136	7.63	4.01	4.57	2
105	obj105-val40450	4.92	3.59	10.30	3
106	obj106-val40763	5.82	3.52	38.00	3
107	obj107-val41077	2.71	0.69	16.39	1
108	obj108-val41391	6.76	3.36	4.76	3
109	obj109-val41704	2.72	0.98	9.46	1
110	obj110-val42018	3.42	0.51	48.37	1
111	obj111-val42331	3.43	2.54	57.72	2
112	obj112-val42645	NaN	NaN	NaN	4
113	obj113-val42958	7.86	3.36	18.43	3
114	obj114-val43272	5.19	2.59	8.37	3
115	obj115-val43585	5.24	3.06	27.98	3
116	obj116-val43899	6.93	1.93	9.46	3
117	obj117-val44213	3.80	0.90	20.56	3
118	obj118-val44526	6.07	3.64	15.02	3
119	obj119-val44840	6.08	2.16	2.79	3
120	obj120-val45153	6.50	3.71	9.46	3
121	obj121-val45467	5.34	2.46	24.30	3
122	obj122-val45780	4.98	3.29	40.24	3
123	obj123-val46094	6.67	3.16	63.43	3
124	obj124-val46408	6.27	3.80	15.95	2
125	obj125-val46721	5.44	4.25	18.43	3
126	obj126-val47035	4.18	1.93	32.47	2
127	obj127-val47348	6.89	4.13	21.32	3
128	obj128-val47662	5.70	3.47	30.47	3
129	obj129-val47975	6.13	4.40	17.10	3
130	obj130-val48289	7.09	4.38	11.07	3
131	obj131-val48603	6.25	4.28	1.30	3
132	obj132-val48916	7.10	6.52	2.20	3
133	obj133-val49230	3.76	2.92	6.34	3
134	obj134-val49543	7.79	2.92	13.17	2
135	obj135-val49857	4.34	1.61	6.52	2
136	obj136-val50170	1.96	1.52	12.09	1
137	obj137-val50484	3.02	2.18	64.65	3
138	obj138-val51111	5.46	3.64	19.36	2
139	obj139-val51425	4.73	1.64	17.88	2
140	obj140-val51738	7.90	2.89	18.08	3
141	obj141-val52052	4.12	0.91	6.58	2
142	obj142-val52365	6.56	3.38	19.98	2
143	obj143-val52679	6.22	3.41	42.44	3
144	obj144-val52992	3.07	2.09	14.04	3
145	obj145-val53306	10.91	3.76	10.01	3
146	obj146-val53620	3.30	2.22	74.48	3
147	obj147-val53933	1.26	0.95	63.43	1
148	obj148-val54247	3.70	2.06	31.33	3
149	obj149-val54560	4.12	1.39	69.23	2
150	obj150-val54874	2.55	0.48	13.24	1
151	obj151-val55187	5.30	1.94	22.38	3
152	obj152-val55501	5.00	2.52	26.57	3
153	obj153-val56128	7.40	3.59	36.38	3
154	obj154-val56442	5.13	3.04	3.58	2
155	obj155-val56755	2.98	2.11	17.65	1
156	obj156-val57382	1.15	0.39	15.95	1
157	obj157-val57696	2.85	1.74	57.72	2
158	obj158-val58009	6.78	3.98	57.26	3
159	obj159-val58323	2.04	0.92	45	1
160	obj160-val58950	1.23	0.61	77.47	1
161	obj161-val59264	2.52	0.49	63.43	1
162	obj162-val59577	2.66	0.67	75.96	2
163	obj163-val60204	5.13	3.57	22.62	3
164	obj164-val60518	3.05	2.56	68.20	2
165	obj165-val60832	6.21	2.54	49.76	2
166	obj166-val61772	4.81	1.20	21.80	2
167	obj167-val62399	11.53	6.82	7.31	3
168	obj168-val62713	6.73	2.85	6.65	4
169	obj169-val63340	5.85	2.56	10.71	4
170	obj170-val63654	6.85	3.05	12.53	3
171	obj171-val64281	0.45	0.31	18.43	1
172	obj172-val64594	11.67	4.93	26.57	4
173	obj173-val64908	4.02	2.81	26.57	3
