 	objlabelArray	ACIMajor	ACIMinor	MajorAngle	Dap
1	obj1-val4608	7.83	4.37	7.97	2
2	obj2-val5120	6.67	3.64	74.05	2
3	obj3-val5632	5.57	3.13	38.88	2
4	obj4-val5888	4.79	3.16	53.47	2
5	obj5-val6144	7.20	3.17	61.78	2
6	obj6-val6400	8.44	3.90	22.17	2
7	obj7-val6656	2.41	1.08	63.43	1
8	obj8-val6912	5.57	4.48	17.93	2
9	obj9-val7168	4.68	2.42	29.98	2
10	obj10-val7424	6.73	4.10	13.74	2
11	obj11-val7936	7.29	5.48	63.97	2
12	obj12-val8192	5.27	4.49	51.58	2
13	obj13-val8448	5.95	5.06	7.13	2
14	obj14-val8704	6.08	4.29	11.59	2
15	obj15-val8960	3.34	3.04	5.19	2
16	obj16-val9216	6.01	4.30	28.07	2
17	obj17-val9472	9.47	8.65	24.44	3
18	obj18-val9728	7.33	2.04	64.49	2
19	obj19-val9984	4.53	2.79	60.75	2
20	obj20-val10240	3.99	2.45	62.45	2
21	obj21-val10496	3.17	2.10	27.76	2
22	obj22-val10752	3.00	2.38	17.53	1
23	obj23-val11008	9.07	7.74	22.69	3
24	obj24-val11264	7.30	4.56	14.04	3
25	obj25-val11520	4.93	4.57	36.25	2
26	obj26-val11776	10.78	7.80	22.78	3
27	obj27-val12032	5.92	2.85	9.46	2
28	obj28-val12288	8.35	4.16	34.29	3
29	obj29-val12544	2.91	1.50	39.29	1
30	obj30-val12800	1.54	1.20	9.46	1
31	obj31-val13056	2.84	1.91	41.99	1
32	obj32-val13312	6.20	3.52	49.69	3
33	obj33-val13568	5.05	3.67	10.71	2
34	obj34-val14080	1.30	0.90	35.54	1
35	obj35-val14336	8.74	6.45	74.74	3
36	obj36-val14592	5.35	2.45	32.01	2
37	obj37-val14848	9.01	4.09	36.43	2
38	obj38-val15104	5.40	4.66	66.80	2
39	obj39-val15360	2.20	1.73	15.95	1
40	obj40-val15872	0.82	0.25	68.20	1
41	obj41-val16128	9.35	5.85	28.07	3
42	obj42-val16640	4.01	2.54	12.34	2
43	obj43-val16896	2.88	0.57	53.75	1
44	obj44-val17664	7.62	4.44	4.40	3
45	obj45-val17920	7.93	4.47	70.41	3
46	obj46-val18176	7.04	4.11	37.87	2
47	obj47-val18432	3.41	2.44	52.13	2
48	obj48-val18688	4.43	3.15	11.31	2
49	obj49-val18944	7.07	2.67	17.28	2
50	obj50-val19200	9.51	3.77	48.90	3
51	obj51-val19456	6.72	4.65	45	3
52	obj52-val19712	10.38	6.51	21.80	3
53	obj53-val20224	7.14	4.99	21.32	2
54	obj54-val20480	4.48	3.43	34.16	2
55	obj55-val20736	4.80	2.77	3.47	3
56	obj56-val20992	3.73	2.67	15.64	2
57	obj57-val21248	5.25	2.79	5.19	2
58	obj58-val21504	4.25	2.44	67.07	2
59	obj59-val21760	5.50	1.83	6.17	3
60	obj60-val22016	8.31	5.76	2.96	3
61	obj61-val22272	4.08	3.29	43.60	2
62	obj62-val22528	1.30	1.00	18.43	1
63	obj63-val22784	1.31	0.63	69.44	1
64	obj64-val23040	2.17	1.72	60.26	1
65	obj65-val23552	9.15	6.42	40.40	3
66	obj66-val23808	4.06	3.60	19.09	2
67	obj67-val24064	8.00	4.57	30.38	2
68	obj68-val24320	7.75	3.88	42.71	3
69	obj69-val24832	2.12	1.32	50.71	2
70	obj70-val25088	3.93	2.40	14.04	3
71	obj71-val25344	7.26	3.74	20.41	3
72	obj72-val25856	5.98	4.21	7.94	3
73	obj73-val26112	7.41	4.01	30.34	3
74	obj74-val26368	1.63	1.22	74.74	2
75	obj75-val26624	5.60	4.13	82.09	3
76	obj76-val26880	5.17	1.78	26.57	2
77	obj77-val27136	4.97	3.96	86.10	3
78	obj78-val27392	6.66	4.31	5.31	2
79	obj79-val27648	2.24	1.47	61.70	1
80	obj80-val27904	4.92	3.05	38.66	2
81	obj81-val28416	1.43	1.15	18.43	1
82	obj82-val28672	6.91	2.51	10.08	3
83	obj83-val28928	6.33	3.18	17.10	2
84	obj84-val29440	2.53	0.86	72.65	1
85	obj85-val29696	4.04	1.83	4.40	1
86	obj86-val29952	7.47	3.82	56.93	3
87	obj87-val30208	4.74	2.99	53.84	3
88	obj88-val30464	3.34	2.00	9.46	2
89	obj89-val30976	3.44	2.68	22.25	2
90	obj90-val31232	8.87	4.31	35.43	3
91	obj91-val31488	5.63	4.41	47.20	3
