 	objlabelArray	fx0array	fy0array	fz0array	fx1array	fy1array	fz1array
1	obj1-val4033	163.34	25.75	0.66	154.65	26.24	3.12
2	obj2-val4537	147.93	29.19	0	150.06	26.24	3.77
3	obj3-val5041	178.43	31.32	1.80	187.78	34.93	4.76
4	obj4-val5545	171.87	33.78	1.15	174.33	38.54	4.92
5	obj5-val6049	176.30	16.40	0.98	172.86	13.28	5.74
6	obj6-val6554	178.27	22.14	1.15	183.84	14.76	5.90
7	obj7-val7058	165.31	19.02	1.64	173.35	10.66	5.58
8	obj8-val7562	136.78	25.26	2.95	148.09	23.62	3.28
9	obj9-val8066	137.60	30.01	2.13	143.99	38.87	5.25
10	obj10-val8570	169.58	27.22	0.66	173.68	32.80	7.05
11	obj11-val9074	161.21	32.47	1.80	182.53	35.59	5.41
12	obj12-val9578	160.06	33.13	1.80	169.25	39.69	5.25
13	obj13-val10082	188.27	19.19	2.13	198.44	17.55	5.90
14	obj14-val10586	167.77	25.09	0.49	166.30	19.52	7.71
15	obj15-val11091	146.94	27.22	2.62	149.40	38.70	5.90
16	obj16-val11595	150.72	19.35	2.79	161.70	12.30	7.05
17	obj17-val12099	87.90	20.66	4.43	99.71	23.62	4.43
18	obj18-val12603	187.78	15.58	2.79	192.04	11.48	6.23
19	obj19-val13107	170.89	20.50	1.48	175.64	21.98	7.54
20	obj20-val13611	153.50	24.60	2.13	164.66	19.84	7.71
21	obj21-val14619	185.81	24.44	2.79	193.85	30.18	6.40
22	obj22-val15123	184.01	28.54	1.97	194.18	33.13	5.58
23	obj23-val15628	184.17	14.10	1.97	180.07	12.63	6.40
24	obj24-val16132	178.92	30.50	1.97	187.45	32.96	5.74
25	obj25-val16636	132.84	20.66	3.12	146.45	13.61	7.05
26	obj26-val17140	126.44	19.84	3.94	137.10	14.27	6.72
27	obj27-val17644	185.65	23.62	2.46	190.08	14.92	6.89
28	obj28-val18148	160.23	32.80	1.80	161.38	31.65	7.87
29	obj29-val18652	151.37	34.93	1.15	154.49	32.31	7.71
30	obj30-val19156	154.98	11.97	3.28	167.77	8.53	6.23
31	obj31-val19661	134.48	12.79	5.08	123.16	12.46	5.41
32	obj32-val20165	85.44	24.60	5.25	98.24	27.39	5.25
33	obj33-val20669	175.97	25.58	0.98	172.86	24.93	8.20
34	obj34-val21173	164.49	30.01	1.48	162.20	28.21	8.20
35	obj35-val21677	176.79	31.49	2.30	183.52	29.68	6.56
36	obj36-val22181	189.09	21.65	3.44	203.52	21.81	6.89
37	obj37-val22685	167.77	26.90	1.80	169.58	22.30	8.04
38	obj38-val23189	134.32	26.40	2.95	143.01	33.95	7.05
39	obj39-val23693	130.54	30.67	3.28	143.34	38.21	5.58
40	obj40-val24198	154.98	31.49	2.79	164.98	36.90	6.40
41	obj41-val24702	85.61	14.10	6.07	99.55	15.25	6.23
42	obj42-val25206	153.67	20.01	3.44	161.70	14.76	7.54
43	obj43-val25710	134.64	23.12	3.12	143.99	17.88	7.71
44	obj44-val26214	160.88	13.78	3.12	174.33	16.56	6.89
45	obj45-val26718	122.02	23.45	4.43	110.70	20.99	6.40
46	obj46-val27222	136.61	25.26	3.12	141.20	27.88	8.36
47	obj47-val27726	157.77	27.06	3.61	167.44	21.98	7.71
48	obj48-val28230	150.88	28.21	2.95	152.52	29.52	8.04
49	obj49-val28735	143.99	28.86	2.30	146.94	30.18	8.20
50	obj50-val29239	117.10	26.24	3.61	111.19	34.28	6.40
51	obj51-val29743	127.26	26.90	3.77	138.91	30.34	7.38
52	obj52-val30247	149.24	28.21	2.46	150.55	33.46	7.71
53	obj53-val30751	78.39	32.80	4.26	90.86	35.59	7.54
54	obj54-val31255	139.56	28.21	1.80	146.12	34.93	7.05
55	obj55-val31759	162.69	33.95	3.12	173.84	36.41	6.07
56	obj56-val32263	137.27	12.63	5.58	148.91	10.33	5.74
57	obj57-val32768	149.73	20.50	2.79	157.77	12.96	7.22
58	obj58-val33272	176.96	23.62	1.64	183.84	19.35	7.38
59	obj59-val33776	127.26	22.96	3.94	139.40	19.02	7.71
60	obj60-val34280	150.22	22.96	2.79	157.28	16.73	7.87
61	obj61-val34784	111.68	20.99	4.26	99.06	22.96	5.74
62	obj62-val35288	129.72	23.78	3.44	137.92	26.57	8.20
63	obj63-val35792	101.84	11.32	5.08	93.97	4.92	6.89
64	obj64-val36296	144.65	20.99	2.79	148.42	15.25	7.71
65	obj65-val36800	147.60	21.98	2.62	151.37	19.84	8.36
66	obj66-val37305	87.90	22.14	3.94	89.71	21.48	6.72
67	obj67-val37809	184.01	24.44	2.79	180.73	22.80	7.54
68	obj68-val38313	192.70	26.40	3.44	205.16	28.04	6.56
69	obj69-val38817	98.89	28.70	4.59	107.42	32.64	7.38
70	obj70-val39321	127.92	31.98	3.28	134.32	34.93	6.89
71	obj71-val39825	179.09	26.08	2.46	174.33	22.30	7.54
72	obj72-val40329	97.91	25.58	4.43	97.58	23.45	7.87
73	obj73-val40833	189.58	24.11	3.77	198.60	29.68	6.23
74	obj74-val41337	122.34	27.72	3.94	133.50	31.49	7.54
75	obj75-val41842	161.21	15.91	2.95	171.54	19.19	7.71
76	obj76-val42346	120.54	18.70	3.77	132.35	16.24	7.38
77	obj77-val42850	143.34	21.48	3.44	145.96	20.50	8.53
78	obj78-val43354	187.29	22.96	3.12	191.06	21.98	7.71
79	obj79-val43858	82	21.32	4.10	81.67	24.93	9.02
80	obj80-val44362	154.32	25.58	2.62	161.21	21.16	8.36
81	obj81-val44866	111.36	24.44	4.43	103.16	24.27	8.20
82	obj82-val45370	155.47	31.49	2.79	160.06	28.04	8.53
83	obj83-val45875	167.44	30.34	2.79	169.74	26.08	8.04
84	obj84-val46379	118.74	27.39	4.10	125.62	32.47	7.38
85	obj85-val46883	115.13	16.24	5.08	108.08	19.19	7.71
86	obj86-val47387	147.76	25.09	3.28	151.21	28.70	8.69
87	obj87-val47891	124.97	26.73	3.77	133.33	25.42	8.36
88	obj88-val48395	85.61	17.88	4.76	86.10	15.58	8.69
89	obj89-val48899	87.25	27.72	5.41	100.70	29.36	7.05
90	obj90-val49403	83.48	28.70	4.76	92.33	31.82	8.53
