 	objlabelArray	ACIMajor	ACIMinor	MajorAngle	Dap
1	obj1-val4644	3.86	1.74	14.04	2
2	obj2-val5160	11.67	4.76	4.83	3
3	obj3-val5676	10.78	4.86	12.09	3
4	obj4-val6192	9.20	5.41	32.62	3
5	obj5-val6708	7.34	3.74	9.66	3
6	obj6-val7224	6.67	3.07	16.11	3
7	obj7-val7740	11.07	4.26	3.76	4
8	obj8-val8256	8.42	3.12	11.73	2
9	obj9-val8772	3.09	1.84	22.83	2
10	obj10-val9288	8.80	2.86	77.99	2
11	obj11-val9804	4.71	1.64	42.61	2
12	obj12-val10320	6.61	3.52	12.38	2
13	obj13-val10836	6.48	4.69	5.31	3
14	obj14-val11353	9.51	4.31	8.53	3
15	obj15-val11869	8.86	3.36	2.77	3
16	obj16-val12385	8.09	3.78	3.18	2
17	obj17-val12901	9.40	3.16	17.85	3
18	obj18-val13417	6.34	3.81	9.93	3
19	obj19-val13933	5.28	4.80	55.89	3
20	obj20-val14449	7.92	6.36	57.26	2
21	obj21-val14965	6.79	4.42	6.34	3
22	obj22-val15481	6.94	3.46	14.35	3
23	obj23-val15997	4.22	2.35	14.93	2
24	obj24-val16513	7.96	6.69	13.50	2
25	obj25-val17029	4.60	2.69	27.41	3
26	obj26-val17545	1.53	0.63	16.70	1
27	obj27-val18061	6.40	3.30	4.29	2
28	obj28-val18577	9.38	8.21	39.09	4
29	obj29-val19093	4.32	2.56	3.81	2
30	obj30-val19609	6.29	2.93	33.34	2
31	obj31-val20125	6.05	4.61	71.15	3
32	obj32-val20641	5.43	3.87	7.91	2
33	obj33-val21157	7.95	3.94	28.14	3
34	obj34-val21673	5.21	3.99	8.37	2
35	obj35-val22189	7.90	3.71	53.50	3
36	obj36-val22705	7.17	4.01	60.71	3
37	obj37-val23221	5.44	4.60	14.04	3
38	obj38-val23737	6.08	4.95	6.95	3
39	obj39-val24253	9.51	3.74	25.02	3
40	obj40-val24769	7.40	4.71	42.65	4
41	obj41-val25285	8.53	6.17	45.74	3
42	obj42-val25801	6.15	4.49	3.99	3
43	obj43-val26317	11.26	5.58	4.70	3
44	obj44-val26833	6.14	4.62	53.13	3
45	obj45-val27349	5.70	3.01	58.50	3
46	obj46-val27865	7.00	2.56	10.08	2
47	obj47-val28381	8.11	3.19	11.09	3
48	obj48-val28897	7.02	3.24	26.57	3
49	obj49-val29413	7.52	4.36	25.02	4
50	obj50-val29929	8.98	2.85	8.67	3
51	obj51-val30445	8.67	4.28	21.25	3
52	obj52-val30961	7.19	2.62	14.30	2
53	obj53-val31477	5.33	3.47	33.69	3
54	obj54-val31993	3.27	1.80	41.42	2
55	obj55-val32509	5.52	2.85	5.57	2
56	obj56-val33026	6.05	4.43	81.67	3
57	obj57-val33542	9.90	8.39	80.98	3
58	obj58-val34058	8.00	4.16	2.12	4
59	obj59-val34574	7.73	4.37	15.46	3
60	obj60-val35090	5.91	4.91	15.26	3
61	obj61-val35606	8.29	4.08	59.42	4
62	obj62-val36122	5.76	3.67	84.14	4
63	obj63-val36638	5.51	2.83	66.04	3
64	obj64-val37154	3.96	2.43	69.44	3
65	obj65-val37670	4.22	2.09	70.91	2
66	obj66-val38186	6.30	2.59	79.82	3
67	obj67-val38702	7.06	3.49	36.53	3
68	obj68-val39218	4.43	1.42	81.12	3
69	obj69-val39734	6.00	4.11	22.71	3
70	obj70-val40250	8.80	4.58	40.60	4
71	obj71-val40766	5.80	4.34	56.31	4
72	obj72-val41282	3.60	1.76	9.09	2
73	obj73-val41798	8.67	4.63	10.84	3
74	obj74-val42314	6.05	2.46	20.41	3
75	obj75-val42830	4.49	3.71	54.46	3
76	obj76-val43346	7.31	5.58	84.05	3
77	obj77-val43862	5.36	2.59	70.56	3
78	obj78-val44378	7.85	2.50	75.47	3
79	obj79-val44894	5.44	2.03	26.57	3
80	obj80-val45410	4.91	4.02	23.81	3
81	obj81-val45926	6.55	1.77	4.18	3
82	obj82-val46442	8.90	2.76	4.24	3
83	obj83-val46958	5.22	4.85	44.03	3
84	obj84-val47474	4.97	3.64	13.24	3
85	obj85-val47990	3.64	2.84	36.47	3
86	obj86-val48506	5.80	4.65	6.95	3
87	obj87-val49022	3.66	1.59	26.57	3
88	obj88-val49538	5.83	3.46	9.21	3
89	obj89-val50054	2.78	1.35	53.75	2
90	obj90-val50570	5.06	3.98	51.34	3
91	obj91-val51086	8.15	7.13	59.04	3
92	obj92-val51602	4.53	3.24	82.41	3
93	obj93-val52118	4.32	3.98	58.39	3
94	obj94-val52634	5.32	2.20	22.99	3
95	obj95-val53150	5.52	3.28	27.98	3
96	obj96-val53666	5.85	2.72	74.88	3
97	obj97-val54182	4.59	2.81	37.87	3
98	obj98-val54699	3.46	1.83	59.42	3
99	obj99-val55215	7.62	5.09	37.57	3
100	obj100-val55731	6.24	4.65	26.57	3
101	obj101-val56247	2.55	1.84	67.62	3
102	obj102-val56763	5.55	4.19	68.96	3
103	obj103-val57279	4.88	3.88	59.04	3
104	obj104-val57795	6.14	4.82	51.55	3
105	obj105-val58311	4.31	1.50	15.07	3
106	obj106-val58827	4.77	3.34	50.19	3
107	obj107-val59343	2.20	1.89	15.52	3
108	obj108-val59859	5.68	3.75	15.02	4
109	obj109-val60375	4.13	1.92	21.04	2
110	obj110-val60891	6.22	3.35	51.34	2
111	obj111-val61407	3.23	1.94	26.57	2
112	obj112-val61923	5.00	2.70	69.86	2
113	obj113-val62439	10.62	4.29	42.71	2
114	obj114-val62955	3.91	3.35	14.04	2
115	obj115-val63471	4.16	2.67	70.91	3
116	obj116-val63987	6.55	3.18	44.09	3
117	obj117-val64503	4.29	2.99	86.05	3
118	obj118-val65019	1.92	0.34	51.34	2
119	obj119-val65535	4.70	2.29	56.73	2
