 	objlabelArray	fx0array	fy0array	fz0array	fx1array	fy1array	fz1array
1	obj1-val4854	12.30	26.08	0	14.27	25.26	3.12
2	obj2-val5340	162.85	10.66	0.33	159.74	11.81	3.44
3	obj3-val6311	52.81	21.65	1.31	68.55	21.81	3.12
4	obj4-val6796	208.12	24.44	1.48	207.62	29.68	3.61
5	obj5-val7767	127.10	20.17	1.97	124.48	14.60	4.59
6	obj6-val8253	80.85	23.62	1.97	72.32	24.93	3.77
7	obj7-val8738	206.31	16.73	1.31	209.92	12.63	5.90
8	obj8-val9223	176.96	20.83	0.98	179.09	25.09	3.77
9	obj9-val10194	72.82	16.07	1.80	81.51	15.74	3.44
10	obj10-val10680	72.98	17.55	1.48	70.36	17.06	3.77
11	obj11-val11165	198.28	19.02	1.80	208.12	22.80	4.59
12	obj12-val11651	195.98	16.40	1.64	197.46	11.15	4.92
13	obj13-val12136	197.62	15.42	1.64	203.03	11.32	5.08
14	obj14-val12622	176.96	16.56	1.64	184.17	12.63	5.41
15	obj15-val13107	87.08	25.58	3.94	77.41	27.22	3.94
16	obj16-val13592	153.34	28.21	1.31	151.04	28.37	4.26
17	obj17-val14078	184.66	27.22	1.80	181.71	26.90	3.44
18	obj18-val15049	126.94	12.79	2.62	125.13	13.12	4.76
19	obj19-val15534	125.79	13.94	3.77	115.95	14.43	4.26
20	obj20-val16020	137.60	12.30	4.26	124.48	14.43	4.76
21	obj21-val16505	211.56	20.34	1.15	215.50	14.76	6.07
22	obj22-val16991	145.63	15.25	0.82	144.48	14.43	5.90
23	obj23-val17476	87.08	24.76	3.61	99.55	21.98	4.43
24	obj24-val17961	98.89	22.47	2.79	100.04	26.24	4.76
25	obj25-val18447	194.83	23.29	1.64	202.54	28.21	6.23
26	obj26-val18932	193.19	35.75	3.61	203.03	33.29	5.90
27	obj27-val19418	183.19	12.96	2.79	185.48	12.79	5.58
28	obj28-val19903	150.06	17.55	0.98	153.50	13.61	5.90
29	obj29-val20874	87.58	18.53	2.13	100.37	17.22	4.59
30	obj30-val21360	162.85	19.19	1.64	159.90	12.79	5.90
31	obj31-val21845	204.02	14.92	2.46	210.25	15.25	6.56
32	obj32-val22330	179.58	23.29	1.64	188.60	13.61	6.40
33	obj33-val23301	119.56	22.30	2.46	104.47	21.32	3.61
34	obj34-val23787	204.34	24.44	3.28	208.77	26.40	6.56
35	obj35-val24272	115.29	26.40	2.62	111.03	27.22	6.23
36	obj36-val24758	132.18	26.73	2.62	120.54	30.67	5.41
37	obj37-val25243	131.36	29.52	2.13	133.66	30.50	5.74
38	obj38-val25729	159.08	26.90	1.48	148.75	31.00	5.90
39	obj39-val26214	184.83	29.19	2.13	194.34	33.95	6.56
40	obj40-val27185	186.14	23.45	1.97	196.31	16.07	7.38
41	obj41-val28156	171.71	15.91	1.31	162.69	13.94	6.23
42	obj42-val28641	104.47	19.19	3.12	99.71	18.70	5.08
43	obj43-val29127	113.16	18.20	3.61	103.16	20.50	4.26
44	obj44-val29612	218.28	26.40	3.44	232.39	25.91	7.87
45	obj45-val30098	203.69	24.27	3.28	207.62	30.01	6.89
46	obj46-val30583	100.70	27.22	4.26	111.52	29.85	5.08
47	obj47-val31068	203.20	30.18	2.79	202.54	30.50	7.22
48	obj48-val31554	135.14	21.16	2.62	125.95	17.22	6.40
49	obj49-val32039	195.49	20.34	1.97	206.64	15.25	7.05
50	obj50-val32525	86.59	23.78	3.77	93.32	22.63	5.58
51	obj51-val33010	119.39	22.96	3.12	101.35	24.93	5.08
52	obj52-val33496	188.60	24.76	2.46	197.62	23.94	8.20
53	obj53-val33981	190.57	27.22	2.46	200.74	30.50	7.38
54	obj54-val34467	142.19	32.31	4.76	133.82	32.64	5.08
55	obj55-val35437	190.57	16.24	1.31	196.80	13.94	6.56
56	obj56-val35923	140.71	17.06	2.30	133.17	14.43	5.90
57	obj57-val36408	160.23	19.35	1.97	154.82	16.89	6.89
58	obj58-val36894	131.36	22.47	2.46	118.08	22.47	6.72
59	obj59-val37379	143.83	18.86	2.46	133.33	17.38	6.56
60	obj60-val37865	228.45	21.81	4.43	237.96	26.08	7.38
61	obj61-val38350	183.19	31.82	2.30	192.04	36.74	6.23
62	obj62-val38836	126.12	19.52	2.46	116.44	23.12	5.58
63	obj63-val39321	175.15	21.98	1.31	173.51	20.17	7.87
64	obj64-val39806	166.79	23.12	2.62	170.23	23.12	8.20
65	obj65-val40292	137.76	23.78	3.44	149.24	29.52	6.56
66	obj66-val40777	119.72	29.68	3.77	120.21	27.88	6.07
67	obj67-val41263	231.40	18.20	4.59	235.67	15.58	6.89
68	obj68-val41748	184.17	23.45	2.13	187.29	21.32	8.36
69	obj69-val42234	135.14	25.09	2.79	125.13	28.04	6.56
70	obj70-val42719	126.28	26.73	3.12	114.31	25.42	6.40
71	obj71-val43205	215.33	30.18	3.77	226.81	31.16	7.71
72	obj72-val43690	167.12	34.44	5.25	180.89	36.90	5.41
73	obj73-val44175	217.63	14.76	5.08	229.27	16.73	7.54
74	obj74-val44661	151.54	19.84	2.79	145.30	17.06	6.56
75	obj75-val45146	153.18	20.99	4.26	139.40	21.98	6.89
76	obj76-val45632	176.14	31.00	3.12	184.83	33.29	7.22
77	obj77-val46117	164.82	20.99	1.64	177.78	13.61	6.07
78	obj78-val46603	218.12	16.07	4.26	219.27	22.96	7.71
