Nb	Obj	Type	Label	CX (pix)	CY (pix)	CZ (pix)	CX (unit)	CY (unit)	CZ (unit)	Xmin (pix)	Ymin (pix)	Zmin (pix)	Xmax (pix)	Ymax (pix)	Zmax (pix)	VolBounding (pix)	RatioVolbox	Vol (unit)	Vol (pix)	Surf (unit)	Surf (pix)	SurfCorr (pix)	Comp (pix)	Spher (pix)	CompCorr (pix)	SpherCorr (pix)	Comp (unit)	Spher (unit)	CompDiscrete	Feret (unit)	Ell_MajRad	Ell_Elon	Ell_Flatness	volEllipsoid (unit)	RatioVolEllipsoid	Moment1	Moment2	Moment3	Moment4	Moment5	DCMin (unit)	DCMax (unit)	DCMean (unit)	DCSD (unit)	
0	1	0	obj1-val2244	977.7127984084881	77.38322281167109	10.735610079575597	160.34489893899206	12.69084854111406	4.294244031830239	952	59	0	1006	97	23	51480.0	0.29292929292929293	162.236672	15080	332.5329600000093	6786.0	4437.5566	0.08230258777456313	0.4349822396649175	0.29432241629450484	0.6651829570235379	0.08095549579299552	0.43259597688004103	0.9640198437981509	11.648082733154297	5.150822749677417	1.3794528308620062	1.498555071363909	200.73910630821482	0.8081966438114048	867.8250258610587	214679.01935747208	1.4754813392672043E7	3.508122394842374	0.02257549135496442	1.3332375836693056	6.859581216298587	3.5916646839501474	0.9297708249336089	
1	2	0	obj2-val3142	1187.020024205083	220.65980855979757	22.528147577657975	194.67128396963363	36.1882086038068	9.01125903106319	1166	193	7	1209	249	41	87780.0	0.31062884483937114	293.34929280000006	27267	466.663968000062	9272.0	5880.6896	0.10548891389204196	0.47250085555887755	0.4134683964165251	0.7449848480719579	0.09576562693166493	0.4575131258580769	0.9757441719562018	13.707358360290527	5.97565304841932	1.4231749569083145	1.2938114561194192	341.0806891524223	0.8600583443435814	1187.3612549003155	411706.41180574475	4.259749025017767E7	3.4243497531528613	0.02544692984280029	2.2995415099712164	7.547983314428785	4.377594210941374	0.9459889679618677	
2	3	0	obj3-val3591	569.2080499653018	141.82373351839001	22.53934767522554	93.3501201943095	23.259092297015965	9.015739070090216	554	127	14	587	159	34	23562.0	0.3057889822595705	77.514272	7205	168.21676799999335	3454.0	2206.7466333333336	0.1424798154961584	0.5222976399453346	0.5463399086300958	0.8174997751804016	0.14276043583411835	0.5226403108813863	0.9703414281014094	8.202518463134766	3.446622924601588	1.3782860616434245	1.083491869245211	83.32311930418051	0.9302852875325677	436.10934926907305	59051.57937760822	2542147.7513750456	3.220766769059746	0.03064887917357477	1.5167934356993789	4.73583833982827	2.653021610949623	0.45198873509884613	
3	4	0	obj4-val4938	1043.5664145234493	44.26995461422088	22.262450832072616	171.1448919818457	7.260272556732224	8.904980332829046	1026	17	13	1067	74	33	51156.0	0.3230315114551568	177.78256000000002	16525	317.1353280000033	6792.0	4483.367	0.09856943747015812	0.4619352399111553	0.3427065754359093	0.6998003345065441	0.11207192014733115	0.48213195974556844	0.969562997375679	10.304503440856934	5.107806681425219	1.4867892863310204	1.2562281136387066	201.01320557042453	0.8844322416305843	843.4507181312288	204352.02657075418	1.479513482951941E7	3.4812921890440345	0.02465697474193668	1.867599265843484	5.59781213522649	3.5316830327271487	0.7281835106516948	
4	5	0	obj5-val5835	1077.6748746741528	218.0690194505715	26.660597553639462	176.73867944656106	35.76331918989373	10.664239021455785	1047	182	14	1114	238	45	124032.0	0.20103682920536636	268.26070400000003	24935	477.5640640000575	10132.0	6768.380000000001	0.06760605201450336	0.4073761333775247	0.22678635352536466	0.6098255826027561	0.07472597244746552	0.421202461623649	0.9653193737515935	15.274868965148926	7.198404593314379	1.4684142549914092	2.0543654638438595	352.71380472803014	0.7605619638472896	1515.8806751764264	579596.0793905997	4.555275667873687E7	3.9646476280332945	0.01307734600030482	0.949716955527252	7.833458853461251	4.612142837344669	1.4030929974315929	
5	6	0	obj6-val6284	974.0748160035416	84.06219910353605	25.770073598583366	159.74826982458083	13.786200652979913	10.308029439433348	955	62	12	996	108	40	57246.0	0.3156727107570835	194.41504640000005	18071	319.2030400000041	6394.0	4121.091166666667	0.14128590878784628	0.5208346866912146	0.5276914761325574	0.8080905468102116	0.1314350103635643	0.5084371960648586	0.9783094435990292	11.708372116088867	5.681538900159709	1.6019798739575533	1.39523351343702	214.5485239156557	0.9061588625817318	954.0345697909211	240486.39156053992	1.6854691603589494E7	3.784754532054339	0.01941013138375148	1.4551730696580643	6.034200368632987	3.87453959807483	0.9114064069851381	
6	7	0	obj7-val7182	1232.7269752985442	172.90217569115	30.88447570750859	202.16722394896127	28.3559568133486	12.353790283003436	1198	151	19	1277	198	51	126720.0	0.24120107323232323	328.83049600000004	30565	533.8331200000816	11306.0	7496.0788	0.07310957012925874	0.418143280492943	0.25084112731005914	0.6306662367492888	0.08038592330346046	0.43157906162011844	0.9693532169517657	16.109140396118164	7.150131270056243	1.6397248795096255	1.332803272186253	427.28988355151375	0.7695723878760085	1502.8837203310468	595417.489397736	6.685208702972373E7	3.7934046564885406	0.019694222024329227	1.765224262573251	9.68260264811058	4.607162219599298	1.4201415486003597	
7	8	0	obj8-val7631	1232.567970581104	209.54913925482907	33.9417279560333	202.14114717530106	34.36605883779197	13.57669118241332	1193	189	19	1258	236	49	98208.0	0.2519753991528185	266.22736640000005	24746	451.6494400000563	9180.0	5959.344133333333	0.08952294221161373	0.44734762058682315	0.32724046023265396	0.6891107077614811	0.08700682826368807	0.4431167150044861	0.971510301555566	12.227579116821289	5.582347724320419	1.1069359290664076	1.6445182407557863	361.622613473325	0.7362022077185122	1226.9308681797288	457827.8873462778	4.7882951195604116E7	3.288046440372658	0.025925111375094713	0.47772865584947055	6.550473659605444	4.275261835965291	0.9980360758129035	
8	9	0	obj9-val8080	1009.2074439936497	87.86540836126301	27.04361439407303	165.51002081495855	14.409926971247133	10.817445757629212	984	64	13	1029	120	46	89148.0	0.2543635303091488	243.9574784	22676	392.99123200003027	7992.0	5153.569566666667	0.11392494942197318	0.48477468102857474	0.42487467125426864	0.7517733864611438	0.11090013173552546	0.4804457312450488	0.9757321687463997	13.645832061767578	7.500994891414893	1.9509576539332794	1.4988911903115596	309.8699085931016	0.7872899937513682	1443.0930498071393	448990.61182799673	3.515835578337973E7	4.638220701147889	0.011698914082123835	1.597430756139265	7.866742165210457	4.583617641008218	1.3782251934830723	
9	10	0	obj10-val8529	1302.4159790438769	228.3147347740668	29.586378519973806	213.5962205631958	37.44361650294696	11.834551407989522	1286	213	22	1320	244	37	17920.0	0.42606026785714285	82.14038400000001	7635	155.3158719999953	3360.0	2246.2713666666664	0.17380114132924188	0.5580645830087834	0.5816795460827501	0.8347592962392597	0.20366589647098543	0.5883552974011446	0.976230867230671	6.663674831390381	3.13618676886307	1.110699593018031	1.1998715257078978	87.29037720767063	0.9410015929313905	434.0108526917165	61183.16641795618	2789988.987205282	3.0787131703420454	0.03412720495774334	1.7016657022204296	3.8068557458584444	2.625707406491268	0.3544844555010448	
