Nb	Obj	Type	Label	CX (pix)	CY (pix)	CZ (pix)	CX (unit)	CY (unit)	CZ (unit)	Xmin (pix)	Ymin (pix)	Zmin (pix)	Xmax (pix)	Ymax (pix)	Zmax (pix)	VolBounding (pix)	RatioVolbox	Vol (unit)	Vol (pix)	Surf (unit)	Surf (pix)	SurfCorr (pix)	Comp (pix)	Spher (pix)	CompCorr (pix)	SpherCorr (pix)	Comp (unit)	Spher (unit)	CompDiscrete	Feret (unit)	Ell_MajRad	Ell_Elon	Ell_Flatness	volEllipsoid (unit)	RatioVolEllipsoid	Moment1	Moment2	Moment3	Moment4	Moment5	DCMin (unit)	DCMax (unit)	DCMean (unit)	DCSD (unit)	
0	1	0	obj1-val2185	907.2151654796816	154.63569333891914	9.142940930037705	148.7832871386678	25.36025370758274	3.657176372015082	879	136	0	936	169	23	47328.0	0.2521763015551048	128.40150400000002	11935	251.38707199997748	5444.0	3618.2169000000004	0.09984880476846641	0.4639251929759369	0.3401053211099142	0.6980252650999341	0.11737180304197607	0.48961521158719357	0.966258819870058	11.386966705322266	5.088388009587148	1.7047246030788414	1.2883875334329553	147.39212414599197	0.8711558011934089	746.7374885148255	144274.92694573654	7954599.234445985	3.864960381946027	0.019103565848633736	1.5603589379397733	5.7397203974524125	3.315708000765871	0.877962196288437	
1	2	0	obj2-val2621	974.9796332046332	161.52017374517374	9.323648648648648	159.89665984555984	26.489308494208494	3.7294594594594592	956	141	2	993	183	22	34314.0	0.3019175846593227	111.457024	10360	231.55487999998232	4816.0	3131.306366666667	0.10867069623721316	0.4772044349066002	0.39536225145067533	0.733947620944972	0.11316325859121865	0.48369188031505544	0.9668749138595586	9.13338851928711	4.038976798032467	1.3661018925605906	1.129686455718497	130.91172795642748	0.851390671713517	593.1025506326253	108589.52887713134	6275189.701277853	3.2394526360359572	0.030077205567502048	1.4391124118517706	5.340917485384255	3.0550166960460743	0.619826152547371	
2	3	0	obj3-val3058	941.29866189513	154.10821534152794	9.39933094756496	154.37298055080132	25.27374731601058	3.7597323790259845	916	132	0	961	177	20	44436.0	0.2892699612926456	138.2884736	12854	280.6315519999871	5996.0	3973.306	0.08668502765640239	0.44256974166297186	0.29790166146206337	0.6678685225526138	0.09786217081182177	0.4608277444450868	0.9633812878967024	9.14957046508789	3.9270424109749396	1.1141799542124977	1.224009437138318	166.95134236984077	0.8283160329052938	671.7789265974207	146000.06564326223	1.0205859358743245E7	3.091004954224205	0.03366436686434958	1.5102896628587492	4.975660523076841	3.248481769939353	0.5897926078751986	
3	4	0	obj4-val3495	959.465143625063	185.10288929951284	11.611540399798422	157.35228355451034	30.356873845120106	4.6446161599193685	941	162	3	979	205	22	34320.0	0.34691142191142194	128.08951040000002	11906	232.04425599998206	4886.0	3247.126733333333	0.13744335316806286	0.5160695101091906	0.46825930078557587	0.7765369711290929	0.14851387764775756	0.5295690823642009	0.974269974204096	8.658720016479492	3.834422192006802	1.250974681356758	1.0375837241954393	145.43474903440347	0.8807352524099978	610.2162798109118	120415.96950658965	7744727.118776058	3.092313334120453	0.034084329145168756	2.008373230712171	4.485633313385042	3.135718530727795	0.4868491074866348	
4	5	0	obj5-val3932	1006.2197896985131	170.86815082559764	13.456625318327445	165.02004551055614	28.022376735398012	5.382650127330979	976	143	4	1033	198	26	74704.0	0.32589955022488754	261.9240064	24346	389.8345600000359	8574.0	5703.7171	0.10635481862630995	0.47379017246613725	0.36127148039386947	0.7122151805599801	0.1309670272138086	0.5078330374971891	0.9749430325375299	11.640110969543457	5.722958966302851	1.5249050409273155	1.2003369149911693	281.2948113565262	0.9311369987128033	1052.4418870066374	317662.7976920364	2.8972981655663684E7	3.4868229253584375	0.02485414442381768	2.1996091356859044	5.965934971152089	3.978263458399335	0.7686748247858364	
5	6	0	obj6-val4369	673.90274165583	87.81854139575206	14.44061551798873	110.52004963155613	14.40224078890334	5.776246207195492	649	66	0	697	115	33	83300.0	0.22156062424969988	198.55703040000003	18456	341.00454400000996	7124.0	4597.570366666667	0.10655057656721541	0.4740806819472172	0.39640797374393394	0.7345941417008794	0.11244558620884686	0.4826672003206618	0.9724651475268302	14.8682861328125	6.663729470197939	2.2508299064385078	1.1185683529697505	218.7221563795974	0.9078048318772044	1118.6700541915611	263231.5879043191	1.7516821582185548E7	4.7540749197616226	0.012512649194032202	1.5897474214531064	8.242100875946557	3.9087878019345994	1.2582344954610674	
6	7	0	obj7-val4806	831.2236810836501	147.5718274714829	13.210373098859316	136.32068369771864	24.201779705323194	5.284149239543726	793	123	3	855	171	24	67914.0	0.24784286008775805	181.08538880000003	16832	355.6097280000155	7644.0	5035.131633333333	0.07174006787883412	0.41551589568114405	0.25101017820988786	0.6308078811896323	0.0824704367292128	0.43527774136565345	0.9618419821525682	10.634498596191406	4.2605900401840895	1.1802852100895402	1.0581944741170575	219.76494157155875	0.8239957998079321	796.0308092413522	207153.2982884427	1.768424701223548E7	3.0589184651992336	0.03505879153497156	1.5843128961425348	6.609060673784557	3.530721852990253	0.7151403651072658	
7	8	0	obj8-val5243	965.2892930908122	89.4000932773669	16.51535745219535	158.3074440668932	14.661615297488174	6.60614298087814	936	62	1	991	124	34	119952.0	0.125125050020008	161.47282560000002	15009	361.99523200001715	7726.0	5028.5712	0.05524484726747867	0.38085910717304655	0.20036510000467952	0.5851591842886811	0.062164538327761684	0.39613933941896057	0.9528348682271965	15.14785385131836	7.520370295073209	2.4957744340596073	1.3035956229751275	219.40812555892487	0.7359473364473661	1319.5001621448632	298659.6084485425	1.7626868433988973E7	5.829648967079188	0.007672675291563134	0.8636717255674261	8.36182588794733	3.829125554395105	1.5293209851805016	
8	9	0	obj9-val5680	773.307210031348	182.24547048509643	15.451729451144997	126.82238244514107	29.888257159555817	6.180691780457999	729	156	5	803	218	34	141750.0	0.13277601410934745	202.48384640000003	18821	409.9186560000363	8866.0	5939.0994	0.05748500612491643	0.38593894690555486	0.19123878731473162	0.5761364164929018	0.06731937654714493	0.4067995080425843	0.9574841128802812	14.05001449584961	6.105959662818578	1.2638665895426748	1.8531784435194079	322.1296304427755	0.6285787684966476	1253.3325055974892	443118.60361921595	3.799540667975204E7	3.5449704813954246	0.019298883618826954	1.4207726249239814	9.471431378683542	4.02603110855625	1.4499302752540624	
9	10	0	obj10-val6117	914.1888450117856	185.90648054611688	13.427801757124927	149.92697058193284	30.48866280956317	5.3711207028499715	872	161	0	946	212	29	117000.0	0.2792051282051282	351.44465280000003	32667	493.60064000007776	10734.0	7195.8701	0.09758568290441524	0.4603933465853404	0.32390744768104923	0.6867631405645338	0.11615532143643269	0.4879178222880827	0.975759118415032	12.742426872253418	5.978646953761828	1.3323527045245571	1.273803803940709	395.87343239693655	0.8877702417969073	1269.5136829198711	488388.5782187906	5.7382895923534155E7	3.2999645425753057	0.02804595956577965	2.3449503567520393	7.211880810074928	4.374438362443905	0.9131842793923146	
