 	objlabelArray	ACIMajor	ACIMinor	MajorAngle	Dap
1	obj1-val4810	8.45	3.28	5.29	2
2	obj2-val6012	9.50	5.40	50.19	3
3	obj3-val6614	9.52	6.06	68.20	3
4	obj4-val7215	1.04	0.89	33.69	1
5	obj5-val7816	5.04	3.59	8.75	3
6	obj6-val8417	2.47	1.37	71.57	2
7	obj7-val9019	6.16	4.53	24.23	2
8	obj8-val9620	9.66	4.80	45	2
9	obj9-val10221	4.55	3.44	14.47	3
10	obj10-val10822	6.64	5.13	51.15	3
11	obj11-val11424	6.18	5.26	58.57	2
12	obj12-val12025	12.05	3.25	4.18	3
13	obj13-val12626	2.07	1.66	36.03	1
14	obj14-val13227	8.53	7.42	30.26	3
15	obj15-val13828	6.52	4.04	54.90	3
16	obj16-val14430	10.24	5.24	44.43	4
17	obj17-val15632	7.44	2.98	6.98	2
18	obj18-val16233	10.65	7.59	74.29	3
19	obj19-val16835	9.12	4.54	24.96	4
20	obj20-val17436	2.72	0.83	60.64	2
21	obj21-val18037	9.29	3.16	31.12	3
22	obj22-val18638	4.13	3.68	63.43	3
23	obj23-val19240	9.45	4.14	21.10	3
24	obj24-val19841	14.21	3.83	7.96	4
25	obj25-val20442	10.42	3.67	17.04	3
26	obj26-val21043	7.66	5.04	61.14	3
27	obj27-val21645	5.38	3.67	18.43	2
28	obj28-val22246	11.72	6.92	70.64	3
29	obj29-val22847	6.00	3.91	30.53	3
30	obj30-val24050	8.91	3.29	5.19	3
31	obj31-val24651	5.84	4.12	24.44	3
32	obj32-val25252	4.96	3.65	3.27	3
33	obj33-val25853	10.48	2.58	16.53	3
34	obj34-val26454	7.04	2.77	74.22	3
35	obj35-val27056	8.48	2.68	3.30	3
36	obj36-val27657	6.30	2.45	25.28	2
37	obj37-val28258	5.60	3.21	14.38	2
38	obj38-val28859	6.89	4.93	4.86	2
39	obj39-val29461	6.70	4.29	46.22	3
40	obj40-val30062	10.74	1.54	16.53	3
41	obj41-val30663	1.64	1.31	33.69	1
42	obj42-val31264	5.73	2.69	2.86	3
43	obj43-val31866	6.38	3.64	14.04	3
44	obj44-val32467	6.94	4.70	15.07	3
45	obj45-val33068	5.88	4.27	82.69	3
46	obj46-val33669	8.83	3.34	9.46	3
47	obj47-val34872	5.67	4.18	30.47	3
48	obj48-val35473	7.15	4.51	18.78	3
49	obj49-val36074	8.65	2.58	45	3
50	obj50-val36676	7.21	5.10	16.93	3
51	obj51-val37277	6.87	2.78	2.34	3
52	obj52-val37878	5.36	4.26	6.17	3
53	obj53-val38479	5.80	5.16	40.76	3
54	obj54-val39081	9.74	2.45	1.94	3
55	obj55-val39682	5.26	3.97	57.09	3
56	obj56-val40283	5.82	2.95	8.84	4
57	obj57-val40884	11.43	3.36	5.71	4
58	obj58-val41485	5.10	3.83	66.37	2
59	obj59-val42087	7.58	3.66	4.57	3
60	obj60-val42688	9.15	3.42	5.91	3
61	obj61-val43289	3.78	1.94	60.26	3
62	obj62-val43890	7.31	5.95	30.76	3
63	obj63-val44492	8.77	2.35	7.52	2
64	obj64-val45093	10.74	4.96	23.88	3
65	obj65-val45694	4.95	2.10	35.75	3
66	obj66-val46295	6.41	2.40	12.99	3
67	obj67-val46897	5.42	4.58	26.57	3
68	obj68-val47498	4.16	3.32	84.29	3
69	obj69-val48099	6.18	4.03	56.69	3
70	obj70-val48700	6.87	2.16	2.49	3
71	obj71-val49302	5.41	3.51	16.99	3
72	obj72-val49903	5.10	3.94	49.76	3
73	obj73-val50504	5.65	2.47	21.25	3
74	obj74-val51105	11.17	5.40	30.26	3
75	obj75-val51707	6.17	2.27	20.73	3
76	obj76-val52308	3.83	2.10	6.84	3
77	obj77-val52909	6.99	5.26	51.15	4
78	obj78-val53510	4.57	3.29	24.30	3
79	obj79-val54111	7.43	2.99	4.86	3
80	obj80-val54713	4.46	2.61	38.42	3
81	obj81-val55314	5.53	1.15	66.80	3
82	obj82-val55915	3.54	2.03	4.24	3
83	obj83-val56516	5.39	2.61	15.95	3
84	obj84-val57118	2.71	1.93	67.62	2
85	obj85-val57719	6.97	5.73	67.96	2
86	obj86-val58921	3.31	1.40	26.57	2
87	obj87-val59523	1.82	0.55	70.02	1
88	obj88-val60124	10.72	3.62	18.69	3
89	obj89-val60725	5.68	2.28	19.98	3
90	obj90-val61326	8.43	5.31	3.81	3
91	obj91-val61928	2.54	1.58	63.43	2
92	obj92-val62529	7.11	2.90	5.71	4
93	obj93-val63130	2.28	0.68	58.39	1
94	obj94-val63731	2.05	0.79	59.74	2
95	obj95-val64333	2.05	1.31	34.70	2
96	obj96-val64934	7.61	4.07	32.12	3
