 	objlabelArray	ACIMajor	ACIMinor	MajorAngle	Dap
1	obj1-val2979	8.88	3.89	27.90	2
2	obj2-val3475	6.34	2.60	65.90	3
3	obj3-val4965	6.61	5.30	7.43	3
4	obj4-val5958	8.27	3.28	2.86	3
5	obj5-val6454	7.56	5.29	10.84	4
6	obj6-val6951	8.01	6.21	15.95	3
7	obj7-val7447	8.32	5.99	14.50	3
8	obj8-val7944	10.13	2.98	9.16	2
9	obj9-val8440	3.96	3.10	15.64	3
10	obj10-val8937	5.36	4.37	83.99	2
11	obj11-val9433	6.43	4.14	25.41	3
12	obj12-val9930	7.29	3.90	5.71	3
13	obj13-val10426	7.83	5.83	66.50	3
14	obj14-val10923	7.04	3.98	16.59	3
15	obj15-val11419	6.63	3.50	68.50	2
16	obj16-val11915	8.86	5.25	70.91	3
17	obj17-val12412	7.45	6.93	77.69	3
18	obj18-val12908	6.84	3.76	32.28	3
19	obj19-val13405	6.01	2.60	67.93	3
20	obj20-val13901	5.66	2.90	73.01	3
21	obj21-val14398	9.55	3.21	38.96	3
22	obj22-val14894	8.17	2.87	58.86	3
23	obj23-val15391	7.37	3.68	30.76	3
24	obj24-val15887	5.87	2.46	29.43	3
25	obj25-val16384	5.44	2.72	52.00	3
26	obj26-val16880	5.83	3.98	18.43	2
27	obj27-val17377	5.67	3.25	15.52	3
28	obj28-val17873	4.99	2.52	76.76	3
29	obj29-val18370	5.48	4.00	32.01	2
30	obj30-val18866	9.06	6.04	51.79	3
31	obj31-val19363	7.24	2.80	4.57	3
32	obj32-val19859	8.77	3.33	23.86	4
33	obj33-val20356	6.83	3.03	47.35	3
34	obj34-val20852	6.46	4.11	13.45	3
35	obj35-val21349	6.69	3.20	9.25	2
36	obj36-val21845	5.20	3.55	50.39	3
37	obj37-val22341	7.16	5.13	78.91	3
38	obj38-val22838	6.87	6.52	52.65	3
39	obj39-val23334	8.02	3.22	48.92	3
40	obj40-val23831	7.22	5.60	54.06	4
41	obj41-val24327	5.74	3.93	3.81	3
42	obj42-val24824	5.28	4.31	17.93	3
43	obj43-val25320	7.24	2.54	9.87	4
44	obj44-val25817	6.86	4.26	21.41	3
45	obj45-val26313	4.10	3.37	66.25	3
46	obj46-val26810	4.98	2.96	81.12	3
47	obj47-val27306	6.03	3.86	26.57	3
48	obj48-val27803	3.62	1.38	79.11	2
49	obj49-val28299	5.21	1.74	23.81	3
50	obj50-val28796	5.51	2.35	6.17	3
51	obj51-val29292	4.93	4.20	15.95	3
52	obj52-val29789	6.59	2.40	31.87	3
53	obj53-val30285	9.92	4.37	8.88	3
54	obj54-val30782	6.14	4.11	39.96	3
55	obj55-val31278	7.08	4.80	78.44	3
56	obj56-val31775	5.63	4.46	50.01	4
57	obj57-val32271	10.15	5.41	11.48	3
58	obj58-val32768	7.45	4.35	26.57	3
59	obj59-val33264	6.12	5.21	12.68	3
60	obj60-val33760	5.21	3.30	60.07	3
61	obj61-val34257	5.85	3.26	81.03	2
62	obj62-val35250	9.67	2.92	16.70	3
63	obj63-val35746	4.55	2.08	38.05	3
64	obj64-val36243	6.72	3.92	12.80	3
65	obj65-val36739	5.93	3.03	16.14	3
66	obj66-val37236	7.35	4.57	4.57	3
67	obj67-val37732	4.93	2.85	15.71	3
68	obj68-val38229	4.66	2.60	52.77	3
69	obj69-val38725	4.20	2.12	53.13	3
70	obj70-val39222	5.40	4.51	35.71	2
71	obj71-val39718	6.09	5.12	59.74	3
72	obj72-val40215	8.42	4.05	17.78	2
