 	objlabelArray	fx0array	fy0array	fz0array	fx1array	fy1array	fz1array
1	obj1-val2482	113.16	16.40	0.49	112.67	14.76	3.28
2	obj2-val2979	112.83	20.17	0.16	111.03	23.94	3.44
3	obj3-val3475	123.16	30.83	2.30	132.18	25.42	2.62
4	obj4-val3972	102.01	27.39	1.80	104.47	36.08	6.07
5	obj5-val4468	152.68	23.45	2.13	154.49	22.80	4.92
6	obj6-val4965	99.22	25.42	2.62	96.76	34.44	5.74
7	obj7-val5461	151.70	24.60	2.30	152.03	23.29	5.58
8	obj8-val5958	110.04	28.70	1.48	106.60	28.21	5.25
9	obj9-val6454	140.38	22.14	3.77	149.73	18.20	4.43
10	obj10-val6951	109.88	33.29	2.30	115.78	37.23	6.72
11	obj11-val7447	82.49	29.36	3.12	74.62	32.80	4.92
12	obj12-val7944	61.99	19.19	2.95	72.65	13.61	6.07
13	obj13-val8440	54.61	18.70	2.62	60.19	13.12	6.23
14	obj14-val8937	71.34	22.47	2.62	83.31	27.55	5.74
15	obj15-val9433	135.96	24.76	2.62	137.27	34.28	5.25
16	obj16-val9930	60.35	27.55	2.79	67.40	33.46	6.40
17	obj17-val10426	109.55	16.73	1.80	107.09	11.64	6.89
18	obj18-val10923	65.76	28.54	2.95	79.05	30.50	6.40
19	obj19-val11419	77.74	21.81	2.30	81.84	14.60	6.40
20	obj20-val11915	69.54	19.19	2.30	78.39	14.76	6.89
21	obj21-val12412	31.65	19.19	4.59	22.96	18.04	5.90
22	obj22-val12908	104.30	24.11	2.13	105.29	33.29	7.87
23	obj23-val13405	148.26	28.70	3.44	155.64	28.54	8.86
24	obj24-val13901	123.33	30.01	1.80	126.77	32.31	8.86
25	obj25-val14398	119.72	32.31	2.79	122.67	38.38	7.05
26	obj26-val14894	161.38	12.46	4.26	160.56	11.64	6.56
27	obj27-val15391	96.27	26.24	2.13	85.28	28.70	6.23
28	obj28-val15887	158.92	7.05	3.77	156.46	11.81	6.56
29	obj29-val16384	105.62	22.14	2.79	98.73	14.43	7.54
30	obj30-val16880	44.61	17.06	5.25	35.26	16.89	5.90
31	obj31-val17377	53.96	20.83	4.43	46.74	15.42	6.89
32	obj32-val17873	95.94	20.99	2.62	90.20	19.19	8.04
33	obj33-val18370	65.60	19.35	2.95	78.88	20.83	7.05
34	obj34-val18866	141.20	15.58	3.61	151.86	10.99	6.72
35	obj35-val19363	92.82	21.81	2.79	86.26	25.42	7.22
36	obj36-val19859	62.16	23.78	3.61	80.36	22.47	6.72
37	obj37-val20356	97.25	25.58	1.97	91.84	21.48	7.71
38	obj38-val20852	62.65	26.24	3.44	74.95	28.04	7.54
39	obj39-val21349	131.36	29.68	2.95	129.40	35.59	7.38
40	obj40-val21845	122.84	29.85	1.97	125.46	35.26	8.36
41	obj41-val22341	115.13	14.76	2.46	116.44	14.43	8.69
42	obj42-val22838	77.90	21.98	2.30	87.08	19.19	7.05
43	obj43-val23334	101.35	27.88	2.13	98.73	32.14	7.54
44	obj44-val23831	100.20	22.30	2.95	92.33	19.52	8.20
