 	objlabelArray	fx0array	fy0array	fz0array	fx1array	fy1array	fz1array
1	obj1-val3486	54.28	29.52	0.16	63.63	25.91	3.61
2	obj2-val3834	139.07	27.06	0.82	141.37	25.75	3.28
3	obj3-val4183	132.18	25.26	0.49	134.64	28.04	3.44
4	obj4-val4532	138.91	27.39	0.98	136.78	25.75	3.44
5	obj5-val5577	29.52	15.25	0.49	27.22	21.81	4.92
6	obj6-val5926	130.05	26.40	0.98	125.95	26.08	3.12
7	obj7-val6275	73.80	20.17	0.49	70.36	14.60	5.08
8	obj8-val6623	66.75	17.22	0	69.04	21.81	5.25
9	obj9-val7320	172.20	23.29	0.66	172.86	19.02	3.44
10	obj10-val7669	133.00	20.99	0.16	133.50	15.09	5.90
11	obj11-val8018	154.00	26.73	0.98	154.32	37.72	4.26
12	obj12-val8366	147.11	20.17	0.82	143.66	16.24	4.26
13	obj13-val8715	140.55	23.78	0.49	137.60	16.73	4.26
14	obj14-val9063	133.99	29.68	1.31	141.86	39.85	4.76
15	obj15-val10109	130.05	20.50	0.49	125.30	11.48	4.76
16	obj16-val10806	144.16	36.74	1.31	143.34	39.03	3.77
17	obj17-val11503	127.10	25.26	0.82	134.15	18.70	4.59
18	obj18-val11852	166.95	32.31	1.48	178.10	34.44	4.76
19	obj19-val12549	135.14	16.24	1.31	138.09	12.79	5.58
20	obj20-val12898	153.34	19.68	1.31	153.83	14.76	4.43
21	obj21-val13595	126.44	36.08	0.66	119.39	37.56	5.08
22	obj22-val13944	90.20	37.88	1.15	92.66	37.23	4.76
23	obj23-val14292	143.34	28.21	1.15	155.31	32.31	5.41
24	obj24-val14641	93.15	31.16	1.97	97.58	34.60	5.41
25	obj25-val14989	157.44	24.27	1.15	159.90	17.38	4.43
26	obj26-val15338	141.70	25.09	0.98	141.04	15.74	7.05
27	obj27-val15687	175.48	23.78	0.98	177.12	20.50	5.08
28	obj28-val16035	48.38	23.12	2.62	49.86	22.80	5.08
29	obj29-val16384	77.41	30.67	2.95	71.34	32.96	4.92
30	obj30-val16732	85.28	34.11	2.46	83.48	36.57	5.25
31	obj31-val17081	109.72	37.06	3.94	95.94	35.59	4.10
32	obj32-val17430	157.44	34.93	1.31	155.80	36.90	5.25
33	obj33-val17778	128.41	34.11	0.98	136.12	39.69	4.76
34	obj34-val18475	103.16	21.98	2.30	102.34	17.06	6.40
35	obj35-val18824	182.86	25.75	1.48	184.17	24.93	5.90
36	obj36-val19172	152.85	23.29	1.15	159.90	31.32	6.72
37	obj37-val19521	175.15	28.54	1.48	186.47	28.04	4.10
38	obj38-val19870	164.82	28.37	1.48	173.84	36.57	4.76
39	obj39-val20218	160.88	33.46	1.31	165.48	39.03	4.92
40	obj40-val20915	161.70	17.06	2.30	166.30	15.09	5.58
41	obj41-val21264	148.58	23.29	2.79	160.56	16.07	6.07
42	obj42-val21613	51.17	21.48	2.62	41.33	20.01	5.74
43	obj43-val21961	87.08	23.94	3.12	104.14	18.53	7.22
44	obj44-val22310	52.97	22.96	2.95	54.78	20.17	4.43
45	obj45-val23007	172.36	17.06	2.62	170.89	16.24	5.58
46	obj46-val23356	66.09	19.35	3.12	67.90	15.25	7.05
47	obj47-val23704	180.73	18.70	1.97	181.71	20.17	5.74
48	obj48-val24401	21.48	23.78	3.61	13.61	24.44	5.58
49	obj49-val25447	165.31	14.76	3.12	167.77	14.10	5.58
50	obj50-val25796	38.54	20.99	3.44	34.28	24.11	6.07
51	obj51-val26493	171.54	29.68	1.48	174.33	28.37	6.40
52	obj52-val26841	85.94	35.42	2.79	88.07	36.24	6.07
53	obj53-val27190	157.11	38.54	2.95	142.02	40.18	4.43
54	obj54-val27887	162.36	24.93	1.64	170.23	17.71	6.23
55	obj55-val28236	63.80	26.73	2.95	62.98	30.01	5.25
56	obj56-val28584	113.65	26.90	2.13	105.78	35.10	5.08
57	obj57-val29282	124.15	11.64	4.26	113.82	14.43	5.90
58	obj58-val29630	30.01	24.27	5.08	19.35	25.26	5.25
59	obj59-val29979	48.38	25.58	3.12	46.90	25.26	6.56
60	obj60-val30327	150.72	25.42	0.98	148.58	28.21	8.04
61	obj61-val30676	52.64	27.39	2.62	49.20	28.54	6.23
62	obj62-val31025	126.28	27.88	2.13	132.18	33.29	7.05
63	obj63-val31373	118.57	33.62	1.48	113.00	33.29	6.23
64	obj64-val31722	121.52	28.54	1.48	126.77	37.72	5.58
65	obj65-val32070	68.39	33.13	3.12	72.65	36.57	5.58
66	obj66-val32419	109.72	12.63	5.08	94.46	13.94	5.90
67	obj67-val33116	29.03	23.12	4.43	35.42	19.84	4.59
68	obj68-val33465	150.22	16.89	1.97	145.47	15.25	7.05
69	obj69-val33813	84.62	19.19	3.61	98.40	16.73	5.25
70	obj70-val34162	45.59	24.60	3.61	38.21	25.09	6.23
71	obj71-val34510	61.50	30.83	4.26	52.81	25.42	6.72
72	obj72-val34859	175.15	31.00	1.80	178.10	24.76	6.40
73	obj73-val35208	160.06	32.80	2.79	169.08	33.78	5.90
74	obj74-val35556	124.15	29.52	2.13	130.71	34.60	6.72
75	obj75-val35905	142.52	28.86	0.66	148.26	36.57	6.56
76	obj76-val36253	148.58	33.62	1.48	148.91	36.24	6.56
77	obj77-val36602	132.84	32.14	1.64	141.53	37.72	6.07
78	obj78-val37299	120.21	20.50	1.97	116.11	15.09	7.05
79	obj79-val37648	32.14	18.20	4.26	18.04	18.37	5.08
80	obj80-val37996	3.77	23.12	4.26	12.79	19.52	5.41
81	obj81-val38345	153.50	23.94	2.30	158.10	26.73	7.71
82	obj82-val38694	174.82	26.24	1.80	173.35	22.80	6.89
83	obj83-val39391	164.98	27.88	1.48	160.06	25.91	7.38
84	obj84-val39739	93.81	27.06	2.46	104.96	33.95	5.74
85	obj85-val40088	159.41	33.95	2.30	160.56	33.78	6.40
86	obj86-val40436	78.06	31.98	2.79	78.23	34.60	7.05
87	obj87-val40785	124.31	25.09	1.31	129.89	13.12	6.07
88	obj88-val41134	208.94	11.81	3.94	211.40	21.48	5.08
89	obj89-val41482	13.45	20.99	3.61	15.42	18.53	5.58
90	obj90-val42179	170.56	16.56	5.25	170.07	33.29	5.58
91	obj91-val42528	161.70	14.60	3.61	160.39	25.75	7.54
92	obj92-val42877	179.74	21.81	2.79	178.10	21.32	6.23
93	obj93-val43225	104.14	24.44	2.46	107.91	20.17	8.04
94	obj94-val43574	51.17	23.94	3.12	50.18	25.09	6.72
95	obj95-val43922	94.79	26.90	3.44	102.01	25.42	7.87
96	obj96-val44271	146.29	30.83	1.97	152.85	31.16	7.38
97	obj97-val44620	140.88	29.68	0.82	140.22	32.31	7.71
98	obj98-val44968	79.87	29.68	2.79	85.77	34.11	6.89
99	obj99-val45317	119.39	30.67	2.13	111.85	27.39	7.54
100	obj100-val45665	156.62	33.29	3.61	154.98	33.62	6.40
101	obj101-val46014	64.29	24.93	2.95	53.79	24.27	7.22
102	obj102-val46363	113.49	26.40	2.13	103.32	24.93	8.04
103	obj103-val46711	133.00	28.54	1.80	126.94	25.58	8.20
104	obj104-val47060	123	27.06	2.13	128.74	30.67	7.71
105	obj105-val47408	85.77	26.57	3.28	97.42	28.86	7.05
106	obj106-val47757	107.26	26.90	2.30	99.88	29.68	7.22
107	obj107-val48105	115.46	26.57	2.46	107.09	29.68	7.54
108	obj108-val48454	82.66	29.19	2.95	89.87	28.54	7.87
109	obj109-val48803	85.61	32.96	4.76	97.42	33.95	5.74
110	obj110-val49151	78.23	22.63	3.44	76.75	15.25	8.04
