 	objlabelArray	ACIMajor	ACIMinor	MajorAngle	Dap
1	obj1-val4033	6.56	3.51	3.81	2
2	obj2-val4537	4.71	3.02	36.47	2
3	obj3-val5041	7.60	3.53	12.65	2
4	obj4-val5545	8.13	3.57	20.56	2
5	obj5-val6049	8.33	7.91	10.89	2
6	obj6-val6554	7.55	6.97	19.06	3
7	obj7-val7058	7.83	5.23	63.95	3
8	obj8-val7562	9.35	4.97	5.91	2
9	obj9-val8066	7.43	4.18	48.18	3
10	obj10-val8570	5.23	3.51	16.56	3
11	obj11-val9074	15.11	5.63	10.76	5
12	obj12-val9578	8.06	4.72	23.20	3
13	obj13-val10082	7.38	6.32	22.25	3
14	obj14-val10586	10.84	5.99	20.66	4
15	obj15-val11091	7.86	6.26	62.05	3
16	obj16-val11595	8.67	4.71	24.78	3
17	obj17-val12099	6.98	6.61	34.70	2
18	obj18-val12603	3.92	3.14	26.57	2
19	obj19-val13107	6.49	5.98	74.41	3
20	obj20-val13611	9.37	7.06	6.05	4
21	obj21-val14619	10.06	2.38	30.51	3
22	obj22-val15123	5.33	3.33	6.01	3
23	obj23-val15628	5.03	3.04	20.77	2
24	obj24-val16132	5.19	4.04	67.17	3
25	obj25-val16636	9.97	5.40	35.84	4
26	obj26-val17140	8.17	3.86	19.44	3
27	obj27-val17644	8.38	4.60	75.96	3
28	obj28-val18148	5.69	3.39	60.07	3
29	obj29-val18652	7.55	5.24	21.37	3
30	obj30-val19156	8.48	2.91	11.73	3
31	obj31-val19661	8.07	2.44	8.58	2
32	obj32-val20165	11.50	3.84	9.87	3
33	obj33-val20669	4.06	3.33	24.62	4
34	obj34-val21173	4.32	2.86	20.32	3
35	obj35-val21677	5.12	3.41	85.36	3
36	obj36-val22181	8.06	4.13	16.70	3
37	obj37-val22685	3.51	2.14	24.44	3
38	obj38-val23189	5.91	4.26	70.64	3
39	obj39-val23693	7.60	4.56	33.02	3
40	obj40-val24198	6.50	3.08	56.31	3
41	obj41-val24702	8.72	8.11	32.86	3
42	obj42-val25206	5.25	3.15	49.24	3
43	obj43-val25710	7.46	3.87	5.71	3
44	obj44-val26214	8.83	5.70	29.74	3
45	obj45-val26718	9.69	8.11	16.53	3
46	obj46-val27222	4.76	2.24	8.62	3
47	obj47-val27726	5.49	2.04	25.20	3
48	obj48-val28230	6.24	3.84	52.85	3
49	obj49-val28735	5.09	2.76	13.67	3
50	obj50-val29239	7.24	4.46	17.02	2
51	obj51-val29743	7.21	3.65	24.08	3
52	obj52-val30247	5.19	2.60	81.87	3
53	obj53-val30751	9.76	5.48	2.45	3
54	obj54-val31255	5.95	4.30	58.30	3
55	obj55-val31759	5.59	3.11	32.47	3
56	obj56-val32263	6.93	2.11	8.84	2
57	obj57-val32768	6.25	3.01	54.61	3
58	obj58-val33272	7.95	3.65	30.02	3
59	obj59-val33776	7.73	3.07	25.60	3
60	obj60-val34280	5.50	4.49	73.01	3
61	obj61-val34784	12.07	3.43	14.98	3
62	obj62-val35288	6.60	2.73	13.09	3
63	obj63-val35792	8.84	4.43	56.02	2
64	obj64-val36296	4.12	3.69	34.22	3
65	obj65-val36800	4.10	3.37	76.43	3
66	obj66-val37305	1.95	1.05	51.34	1
67	obj67-val37809	3.05	1.28	20.22	2
68	obj68-val38313	5.78	3.29	13.67	3
69	obj69-val38817	8.31	4.65	17.10	2
70	obj70-val39321	5.27	3.85	35.54	2
71	obj71-val39825	4.18	1.93	21.45	3
72	obj72-val40329	3.12	2.02	21.80	2
73	obj73-val40833	4.96	2.39	14.93	2
74	obj74-val41337	7.92	5.99	23.20	3
75	obj75-val41842	3.58	2.32	21.37	3
76	obj76-val42346	7.65	3.16	47.73	3
77	obj77-val42850	4.81	2.89	64.18	3
78	obj78-val43354	2.48	1.81	38.66	2
79	obj79-val43858	10.08	7.75	18.43	3
80	obj80-val44362	5.93	2.75	71.57	3
81	obj81-val44866	7.27	3.33	13.45	2
82	obj82-val45370	5.47	4.20	40.60	3
83	obj83-val45875	4.04	2.00	39.56	3
84	obj84-val46379	5.75	4.71	65.32	2
