 	objlabelArray	ACIMajor	ACIMinor	MajorAngle	Dap
1	obj1-val6144	2.53	0.66	2.86	1
2	obj2-val7168	3.41	2.54	71.57	1
3	obj3-val7680	7.22	4.49	21.12	2
4	obj4-val8704	9.44	4.23	45	2
5	obj5-val9216	2.50	1.41	75.26	1
6	obj6-val9728	10.47	3.89	12.88	3
7	obj7-val10240	8.16	2.66	4.32	2
8	obj8-val10752	7.51	3.72	1.06	2
9	obj9-val11264	10.49	4.77	53.13	3
10	obj10-val11776	8.93	3.34	4.09	2
11	obj11-val12288	10.75	3.49	5.63	2
12	obj12-val12800	1.00	0.38	51.34	1
13	obj13-val13312	5.76	2.82	10.44	2
14	obj14-val13824	6.62	2.84	20.10	2
15	obj15-val14336	8.17	4.63	57.20	3
16	obj16-val14848	10.06	3.77	16.78	2
17	obj17-val15360	2.19	0.63	28.30	1
18	obj18-val15872	2.32	1.39	10.62	1
19	obj19-val16384	6.25	5.12	26.57	2
20	obj20-val16896	6.59	3.26	13.74	2
21	obj21-val17408	10.70	6.69	82.78	3
22	obj22-val17920	4.13	3.33	64.23	2
23	obj23-val18944	5.93	3.74	35.71	2
24	obj24-val19456	9.64	4.50	82.28	3
25	obj25-val19968	5.71	2.43	18.03	2
26	obj26-val20480	4.34	2.86	16.19	2
27	obj27-val20992	3.20	2.30	22.83	2
28	obj28-val21504	8.89	4.37	35.54	3
29	obj29-val22016	8.70	5.34	61.14	3
30	obj30-val22528	4.96	2.22	4.90	2
31	obj31-val23040	9.00	4.16	75.20	3
32	obj32-val23552	7.44	4.63	10.84	3
33	obj33-val24064	3.61	1.84	30.96	2
34	obj34-val24576	4.11	1.93	29.48	2
35	obj35-val25088	1.05	0.59	32.01	1
36	obj36-val25600	9.88	8.84	52.05	3
37	obj37-val26112	8.47	5.21	39.09	3
38	obj38-val26624	6.21	4.54	56.63	2
39	obj39-val27136	10.65	4.21	14.66	3
40	obj40-val27648	6.58	3.47	2.49	2
41	obj41-val28160	2.44	1.19	69.44	2
42	obj42-val28672	5.92	4.77	71.57	2
43	obj43-val29184	7.83	2.66	28.61	3
44	obj44-val29696	4.90	2.60	60.95	2
45	obj45-val30208	7.38	5.78	38.83	3
46	obj46-val30720	4.63	3.44	45	2
47	obj47-val31232	8.45	2.96	13.54	2
48	obj48-val32768	7.98	3.53	9.27	3
49	obj49-val33279	6.92	3.82	7.59	3
50	obj50-val33791	8.74	5.36	21.37	3
51	obj51-val34303	8.97	4.09	63.43	3
52	obj52-val34815	5.64	2.39	11.00	2
53	obj53-val35327	10.79	4.60	6.61	3
54	obj54-val35839	8.27	6.81	66.37	2
55	obj55-val36351	4.97	2.87	11.63	3
56	obj56-val36863	8.60	2.48	22.78	3
57	obj57-val37375	7.55	3.58	8.67	3
58	obj58-val37887	7.74	2.23	19.50	3
59	obj59-val38399	10.66	3.66	3.92	3
60	obj60-val38911	5.72	2.56	68.20	3
61	obj61-val39423	11.43	2.58	14.24	3
62	obj62-val39935	6.05	3.62	84.43	3
63	obj63-val40447	3.12	1.78	71.57	2
64	obj64-val40959	7.06	2.29	11.77	3
65	obj65-val41471	8.87	3.67	9.09	3
66	obj66-val41983	8.98	3.84	7.85	3
67	obj67-val42495	4.37	3.91	47.60	2
68	obj68-val43007	3.59	2.66	27.65	2
69	obj69-val43519	4.14	2.28	35.31	2
70	obj70-val44031	7.29	5.05	67.75	3
71	obj71-val45055	5.65	3.43	15.95	2
72	obj72-val45567	8.41	4.00	53.50	2
73	obj73-val46079	5.27	2.50	82.50	3
74	obj74-val46591	5.81	3.28	59.74	3
75	obj75-val47615	6.63	5.45	47.73	3
76	obj76-val48127	4.17	3.33	30.26	2
77	obj77-val48639	8.10	2.85	6.84	3
78	obj78-val49151	5.48	3.25	22.99	3
79	obj79-val49663	1.91	0.65	17.10	2
80	obj80-val50175	7.29	2.32	10.08	3
81	obj81-val50687	5.83	3.48	17.45	3
82	obj82-val51199	6.42	4.61	78.23	3
83	obj83-val51711	7.73	2.76	5.95	3
84	obj84-val52223	4.60	3.78	53.47	3
85	obj85-val52735	4.67	1.89	7.85	3
86	obj86-val53247	7.69	2.59	77.35	3
87	obj87-val53759	2.92	1.58	32.01	1
88	obj88-val54271	5.58	5.00	60.42	3
89	obj89-val54783	8.99	2.35	3.88	4
90	obj90-val55295	5.41	4.51	4.09	3
91	obj91-val55807	5.59	3.36	23.81	2
92	obj92-val56319	5.36	3.37	50.83	3
93	obj93-val56831	5.34	3.07	37.48	2
94	obj94-val57343	5.33	2.33	25.02	3
95	obj95-val57855	4.82	3.14	10.62	3
96	obj96-val58367	5.83	2.83	53.13	3
97	obj97-val58879	4.95	3.31	18.97	3
98	obj98-val59391	6.57	4.67	48.58	3
99	obj99-val59903	7.71	3.16	21.37	3
100	obj100-val60415	5.12	2.48	14.04	2
101	obj101-val60927	5.55	3.73	72.07	3
102	obj102-val61439	1.61	1.34	75.96	2
103	obj103-val61951	2.30	1.79	83.66	2
104	obj104-val62463	5.64	2.99	48.47	3
105	obj105-val62975	5.33	3.05	16.14	3
106	obj106-val63487	5.79	1.02	58.78	2
107	obj107-val64511	1.61	1.47	56.31	1
108	obj108-val65023	6.00	3.08	51.34	3
109	obj109-val65535	3.20	0.83	55.62	1
