 	objlabelArray	fx0array	fy0array	fz0array	fx1array	fy1array	fz1array
1	obj1-val3827	106.93	10.99	0.98	102.01	17.55	3.12
2	obj2-val4305	130.05	22.96	1.80	139.73	14.10	4.92
3	obj3-val4784	126.94	18.04	2.30	125.95	14.76	5.25
4	obj4-val5262	133.17	28.04	2.46	145.14	24.44	4.43
5	obj5-val5740	129.56	17.88	1.80	137.10	13.45	5.08
6	obj6-val6219	141.20	31.32	3.12	149.73	30.34	4.10
7	obj7-val6697	101.02	13.61	1.97	109.72	11.32	6.07
8	obj8-val7175	107.09	20.99	1.80	112.34	12.96	6.56
9	obj9-val7654	87.90	15.91	3.44	81.18	25.26	3.61
10	obj10-val8132	89.22	15.42	2.95	99.71	10.99	4.92
11	obj11-val9089	86.76	16.24	2.46	85.94	12.63	6.07
12	obj12-val9567	98.56	19.68	1.48	98.24	12.30	6.72
13	obj13-val10046	65.76	28.04	3.12	74.29	31.32	6.07
14	obj14-val10524	128.90	15.09	2.95	127.76	14.27	6.72
15	obj15-val11002	88.56	17.55	3.12	88.56	14.10	6.23
16	obj16-val11481	105.12	20.66	2.46	106.93	11.97	7.05
17	obj17-val11959	68.88	14.27	4.76	82.33	12.79	5.25
18	obj18-val12437	54.61	14.92	4.76	45.92	16.40	5.58
19	obj19-val12916	121.20	35.42	2.46	128.41	39.36	6.89
20	obj20-val13394	141.86	14.60	3.12	149.40	12.14	7.22
21	obj21-val13872	58.88	20.17	3.44	65.93	14.76	6.40
22	obj22-val14351	93.48	22.96	2.95	87.90	16.56	6.89
23	obj23-val14829	138.25	23.78	2.30	135.79	21.81	9.35
24	obj24-val15307	143.17	32.47	2.79	147.76	30.34	9.18
25	obj25-val15786	122.51	33.13	2.13	135.79	37.56	7.54
26	obj26-val16264	149.90	18.20	3.44	151.86	13.28	7.05
27	obj27-val16743	144.81	22.14	2.79	138.74	17.55	8.36
28	obj28-val17221	129.72	23.12	1.97	134.81	18.37	9.02
29	obj29-val17699	46.08	25.26	4.10	39.85	31.16	6.72
30	obj30-val18178	63.14	24.93	4.26	60.84	35.10	6.23
31	obj31-val18656	128.25	26.90	2.46	134.97	29.68	9.18
32	obj32-val19134	108.40	24.60	2.79	117.92	14.60	7.38
33	obj33-val19613	150.55	21.32	3.61	159.74	16.24	8.20
34	obj34-val20091	128.08	32.31	2.46	130.22	28.54	9.35
35	obj35-val20569	119.06	17.71	1.80	114.14	12.63	6.72
36	obj36-val21048	119.23	18.53	1.97	125.46	14.60	7.38
37	obj37-val21526	72.32	22.30	3.28	86.92	14.92	6.23
38	obj38-val22004	78.56	24.60	3.61	86.59	19.02	6.72
39	obj39-val22483	127.10	24.93	2.95	121.03	21.48	9.02
40	obj40-val22961	94.63	22.63	2.79	95.78	25.91	8.36
41	obj41-val23440	88.07	24.11	2.79	87.58	30.01	7.71
42	obj42-val23918	102.50	30.18	2.79	93.32	31.82	8.86
43	obj43-val24396	109.39	28.21	2.30	116.28	32.14	9.18
44	obj44-val24875	133.33	33.95	2.95	135.79	31.00	9.18
45	obj45-val25353	106.44	32.31	2.62	112.67	40.84	7.54
46	obj46-val25831	128.58	17.55	3.28	137.43	15.09	7.22
47	obj47-val26310	82	31.82	3.94	88.23	37.06	7.05
48	obj48-val27266	95.45	19.68	2.46	95.12	15.25	7.87
49	obj49-val27745	104.47	32.64	3.28	95.12	35.75	8.36
50	obj50-val28223	115.46	32.96	2.95	114.96	37.88	8.53
51	obj51-val28701	106.11	21.16	2.62	113.49	16.07	8.36
52	obj52-val29180	66.91	20.34	3.61	75.28	15.58	6.56
53	obj53-val29658	126.12	19.68	3.12	129.72	17.71	8.53
54	obj54-val30137	65.44	23.62	3.94	76.59	20.34	7.54
55	obj55-val30615	127.76	30.34	2.46	130.05	26.73	9.68
56	obj56-val31093	57.73	27.22	3.94	46.90	30.18	7.87
57	obj57-val31572	82.16	30.34	4.43	73.80	33.29	6.89
58	obj58-val32050	88.40	31.65	3.77	94.79	37.72	7.54
59	obj59-val32528	103.32	21.65	2.95	101.19	16.40	8.69
60	obj60-val33007	73.96	19.84	3.28	81.18	18.04	7.38
61	obj61-val33485	51.50	21.16	4.26	47.23	18.04	7.38
62	obj62-val33963	128.74	24.60	2.62	135.63	22.47	9.51
63	obj63-val34442	127.92	26.90	2.79	134.64	26.24	9.35
64	obj64-val34920	114.80	30.18	2.95	123	29.68	9.51
65	obj65-val35398	94.79	27.72	3.12	90.69	33.62	8.36
66	obj66-val35877	118.08	20.34	3.28	123.49	18.20	8.69
67	obj67-val36355	62.65	20.34	3.28	68.88	17.71	7.54
68	obj68-val36834	143.99	22.30	2.95	142.35	19.52	9.18
69	obj69-val37312	114.31	26.08	2.13	119.06	23.45	10.00
70	obj70-val37790	73.31	26.24	3.61	82.82	26.40	8.53
71	obj71-val38269	99.22	26.57	3.28	89.71	28.37	9.02
72	obj72-val38747	10.82	30.18	6.72	23.45	29.52	7.22
