 	objlabelArray	fx0array	fy0array	fz0array	fx1array	fy1array	fz1array
1	obj1-val3480	201.56	17.55	1.97	206.15	27.39	2.13
2	obj2-val4060	194.34	19.52	1.97	196.80	33.13	3.12
3	obj3-val4640	193.68	25.26	0	191.39	25.09	4.26
4	obj4-val5220	190.57	16.07	0.16	188.60	12.79	5.08
5	obj5-val5800	212.22	21.16	1.15	215.00	20.34	4.10
6	obj6-val6380	210.25	23.45	0.82	216.48	24.27	5.90
7	obj7-val6959	222.06	25.09	2.13	225.99	29.36	5.74
8	obj8-val7539	192.70	20.50	1.64	191.22	18.70	4.10
9	obj9-val8119	217.63	23.12	1.64	216.64	23.94	5.90
10	obj10-val8699	210.25	29.52	1.64	214.68	33.13	5.74
11	obj11-val9279	185.81	33.46	2.30	198.44	36.08	5.08
12	obj12-val9859	207.95	23.62	1.64	198.28	12.63	5.90
13	obj13-val10439	210.08	11.15	2.95	214.02	13.28	5.90
14	obj14-val11019	216.15	32.64	2.95	218.94	28.54	6.07
15	obj15-val11599	225.50	21.16	3.28	220.91	25.91	6.56
16	obj16-val12179	200.41	26.40	2.13	206.97	30.50	6.72
17	obj17-val12759	229.11	27.39	3.28	237.80	28.21	6.07
18	obj18-val13339	198.44	33.29	1.64	207.95	34.93	6.07
19	obj19-val13919	177.28	34.11	2.95	187.62	36.90	5.90
20	obj20-val14499	183.19	17.55	1.80	192.21	15.74	7.54
21	obj21-val15079	166.79	20.50	3.44	172.36	15.74	7.54
22	obj22-val15659	181.88	28.04	2.30	174.00	31.65	7.38
23	obj23-val16239	169.58	31.16	3.12	174.82	35.26	6.72
24	obj24-val16819	182.04	15.42	2.46	172.04	12.46	6.72
25	obj25-val17399	206.15	28.70	1.64	213.36	27.72	7.05
26	obj26-val17979	183.35	20.50	1.80	195.98	21.81	8.04
27	obj27-val18559	156.95	29.36	3.77	166.13	33.29	7.05
28	obj28-val19139	197.13	32.80	3.44	197.95	34.60	6.23
29	obj29-val19718	175.97	16.73	3.28	178.27	21.16	8.36
30	obj30-val20298	194.50	19.19	1.97	195.49	18.53	8.20
31	obj31-val20878	192.04	21.16	2.79	190.24	24.27	6.40
