 	objlabelArray	fx0array	fy0array	fz0array	fx1array	fy1array	fz1array
1	obj1-val2357	134.97	22.80	1.97	121.52	27.88	2.46
2	obj2-val2829	105.94	32.64	0.49	114.64	37.72	3.61
3	obj3-val3300	140.55	22.14	1.64	149.24	28.21	1.80
4	obj4-val3772	150.72	27.72	1.48	158.59	25.09	3.77
5	obj5-val4243	160.06	23.62	1.15	166.62	23.94	5.74
6	obj6-val4715	104.14	26.24	1.64	113.49	34.77	5.90
7	obj7-val5186	94.96	15.58	2.13	91.02	15.09	4.76
8	obj8-val5658	152.19	19.35	0.98	155.47	22.30	3.94
9	obj9-val6129	95.94	22.14	1.31	92.82	17.55	5.08
10	obj10-val6601	79.38	31.00	1.64	74.62	38.54	5.74
11	obj11-val7072	120.38	34.11	0.98	120.05	39.20	5.90
12	obj12-val7544	88.56	37.72	0.98	97.25	40.18	5.90
13	obj13-val8015	116.11	18.53	1.48	118.74	14.76	6.72
14	obj14-val8487	138.74	20.83	1.80	148.75	13.78	5.74
15	obj15-val8958	146.78	20.99	1.80	152.68	13.94	3.94
16	obj16-val9429	144.32	35.10	2.46	155.80	37.72	5.58
17	obj17-val9901	101.52	21.16	1.15	111.52	14.60	6.23
18	obj18-val10844	121.69	28.04	0.98	115.95	35.26	6.89
19	obj19-val11315	121.69	29.19	0.82	123.98	37.88	7.22
20	obj20-val11787	99.22	30.34	0.33	105.29	37.56	7.05
21	obj21-val12258	105.78	31.65	0.16	109.22	37.06	6.72
22	obj22-val12730	94.30	31.00	0.66	97.74	38.54	6.23
23	obj23-val13201	71.67	36.74	2.79	73.14	39.36	5.25
24	obj24-val13673	92.99	29.52	0.98	96.60	36.41	6.72
25	obj25-val14144	121.03	15.58	2.13	128.08	12.30	6.56
26	obj26-val14616	165.80	17.38	3.61	153.50	13.45	4.43
27	obj27-val15087	102.34	25.42	1.97	113.82	26.40	7.87
28	obj28-val15559	105.78	29.36	1.48	114.31	35.10	6.40
29	obj29-val16030	76.92	27.39	1.64	82.49	34.28	6.89
30	obj30-val16502	84.79	27.06	1.64	90.04	35.92	6.56
31	obj31-val16973	157.28	35.10	2.79	155.96	35.42	5.58
32	obj32-val17445	135.46	34.93	1.97	146.45	37.39	6.07
33	obj33-val17916	110.37	23.29	0.98	113.49	23.45	7.71
34	obj34-val18388	84.30	30.18	1.64	81.34	37.39	6.40
35	obj35-val18859	86.43	36.08	1.48	91.18	39.85	6.07
36	obj36-val19330	109.22	40.67	3.44	98.73	40.34	5.90
37	obj37-val19802	98.24	19.19	1.80	107.42	13.28	6.23
38	obj38-val20273	123.49	22.47	1.97	119.06	17.55	7.22
39	obj39-val20745	99.06	24.27	2.13	110.37	26.24	7.05
40	obj40-val21216	156.95	31.98	3.12	165.97	29.68	6.40
41	obj41-val21688	97.58	29.85	1.31	100.70	34.77	7.22
42	obj42-val22159	159.41	34.11	3.12	165.15	33.13	5.41
43	obj43-val22631	126.61	32.80	0.82	131.04	36.74	7.38
44	obj44-val23102	110.37	41.16	2.46	120.21	41.98	5.90
45	obj45-val23574	133.00	13.78	3.28	144.81	12.30	5.74
46	obj46-val24045	82.49	17.38	3.44	91.02	11.97	6.07
47	obj47-val24517	122.02	19.19	2.13	128.08	16.40	7.05
48	obj48-val24988	85.28	22.14	1.48	91.02	17.22	7.22
49	obj49-val25460	88.23	24.76	2.13	88.40	23.29	8.36
50	obj50-val25931	122.34	25.91	2.30	124.97	31.49	8.20
51	obj51-val26403	91.18	27.72	0.98	86.59	29.36	7.38
52	obj52-val26874	92.66	29.03	1.15	98.73	32.80	7.71
53	obj53-val27346	160.06	37.06	3.28	157.44	35.26	6.23
54	obj54-val27817	96.27	17.06	2.13	106.76	11.48	5.74
55	obj55-val28288	80.85	19.35	2.62	72.00	13.45	6.23
56	obj56-val28760	146.62	20.34	3.61	152.19	15.25	6.56
57	obj57-val29231	101.19	20.99	1.31	110.21	17.88	7.38
58	obj58-val29703	97.74	22.14	1.80	105.12	17.38	6.72
59	obj59-val30174	114.31	24.11	0.98	115.78	20.01	8.04
60	obj60-val30646	121.03	26.24	1.80	121.36	20.66	7.87
61	obj61-val31117	149.24	29.36	1.80	146.94	24.93	7.71
62	obj62-val31589	136.94	34.28	2.13	139.73	32.64	7.54
63	obj63-val32060	135.14	35.42	1.80	135.63	32.31	7.54
64	obj64-val32532	128.41	16.07	2.62	134.32	14.27	6.89
65	obj65-val33003	113.16	28.21	1.97	118.57	29.03	8.04
66	obj66-val33475	152.36	24.27	2.13	156.95	30.83	7.38
67	obj67-val33946	119.56	29.03	2.46	123.16	33.95	7.87
68	obj68-val34418	167.94	34.77	4.10	172.69	33.78	6.72
69	obj69-val34889	109.88	40.18	2.95	113.98	36.90	6.89
70	obj70-val35361	145.63	20.66	2.95	141.53	17.55	7.05
71	obj71-val35832	130.54	19.68	1.80	133.00	19.35	7.71
72	obj72-val36304	108.73	20.66	1.80	113.49	18.53	7.54
73	obj73-val36775	74.46	22.47	2.79	83.97	21.16	8.04
74	obj74-val37247	125.46	21.81	2.30	129.23	19.52	8.04
75	obj75-val37718	76.42	27.06	1.64	79.70	25.75	8.20
76	obj76-val38189	118.24	26.40	2.79	124.31	31.32	8.04
77	obj77-val38661	83.80	24.11	1.80	84.13	32.14	7.54
78	obj78-val39132	131.36	29.52	2.46	127.43	29.52	8.53
79	obj79-val39604	140.55	29.85	2.30	146.45	32.96	7.38
80	obj80-val40075	60.35	17.55	3.77	51.82	16.40	7.22
81	obj81-val40547	134.32	19.02	2.13	138.58	17.71	7.22
82	obj82-val41018	135.30	22.80	1.97	138.91	23.78	7.71
83	obj83-val41490	97.25	22.30	2.13	96.43	25.75	8.36
84	obj84-val41961	95.78	26.90	1.80	98.73	27.72	8.20
85	obj85-val42433	64.94	24.93	3.28	56.09	31.98	6.72
86	obj86-val42904	135.96	28.86	2.62	141.04	28.04	7.71
87	obj87-val43376	170.40	27.39	3.28	182.53	29.85	8.20
88	obj88-val43847	76.42	27.72	1.80	72.32	32.47	7.87
89	obj89-val44319	74.13	36.90	5.58	62.48	39.03	5.74
90	obj90-val44790	91.35	13.94	4.43	99.88	14.92	6.56
91	obj91-val45262	109.72	21.16	1.15	117.59	16.07	7.05
92	obj92-val45733	169.25	25.26	3.44	175.81	16.07	6.89
93	obj93-val46205	92.17	24.11	2.95	93.81	22.96	8.20
94	obj94-val46676	64.12	22.96	3.94	53.30	23.62	7.87
95	obj95-val47147	128.74	23.45	3.28	132.84	23.29	8.53
96	obj96-val47619	137.10	24.93	2.62	145.47	24.60	7.87
97	obj97-val48090	174.33	25.42	3.94	186.14	24.44	8.69
98	obj98-val48562	93.48	26.40	1.80	87.58	26.90	8.20
99	obj99-val49033	102.17	26.90	1.64	114.96	29.85	7.71
100	obj100-val49505	102.99	30.18	1.97	108.40	34.77	7.54
101	obj101-val49976	66.91	30.18	2.95	59.20	37.23	6.72
102	obj102-val50448	146.12	35.10	3.77	152.85	35.75	6.23
103	obj103-val50919	140.38	39.20	4.92	120.05	39.69	5.74
104	obj104-val51391	151.21	21.32	3.44	158.92	17.22	7.05
105	obj105-val51862	135.96	22.47	1.97	146.45	20.34	7.54
106	obj106-val52334	82.33	20.50	2.62	82.98	27.06	8.20
107	obj107-val52805	100.20	25.26	2.13	107.58	30.01	8.04
108	obj108-val53277	100.20	28.37	1.31	105.78	31.16	8.04
109	obj109-val53748	66.42	31.65	2.95	72.00	29.03	8.20
110	obj110-val54220	37.23	29.03	5.25	45.43	34.77	6.40
111	obj111-val54691	67.24	28.21	2.95	56.58	34.77	7.05
112	obj112-val55163	72.32	19.84	3.44	83.15	16.40	7.38
113	obj113-val55634	157.28	20.01	3.12	165.48	23.12	8.04
114	obj114-val56106	57.89	20.66	3.94	47.07	24.76	7.05
115	obj115-val56577	64.62	25.91	2.95	70.68	25.42	8.36
116	obj116-val57048	158.92	26.08	3.28	169.74	28.54	7.71
117	obj117-val57520	66.26	21.32	3.28	54.12	22.80	7.87
118	obj118-val57991	72.32	19.19	3.77	64.78	18.20	8.04
119	obj119-val58463	153.34	23.29	3.61	162.69	25.58	7.87
120	obj120-val58934	56.42	25.42	3.77	53.30	33.13	7.22
121	obj121-val59406	131.53	32.47	3.28	132.02	28.21	8.36
122	obj122-val59877	158.42	33.95	3.77	162.69	31.00	7.05
123	obj123-val60349	75.11	15.91	5.90	62.98	14.76	6.56
124	obj124-val60820	72.49	22.80	3.28	61.34	23.45	7.71
125	obj125-val61292	70.52	26.73	2.95	77.90	21.81	8.20
126	obj126-val61763	173.35	23.62	4.59	183.52	20.34	8.20
127	obj127-val62235	146.62	20.99	3.61	155.14	24.27	8.20
128	obj128-val62706	169.41	25.58	3.94	174.82	27.06	8.36
129	obj129-val63178	36.24	21.16	6.72	21.16	20.99	7.54
130	obj130-val63649	108.73	20.01	6.07	92.82	18.53	9.51
131	obj131-val64121	15.91	24.27	6.40	25.42	23.78	7.54
132	obj132-val64592	22.14	26.24	6.56	32.14	25.75	7.87
133	obj133-val65535	101.02	24.11	5.90	97.42	25.75	8.20
