 	objlabelArray	ACIMajor	ACIMinor	MajorAngle	Dap
1	obj1-val2357	10.91	8.07	14.74	3
2	obj2-val2829	7.83	5.33	20.56	3
3	obj3-val3300	2.93	2.11	15.26	2
4	obj4-val3772	5.02	4.10	19.98	2
5	obj5-val4243	8.41	8.29	50.33	3
6	obj6-val4715	7.77	6.53	33.69	3
7	obj7-val5186	5.04	2.77	27.35	2
8	obj8-val5658	2.81	1.81	22.38	2
9	obj9-val6129	8.05	5.98	2.16	2
10	obj10-val6601	6.64	5.38	85.24	3
11	obj11-val7072	6.63	5.67	80.75	3
12	obj12-val7544	9.33	5.12	21.80	3
13	obj13-val8015	8.17	4.61	19.72	3
14	obj14-val8487	9.27	6.31	26.57	3
15	obj15-val8958	5.55	4.91	33.69	2
16	obj16-val9429	11.35	5.17	6.93	3
17	obj17-val9901	8.30	5.41	32.62	3
18	obj18-val10844	5.86	4.30	3.73	3
19	obj19-val11315	7.21	5.43	20.43	4
20	obj20-val11787	7.36	6.04	67.75	4
21	obj21-val12258	4.61	3.32	71.57	3
22	obj22-val12730	6.38	4.45	64.59	3
23	obj23-val13201	1.74	1.00	15.26	1
24	obj24-val13673	5.71	4.09	37.15	3
25	obj25-val14144	5.86	3.51	20.73	3
26	obj26-val14616	8.63	6.15	49.84	3
27	obj27-val15087	7.21	5.21	13.78	4
28	obj28-val15559	3.40	1.41	71.57	3
29	obj29-val16030	6.90	5.46	81.87	3
30	obj30-val16502	6.75	5.37	4.97	3
31	obj31-val16973	2.46	1.60	39.81	1
32	obj32-val17445	9.06	4.23	3.81	3
33	obj33-val17916	7.73	5.01	29.48	3
34	obj34-val18388	5.53	4.93	85.71	3
35	obj35-val18859	5.11	3.28	32.74	3
36	obj36-val19330	7.78	3.39	5.71	2
37	obj37-val19802	7.57	2.90	33.37	3
38	obj38-val20273	8.47	3.91	23.63	3
39	obj39-val20745	6.60	3.37	28.30	3
40	obj40-val21216	7.75	4.50	31.53	2
41	obj41-val21688	5.59	3.63	72.47	3
42	obj42-val22159	4.84	3.43	12.72	2
43	obj43-val22631	5.56	4.00	10.71	3
44	obj44-val23102	7.17	3.82	8.65	3
45	obj45-val23574	4.98	2.80	19.98	3
46	obj46-val24045	9.86	2.92	28.24	2
47	obj47-val24517	6.41	4.90	11.82	3
48	obj48-val24988	5.84	3.73	18.92	3
49	obj49-val25460	6.67	2.87	10.84	3
50	obj50-val25931	6.34	5.47	21.80	3
51	obj51-val26403	6.72	2.97	3.73	3
52	obj52-val26874	4.93	2.90	41.35	4
53	obj53-val27346	3.41	2.85	10.89	2
54	obj54-val27817	8.14	3.51	36.03	3
55	obj55-val28288	9.70	3.92	17.24	3
56	obj56-val28760	7.35	2.26	57.03	2
57	obj57-val29231	5.29	3.34	64.13	4
58	obj58-val29703	4.28	4.17	35.54	3
59	obj59-val30174	6.52	4.04	79.22	4
60	obj60-val30646	4.85	3.41	29.05	3
61	obj61-val31117	6.49	3.50	38.50	3
62	obj62-val31589	7.34	3.81	35.94	3
63	obj63-val32060	4.88	3.59	79.99	3
64	obj64-val32532	5.10	2.77	25.91	2
65	obj65-val33003	4.90	2.83	45	3
66	obj66-val33475	7.65	4.60	28.30	3
67	obj67-val33946	5.58	2.74	60.07	3
68	obj68-val34418	4.00	2.43	21.37	2
69	obj69-val34889	5.60	1.07	17.35	2
70	obj70-val35361	6.96	2.05	22.89	2
71	obj71-val35832	5.78	3.92	9.93	3
72	obj72-val36304	3.74	1.37	36.38	3
73	obj73-val36775	5.49	3.03	14.74	3
74	obj74-val37247	4.82	3.67	16.70	3
75	obj75-val37718	4.53	3.56	20.56	3
76	obj76-val38189	5.39	3.42	55.41	3
77	obj77-val38661	5.38	4.94	8.13	3
78	obj78-val39132	5.59	3.94	6.95	3
79	obj79-val39604	7.27	5.38	59.66	3
80	obj80-val40075	8.40	4.14	15.35	2
81	obj81-val40547	4.03	3.08	19.09	3
82	obj82-val41018	6.13	3.01	75.62	3
83	obj83-val41490	3.30	2.97	67.07	3
84	obj84-val41961	4.20	3.33	50.71	3
85	obj85-val42433	9.05	5.64	50.65	3
86	obj86-val42904	7.93	3.86	8.30	3
87	obj87-val43376	6.60	4.13	12.53	3
88	obj88-val43847	8.92	5.28	55.18	3
89	obj89-val44319	4.33	3.64	33.69	2
90	obj90-val44790	5.54	3.57	61.82	2
91	obj91-val45262	5.84	3.80	11.59	3
92	obj92-val45733	6.11	5.14	59.26	3
93	obj93-val46205	3.08	1.24	12.26	3
94	obj94-val46676	8.38	4.36	15.07	3
95	obj95-val47147	6.52	4.65	12.53	3
96	obj96-val47619	6.21	2.80	5.71	3
97	obj97-val48090	5.62	4.27	7.70	3
98	obj98-val48562	4.64	2.13	20.56	3
99	obj99-val49033	4.30	3.41	10.95	4
100	obj100-val49505	3.19	1.63	78.69	3
101	obj101-val49976	7.67	3.43	6.34	3
102	obj102-val50448	4.20	3.81	32.20	2
103	obj103-val50919	9.19	5.98	6.71	4
104	obj104-val51391	4.64	1.61	86.19	2
105	obj105-val51862	5.64	3.93	14.04	3
106	obj106-val52334	4.60	3.87	60.46	3
107	obj107-val52805	4.21	2.03	17.82	3
108	obj108-val53277	3.97	2.09	33.11	4
109	obj109-val53748	6.05	4.38	61.50	3
110	obj110-val54220	6.33	3.32	6.63	2
111	obj111-val54691	9.82	3.57	36.87	3
112	obj112-val55163	10.05	2.91	59.04	3
113	obj113-val55634	4.52	2.46	56.31	3
114	obj114-val56106	7.75	5.07	7.13	3
115	obj115-val56577	7.90	4.88	28.07	3
116	obj116-val57048	6.39	4.57	10.62	3
117	obj117-val57520	6.56	4.79	8.84	3
118	obj118-val57991	7.91	3.96	15.46	3
119	obj119-val58463	5.84	4.73	4.18	3
120	obj120-val58934	5.19	3.78	23.81	2
121	obj121-val59406	5.78	2.14	57.99	3
122	obj122-val59877	2.44	1.30	19.44	2
123	obj123-val60349	6.96	2.68	8.53	2
124	obj124-val60820	9.42	2.65	45	3
125	obj125-val61292	4.91	3.49	36.33	3
126	obj126-val61763	6.40	3.61	20.10	3
127	obj127-val62235	7.68	2.50	17.70	3
128	obj128-val62706	2.82	1.80	30.07	2
129	obj129-val63178	13.21	4.30	1.30	3
130	obj130-val63649	14.83	4.11	21.80	4
131	obj131-val64121	7.77	5.05	3.18	2
132	obj132-val64592	8.43	5.08	19.98	2
133	obj133-val65535	2.35	0.48	41.63	1
