 	objlabelArray	ACIMajor	ACIMinor	MajorAngle	Dap
1	obj1-val2324	4.56	2.73	8.88	1
2	obj2-val2789	5.89	3.08	17.10	2
3	obj3-val3254	3.34	1.12	59.42	1
4	obj4-val3718	5.56	2.50	31.22	2
5	obj5-val5113	9.43	6.91	18.73	3
6	obj6-val5577	3.91	3.13	8.43	1
7	obj7-val6507	9.56	8.02	22.54	2
8	obj8-val6972	5.20	3.84	33.23	2
9	obj9-val7437	9.86	3.26	9.16	3
10	obj10-val8366	6.22	4.07	83.52	3
11	obj11-val8831	6.01	4.94	66.04	3
12	obj12-val9296	6.77	3.86	52.35	2
13	obj13-val9761	5.04	3.68	19.54	2
14	obj14-val10225	10.46	3.23	28.97	2
15	obj15-val10690	3.73	3.35	62.70	2
16	obj16-val11155	6.11	3.21	12.20	2
17	obj17-val11620	3.57	1.48	7.77	1
18	obj18-val12084	6.03	3.97	45	3
19	obj19-val12549	5.07	2.22	24.44	2
20	obj20-val13014	6.92	4.33	66.57	2
21	obj21-val13479	5.49	2.95	12.99	2
22	obj22-val13944	6.92	4.61	4.86	3
23	obj23-val14408	6.26	2.52	7.13	2
24	obj24-val14873	7.87	5.30	30.02	3
25	obj25-val15338	7.37	4.71	47.56	3
26	obj26-val15803	5.23	4.67	83.83	2
27	obj27-val16268	5.72	3.92	26.57	3
28	obj28-val16732	5.42	3.24	11.00	2
29	obj29-val17197	6.94	3.36	82.23	3
30	obj30-val17662	6.21	4.63	13.71	3
31	obj31-val18127	6.54	3.87	69.44	3
32	obj32-val18591	9.25	3.23	24.36	3
33	obj33-val19056	9.43	4.80	4.01	3
34	obj34-val19521	8.89	4.72	34.90	3
35	obj35-val19986	8.71	2.42	14.04	2
36	obj36-val20451	7.60	5.18	20.70	3
37	obj37-val20915	7.84	3.68	12.01	3
38	obj38-val21380	8.12	4.89	16.59	2
39	obj39-val21845	8.00	5.00	31.89	3
40	obj40-val22310	7.99	3.84	11.31	2
41	obj41-val22775	9.74	4.72	5.27	3
42	obj42-val23239	8.73	4.82	9.95	3
43	obj43-val23704	7.42	5.50	61.29	3
44	obj44-val24169	5.95	4.86	86.19	3
45	obj45-val24634	6.33	3.01	41.31	3
46	obj46-val25099	7.53	3.91	80.73	3
47	obj47-val25563	4.07	3.09	50.44	2
48	obj48-val26028	10.69	3.29	5.27	3
49	obj49-val26493	8.35	5.29	24.06	3
50	obj50-val26958	3.23	2.42	75.96	2
51	obj51-val27422	6.09	4.23	8.53	2
52	obj52-val27887	2.15	1.70	10.62	2
53	obj53-val28352	6.44	4.20	6.20	3
54	obj54-val28817	7.66	4.67	12.41	3
55	obj55-val29282	6.49	5.80	8.75	2
56	obj56-val29746	8.61	2.78	7.85	3
57	obj57-val30211	9.53	3.51	14.74	4
58	obj58-val30676	7.10	4.89	12.26	3
59	obj59-val31141	8.98	5.46	15.71	3
60	obj60-val31606	5.73	5.12	9.93	3
61	obj61-val32070	5.25	3.55	24.30	3
62	obj62-val32535	6.27	4.89	22.31	4
63	obj63-val33000	5.19	4.10	16.86	3
64	obj64-val33465	8.56	3.64	23.53	3
65	obj65-val33929	6.04	3.45	25.91	2
66	obj66-val34394	7.64	2.98	29.17	3
67	obj67-val34859	7.67	2.76	30.76	3
68	obj68-val35324	6.03	3.66	36.87	3
69	obj69-val35789	7.88	3.71	5.39	3
70	obj70-val36253	7.34	4.13	24.54	3
71	obj71-val36718	6.82	5.82	9.87	3
72	obj72-val37183	8.78	3.64	5.53	3
73	obj73-val37648	9.93	4.35	45	3
74	obj74-val38113	8.76	3.54	3.07	2
75	obj75-val38577	5.55	3.31	22.99	3
76	obj76-val39042	6.07	2.72	11.04	3
77	obj77-val39507	2.97	2.56	69.78	2
78	obj78-val39972	6.90	5.81	6.20	2
79	obj79-val40436	6.96	4.06	12.26	3
80	obj80-val40901	6.59	3.59	24.10	3
81	obj81-val41366	4.75	4.14	72.12	3
82	obj82-val41831	7.28	3.50	22.25	3
83	obj83-val42296	3.19	2.51	41.82	1
84	obj84-val42760	5.57	4.59	52.52	3
85	obj85-val43225	5.39	3.65	7.70	2
86	obj86-val43690	9.48	5.97	10.82	3
87	obj87-val44155	8.69	3.31	7.13	4
88	obj88-val44620	3.27	3.13	37.87	2
89	obj89-val45549	7.42	4.02	7.13	2
90	obj90-val46014	6.25	5.06	58.82	3
91	obj91-val46479	6.99	4.71	33.37	3
92	obj92-val46944	4.78	2.71	52.77	3
93	obj93-val47408	5.65	3.80	25.41	3
94	obj94-val47873	4.91	2.82	22.11	3
95	obj95-val48338	4.56	3.75	12.72	2
96	obj96-val48803	4.83	3.75	39.81	3
97	obj97-val49267	11.97	4.76	11.98	3
98	obj98-val49732	8.97	4.57	40.71	3
99	obj99-val50197	8.44	4.70	7.99	2
100	obj100-val51127	5.09	3.50	6.34	3
101	obj101-val51591	5.87	5.18	20.10	2
102	obj102-val52056	4.07	1.42	26.57	1
103	obj103-val52521	3.77	2.63	41.99	2
104	obj104-val52986	5.45	4.28	35.36	3
105	obj105-val53451	5.75	3.31	4.40	2
106	obj106-val53915	8.96	2.73	22.20	4
107	obj107-val54380	6.04	2.83	34.44	2
108	obj108-val54845	6.24	2.30	5.08	3
109	obj109-val55310	3.90	3.41	39.29	3
110	obj110-val55774	9.49	4.44	14.47	3
111	obj111-val56239	6.24	1.92	2.86	3
112	obj112-val56704	1.74	1.34	75.96	1
113	obj113-val57169	9.61	4.41	54.78	3
114	obj114-val57634	14.70	5.13	19.57	3
115	obj115-val58098	7.32	6.01	51.34	3
116	obj116-val58563	4.18	3.56	20.77	3
117	obj117-val59028	11.38	2.71	2.32	3
118	obj118-val59493	2.86	1.84	25.64	3
119	obj119-val59958	4.29	0.92	26.57	2
120	obj120-val60422	2.68	1.95	36.87	3
121	obj121-val60887	8.94	3.59	13.30	2
122	obj122-val61817	4.05	1.17	62.45	1
123	obj123-val62281	1.76	0.95	85.60	2
124	obj124-val64141	4.49	3.55	35.91	3
125	obj125-val64605	6.35	2.64	5.71	3
126	obj126-val65535	2.93	2.52	18.43	2
