Nb	Obj	Type	Label	CX (pix)	CY (pix)	CZ (pix)	CX (unit)	CY (unit)	CZ (unit)	Xmin (pix)	Ymin (pix)	Zmin (pix)	Xmax (pix)	Ymax (pix)	Zmax (pix)	VolBounding (pix)	RatioVolbox	Vol (unit)	Vol (pix)	Surf (unit)	Surf (pix)	SurfCorr (pix)	Comp (pix)	Spher (pix)	CompCorr (pix)	SpherCorr (pix)	Comp (unit)	Spher (unit)	CompDiscrete	Feret (unit)	Ell_MajRad	Ell_Elon	Ell_Flatness	volEllipsoid (unit)	RatioVolEllipsoid	Moment1	Moment2	Moment3	Moment4	Moment5	DCMin (unit)	DCMax (unit)	DCMean (unit)	DCSD (unit)	
0	1	0	obj1-val3745	769.449940820163	67.10955232193831	11.74218478033837	126.18979029450674	11.005966580797883	4.696873912135348	737	41	0	800	94	35	124416.0	0.2308867026748971	309.0457984	28726	497.2375040000737	10426.0	6830.270399999999	0.08234733031090437	0.4350610491087015	0.2928795135220143	0.664094165712363	0.08786308084177799	0.4445655727885281	0.9712211255755742	14.98630428314209	6.058362343156362	1.4376825683300438	1.2248703785843473	367.9071051048849	0.8400104105407141	1232.4758767597602	448017.613868071	4.95616890714185E7	3.39048452510629	0.02647346670860052	1.9143281999381752	9.65856420573257	4.381310879564117	1.1465186231977456	
1	2	0	obj2-val4213	770.8570037489654	154.33346316763232	12.027167827060714	126.42054861483034	25.310687959491702	4.810867130824286	734	131	3	816	178	23	83664.0	0.2454938802830369	220.96677760000003	20539	418.17244800004335	9288.0	6303.871933333333	0.05954486885500927	0.39049474103080734	0.19045343868420628	0.5753466730467499	0.0755161938326038	0.4226819848759496	0.9596738631881647	13.558725357055664	6.220318971377309	1.8337373708009217	1.1263068774845344	266.1923355292836	0.8301019530131876	1101.8312593509822	311226.68454824324	2.5945428159594823E7	3.9007970214545797	0.019396151785264753	1.5930606911103868	7.483751848172377	3.911992288290688	1.1165932529691693	
2	3	0	obj3-val4681	831.7065114518266	214.18124171872043	14.265947378383494	136.39986787809957	35.12572364187015	5.706378951353398	804	180	7	859	234	28	67760.0	0.15593270365997638	113.67325440000002	10566	304.2816639999913	6812.0	4627.183133333334	0.03994382665101048	0.34183538947851144	0.12744521124539032	0.5032392508501973	0.05187302959257409	0.37294744204279506	0.9351656346939511	11.943309783935547	5.1890154598498714	1.310322491626648	2.060485444014329	165.43124553587774	0.6871329175560565	860.762324363159	200322.9777797382	1.0020856147037435E7	3.6985860895983955	0.01571285413231866	1.1176348968710121	6.4401985024947805	3.4072898623398604	1.1123239875741446	
3	4	0	obj4-val5617	791.2501557244301	126.80540675221128	12.376977700261618	129.76502553880655	20.79608670736265	4.950791080104647	770	106	3	813	145	24	38720.0	0.20730888429752067	86.35767680000002	8027	218.9386879999841	4534.0	2967.2162666666673	0.07818336384376127	0.42760077759962734	0.2789403206856915	0.6533869136292817	0.08036866245332866	0.43154816919931377	0.9534798719341175	9.112614631652832	3.6343719308786446	1.197816849991402	1.3215999319469696	106.04638126186235	0.8143387428445612	514.6791842142001	82854.19730436093	4117764.0241299244	3.1971182062185286	0.030203108530418635	1.5291286825221035	4.992586750067602	2.839658994224477	0.559523314211989	
4	5	0	obj5-val6085	960.1068429785308	168.56227060184023	16.13756347729901	157.45752224847905	27.6442123787018	6.455025390919605	934	136	5	983	210	28	90000.0	0.2209888888888889	213.97381760000005	19889	384.37139200003253	8840.0	6108.95	0.06476218217092088	0.4015819838763589	0.1962359432807168	0.5811115655979332	0.09118438519768224	0.4500980914934567	0.9614064871163948	13.087130546569824	5.696665466511297	1.4708562740096933	1.2423166677789619	288.1230150935814	0.7426474331823234	1062.8283496096888	327620.4422151588	3.0396644919807483E7	3.4479048166115587	0.02531840016989228	1.5478232117011061	8.51480339724798	3.8116302823238004	1.1399907972823748	
5	6	0	obj6-val6554	1001.0581358609795	188.4190626645603	21.373617693522906	164.17353428120066	30.90072627698789	8.549447077409162	980	153	11	1023	216	38	78848.0	0.24084314123376624	204.30201600000004	18990	356.921728000015	7782.0	5153.268566666667	0.08654233795036055	0.4423267748113056	0.2980258758564938	0.6679613354583336	0.10381944838475111	0.4699949954901768	0.9679830233115144	13.582353591918945	6.706830242714158	2.1527469901223744	1.0756163782414287	253.51119484036087	0.8058895234533984	1172.6133137065642	309443.78555419913	2.353228139266729E7	4.443527540937008	0.014594847804590305	1.3403402060670384	7.499236631080335	3.8978758836310545	1.2381153348949294	
6	7	0	obj7-val7022	914.6103133159269	206.3686684073107	19.815665796344646	149.996091383812	33.84446161879896	7.926266318537859	894	188	10	934	220	32	31119.0	0.24615186863331084	82.409344	7660	188.55145599998957	3928.0	2525.217866666667	0.10949529938386084	0.4784084170855082	0.41211018928417537	0.7441682167740805	0.11458179366128037	0.4857045655140328	0.9634071460991482	9.791004180908203	4.439851923388577	1.7259132849054755	1.285025617250869	95.77327023909584	0.8604628806583184	563.975688975996	81547.77958144555	3358600.7640917236	3.900395319020055	0.018723077374054018	1.143971438752647	5.312526036619259	2.825842729359538	0.7541499712088529	
7	8	0	obj8-val7490	761.3690683611766	226.9611560930614	19.390283898739366	124.86452721123297	37.22162959926207	7.756113559495747	736	202	9	787	241	32	49920.0	0.19545272435897437	104.96970880000002	9757	256.6062079999764	5474.0	3600.825733333333	0.06564030709613139	0.40338888643884413	0.2306102850190927	0.6132339977591948	0.07375286261359452	0.419366116527722	0.9509994152527296	10.804023742675781	5.208358369915917	1.3193637916444059	2.5570857635168056	132.95869633518518	0.789491110347339	838.3047170611279	181275.24600952613	6472964.794447744	3.8767278716588116	0.010987465268110877	0.5467908620678575	5.764432318212978	3.272489311658432	1.0753481441394728	
8	9	0	obj9-val7958	987.6615665214307	108.02897963319485	21.500253318471984	161.97649690951465	17.716752659843955	8.600101327388794	956	87	11	1014	128	34	59472.0	0.16594363734194242	106.17464960000002	9869	283.30015999998574	6124.0	4091.2910666666676	0.04796154065052154	0.36332739759955746	0.1608486938398401	0.543841710091497	0.056072973487216314	0.38275271445706904	0.9404212903624699	12.396099090576172	5.711397200265179	1.9091668148133705	1.3410155568159303	159.65925972394467	0.6650077783373102	865.2974804173186	172383.47980768993	9333788.83192816	4.343454085344198	0.014406605162648465	0.9717800830608269	6.79403751302082	3.2573770728070572	1.1602623496372282	
9	10	0	obj10-val8426	757.5514638188179	88.55956545755846	21.1609280058921	124.23844006628613	14.523768735039589	8.46437120235684	737	73	12	776	109	34	34040.0	0.1595475910693302	58.42887040000001	5431	179.42911999999117	3750.0	2416.4406	0.06325839603687447	0.3984493520443759	0.23641967021863497	0.6183407509599416	0.06683878896182453	0.4058291599905012	0.9383003171669202	10.562973022460938	5.022221931835925	1.7252255860802435	2.5588416058873626	69.66924506603925	0.838660880344196	650.4902943567697	88939.92585297205	1777264.0561663853	4.757566627071987	0.00645698079278515	0.7040904469582798	5.581219880769605	2.921656736128006	1.0405438499915067	
