 	objlabelArray	fx0array	fy0array	fz0array	fx1array	fy1array	fz1array
1	obj1-val2244	157.11	14.60	0.49	164.98	11.48	3.77
2	obj2-val3142	194.83	35.26	1.15	193.19	35.75	6.72
3	obj3-val3591	94.46	23.45	2.30	92.66	23.29	5.58
4	obj4-val4938	170.07	11.32	2.13	173.35	3.94	4.76
5	obj5-val5835	172.53	31.65	2.30	179.91	37.56	7.22
6	obj6-val6284	161.05	15.25	1.97	159.08	12.46	6.56
7	obj7-val7182	196.47	30.83	4.10	209.43	26.24	7.54
8	obj8-val7631	200.08	34.28	3.12	202.21	35.26	8.04
9	obj9-val8080	166.79	16.89	2.13	163.84	15.09	7.54
10	obj10-val8529	213.04	38.70	3.77	215.33	35.92	6.07
11	obj11-val8977	145.63	15.42	4.43	158.42	10.50	5.25
12	obj12-val9426	162.03	17.38	2.30	161.54	21.65	7.54
13	obj13-val9875	180.24	25.09	2.79	181.71	22.80	6.07
14	obj14-val10324	184.17	34.11	3.44	183.68	35.42	5.74
15	obj15-val10773	164	32.96	2.46	171.71	37.56	6.72
16	obj16-val11222	199.59	35.75	3.44	202.70	37.56	6.89
17	obj17-val11671	109.22	17.88	2.79	114.31	15.58	6.23
18	obj18-val12119	139.07	20.50	2.95	144.81	13.78	6.23
19	obj19-val12568	112.50	22.14	2.79	122.02	17.55	6.40
20	obj20-val13017	142.68	24.76	2.46	149.24	21.16	7.54
21	obj21-val13466	173.84	38.87	4.26	159.24	37.56	5.08
22	obj22-val13915	171.54	20.17	2.13	173.84	11.48	6.89
23	obj23-val14364	70.85	15.74	4.92	52.81	14.92	6.40
24	obj24-val14813	153.18	19.84	2.30	157.60	14.10	7.05
25	obj25-val15262	132.84	25.58	3.12	143.66	19.35	7.05
26	obj26-val15710	214.02	25.42	4.26	215.50	23.62	6.72
27	obj27-val16159	109.72	26.40	2.95	99.71	25.42	6.72
28	obj28-val16608	183.35	25.58	2.62	189.42	33.13	8.20
29	obj29-val17057	172.36	28.70	2.13	178.60	33.78	8.20
30	obj30-val17506	114.96	32.80	4.26	127.92	35.59	5.90
31	obj31-val17955	143.01	43.62	3.61	139.07	41.98	6.23
32	obj32-val18404	174.99	16.24	2.30	178.27	9.68	6.40
33	obj33-val19301	184.50	15.09	3.28	189.91	12.30	7.05
34	obj34-val19750	183.02	21.32	2.79	177.61	12.46	6.89
35	obj35-val20199	90.86	17.22	4.26	76.26	17.38	5.41
36	obj36-val20648	107.91	16.07	5.08	96.43	16.89	5.41
37	obj37-val21097	166.30	23.45	1.80	171.54	17.71	8.04
38	obj38-val21546	109.88	24.27	2.79	103.65	20.34	7.05
39	obj39-val21995	208.28	20.99	4.10	215.99	21.81	7.38
40	obj40-val22443	193.03	21.65	3.44	192.86	21.16	6.23
41	obj41-val23341	90.86	24.76	3.44	92.66	28.21	6.56
42	obj42-val23790	179.91	30.50	2.79	179.09	32.64	7.87
43	obj43-val24239	142.02	31.49	2.95	152.03	34.77	7.05
44	obj44-val24688	154.49	26.90	2.62	160.72	37.23	6.89
45	obj45-val25137	105.94	33.78	3.77	104.96	36.57	6.72
46	obj46-val25586	135.79	35.10	3.94	149.40	37.88	5.90
47	obj47-val26034	149.40	33.62	2.95	159.90	39.36	6.72
48	obj48-val26932	126.12	17.88	3.61	136.12	15.42	6.40
49	obj49-val27830	34.28	16.56	5.25	30.18	16.73	6.07
50	obj50-val28279	121.20	23.62	2.62	128.58	19.84	7.22
51	obj51-val28728	150.55	24.11	2.46	160.23	19.52	7.87
52	obj52-val29177	121.20	24.11	2.62	115.78	21.16	7.22
53	obj53-val29625	128.41	24.11	3.12	136.28	22.80	7.54
54	obj54-val30074	123.66	26.73	2.79	128.58	25.26	7.38
55	obj55-val30523	150.06	26.24	2.30	153.67	25.58	8.04
56	obj56-val30972	89.22	24.27	5.58	77.41	26.90	5.90
57	obj57-val31421	136.28	27.55	2.79	148.09	29.36	7.54
58	obj58-val32319	111.03	29.03	2.95	99.22	30.18	6.40
59	obj59-val32768	129.07	29.85	3.28	138.91	32.64	6.72
60	obj60-val33665	107.42	33.13	3.44	117.10	35.92	6.89
61	obj61-val34563	162.52	12.14	3.12	164	11.32	6.72
62	obj62-val35012	147.11	20.17	2.13	149.40	16.73	7.05
63	obj63-val35461	171.71	20.83	2.13	176.79	20.01	8.53
64	obj64-val35910	133.33	21.65	2.95	139.73	18.86	7.22
65	obj65-val36358	185.98	21.65	3.12	194.50	18.37	7.87
66	obj66-val36807	102.83	21.48	3.44	92.17	21.98	6.40
67	obj67-val37256	93.32	26.90	3.61	98.24	31.00	6.40
68	obj68-val37705	153.83	28.37	2.30	150.06	30.50	7.71
69	obj69-val38154	103.32	32.80	3.94	101.52	33.46	6.56
70	obj70-val39501	191.06	17.55	3.44	198.60	16.40	7.87
71	obj71-val39949	172.53	24.44	2.62	182.70	23.12	8.86
72	obj72-val40398	122.18	26.90	2.95	126.61	24.76	7.38
73	obj73-val40847	158.10	27.72	2.46	157.44	22.47	8.04
74	obj74-val41296	113.98	25.75	2.95	120.05	28.86	7.54
75	obj75-val41745	116.93	30.50	3.12	108.73	28.86	7.38
76	obj76-val42194	158.75	27.39	2.46	163.67	34.44	7.71
77	obj77-val42643	185.81	35.26	3.94	187.12	37.88	7.22
78	obj78-val43092	182.53	38.21	3.94	185.48	37.72	7.05
79	obj79-val43540	173.68	39.20	3.77	176.30	39.85	7.22
80	obj80-val43989	122.18	38.54	5.08	115.46	46.58	5.90
81	obj81-val44887	133.00	26.08	3.12	145.47	25.75	7.71
82	obj82-val45336	129.07	28.21	3.12	138.42	26.40	7.54
83	obj83-val45785	164.16	27.06	3.61	175.32	27.72	8.53
84	obj84-val46234	64.45	29.36	6.07	56.91	29.03	6.56
85	obj85-val46682	124.80	29.52	2.95	130.54	31.82	7.22
86	obj86-val47131	127.76	31.98	3.44	140.71	35.10	6.89
87	obj87-val47580	146.12	41.49	4.26	144.32	41.98	6.72
88	obj88-val48478	203.03	22.47	4.59	213.20	25.58	7.05
89	obj89-val48927	115.95	25.09	3.12	105.94	24.27	7.54
90	obj90-val49376	160.56	26.24	3.28	164.82	29.68	8.20
91	obj91-val49825	226.48	29.68	5.25	225.34	30.50	7.54
92	obj92-val50722	188.76	34.11	4.10	195.65	31.16	8.36
93	obj93-val51171	197.78	24.44	3.61	196.14	21.48	8.69
94	obj94-val51620	178.10	24.93	2.79	190.24	27.39	8.69
95	obj95-val52069	188.27	24.27	4.10	195.16	28.04	8.86
96	obj96-val52518	226.65	29.52	5.25	226.98	27.22	7.71
97	obj97-val53416	195.82	20.34	4.76	209.43	18.20	7.38
98	obj98-val53864	184.01	21.65	2.95	179.58	18.86	8.53
99	obj99-val54762	214.35	32.64	5.74	202.05	31.00	5.90
100	obj100-val55211	182.37	33.95	4.59	181.06	32.80	8.36
101	obj101-val56109	215.99	31.82	5.58	219.10	21.65	7.87
102	obj102-val56558	174.17	25.42	3.12	182.70	29.03	8.69
103	obj103-val57904	169.08	24.27	3.28	176.63	26.24	8.86
104	obj104-val58353	198.77	23.78	4.26	205.98	26.73	8.04
105	obj105-val58802	165.15	24.27	3.44	168.26	20.83	8.36
106	obj106-val59251	166.62	31.98	2.62	173.18	34.11	8.20
107	obj107-val59700	179.09	38.87	4.92	176.30	39.20	7.22
108	obj108-val61046	196.64	28.04	4.92	195.32	27.06	8.20
109	obj109-val61495	213.04	34.93	4.76	208.94	35.10	7.87
