 	objlabelArray	fx0array	fy0array	fz0array	fx1array	fy1array	fz1array
1	obj1-val2777	196.31	26.90	0	198.44	22.80	3.12
2	obj2-val3332	187.62	24.44	0.49	198.60	22.30	2.79
3	obj3-val3888	179.58	33.78	0.16	182.04	35.59	1.48
4	obj4-val4443	163.84	27.72	0.82	164.66	23.94	3.28
5	obj5-val4998	174.82	24.60	0.98	183.19	35.26	4.59
6	obj6-val5554	188.27	33.62	0.98	197.13	37.39	4.43
7	obj7-val6109	198.93	19.52	0.66	194.83	10.66	4.43
8	obj8-val6665	204.51	15.74	1.80	202.87	11.15	4.43
9	obj9-val7220	187.29	24.60	0.66	185.48	15.91	4.59
10	obj10-val7775	183.35	13.61	1.31	177.28	18.86	4.92
11	obj11-val8331	171.22	34.11	1.97	165.15	23.78	3.12
12	obj12-val8886	188.60	12.30	1.31	193.52	8.86	4.10
13	obj13-val9441	191.22	28.54	0.82	197.13	31.32	6.07
14	obj14-val9997	159.41	31.16	1.31	164.98	35.75	5.25
15	obj15-val10552	161.38	22.80	1.31	163.34	13.28	5.90
16	obj16-val11108	203.20	27.22	1.15	210.90	31.98	6.07
17	obj17-val11663	172.04	33.46	1.97	172.36	35.75	4.10
18	obj18-val12218	144.65	18.70	1.64	147.76	14.76	5.58
19	obj19-val12774	161.38	13.61	2.13	168.76	11.97	5.74
20	obj20-val13329	134.97	26.24	2.46	129.89	30.18	6.40
21	obj21-val13885	142.02	29.52	2.13	140.06	32.47	6.07
22	obj22-val14440	186.63	16.40	1.15	197.46	12.30	5.41
23	obj23-val14995	187.62	24.76	0.66	192.70	20.17	7.87
24	obj24-val15551	200.41	26.24	1.31	211.23	27.06	7.38
25	obj25-val16106	198.60	30.18	1.48	206.48	30.83	6.72
26	obj26-val16661	145.47	34.77	4.10	156.78	35.92	5.08
27	obj27-val17217	198.93	36.90	3.12	213.86	34.11	4.76
28	obj28-val17772	153.83	15.25	1.80	160.39	10.00	5.08
29	obj29-val18328	174.66	24.44	0.98	170.07	19.02	6.89
30	obj30-val18883	183.52	32.80	2.95	178.92	24.44	7.38
31	obj31-val19438	108.24	30.34	4.92	121.03	32.64	5.41
32	obj32-val20549	179.58	33.29	0.98	176.46	29.19	7.05
33	obj33-val21104	198.60	19.52	0.66	195.82	17.22	7.38
34	obj34-val21660	143.34	9.84	4.43	132.51	12.14	4.43
35	obj35-val22215	213.04	19.02	2.30	203.52	13.78	5.58
36	obj36-val22771	166.30	18.04	1.48	168.43	16.24	6.89
37	obj37-val23326	144.48	26.73	1.80	152.19	33.29	6.07
38	obj38-val23881	187.62	29.68	0.98	191.88	30.18	6.89
39	obj39-val24437	135.30	19.35	2.62	144.81	10.66	5.58
40	obj40-val24992	132.35	17.06	2.62	134.64	17.88	7.38
41	obj41-val25548	208.28	21.16	2.62	212.87	17.88	7.22
42	obj42-val26103	190.08	18.37	2.13	195.49	22.47	7.87
43	obj43-val26658	150.55	23.62	1.64	142.84	25.26	8.04
44	obj44-val27214	134.64	24.93	2.46	133.00	27.72	7.38
45	obj45-val27769	212.71	26.57	1.80	219.92	29.36	6.72
46	obj46-val28324	176.96	35.42	3.44	161.21	31.98	6.40
47	obj47-val28880	144.81	14.27	2.95	153.01	11.48	5.74
48	obj48-val29435	152.36	17.22	1.64	158.59	12.14	6.07
49	obj49-val29991	173.84	19.35	1.31	172.20	14.76	6.72
50	obj50-val30546	138.74	22.47	2.46	143.34	30.50	7.05
51	obj51-val31101	126.77	18.04	3.12	132.18	16.89	7.22
52	obj52-val31657	180.24	21.65	1.31	184.99	18.70	7.38
53	obj53-val32212	123.16	21.48	3.61	115.95	22.63	7.05
54	obj54-val32768	213.04	24.60	3.28	224.52	26.57	7.05
55	obj55-val33878	219.27	26.08	3.44	227.30	27.72	6.56
56	obj56-val34434	200.90	25.09	1.31	194.50	28.54	7.05
