 	objlabelArray	fx0array	fy0array	fz0array	fx1array	fy1array	fz1array
1	obj1-val1734	156.78	22.30	0	160.39	17.22	6.23
2	obj2-val2427	125.95	29.03	1.48	123	29.36	5.08
3	obj3-val2774	128.08	32.31	1.64	127.43	35.42	4.26
4	obj4-val3467	151.04	26.73	1.80	153.83	26.24	4.59
5	obj5-val3814	121.20	30.01	2.13	113.49	24.11	4.76
6	obj6-val4161	152.85	31.65	2.13	151.04	25.75	4.43
7	obj7-val4508	136.28	35.59	2.30	133.99	32.80	3.12
8	obj8-val4854	143.66	24.93	1.97	147.11	37.72	6.89
9	obj9-val5201	149.57	32.47	2.62	155.14	38.38	4.59
10	obj10-val5548	152.85	23.78	2.30	153.50	22.96	5.08
11	obj11-val5895	149.40	20.34	2.46	153.83	16.73	4.59
12	obj12-val6241	131.04	20.01	2.13	132.35	20.99	5.58
13	obj13-val6588	161.54	28.04	2.46	167.94	30.18	4.92
14	obj14-val6935	124.15	37.88	2.62	123.66	39.20	5.08
15	obj15-val7282	154.00	20.99	3.28	162.03	24.44	5.08
16	obj16-val7628	127.59	21.16	2.79	134.32	21.16	4.76
17	obj17-val7975	153.34	33.78	3.61	149.24	25.75	3.94
18	obj18-val8322	97.25	20.34	4.10	89.87	17.38	5.74
19	obj19-val9015	122.84	16.24	3.12	127.43	11.15	7.05
20	obj20-val9362	133.66	23.29	1.64	132.18	29.68	6.40
21	obj21-val10056	111.52	34.77	3.12	113.16	36.90	6.07
22	obj22-val10402	132.18	34.11	1.80	139.89	39.69	6.72
23	obj23-val10749	107.75	17.38	3.61	109.72	11.32	6.72
24	obj24-val11443	162.36	23.29	2.95	160.06	17.88	6.23
25	obj25-val12136	92.33	28.70	4.26	95.28	35.59	5.58
26	obj26-val12483	138.25	17.88	2.46	137.76	12.14	6.07
27	obj27-val13176	133.17	28.54	1.97	130.05	37.06	7.38
28	obj28-val13523	114.96	37.88	3.44	116.93	38.21	7.05
29	obj29-val13870	150.55	39.52	3.12	147.93	40.18	6.07
30	obj30-val14563	154.16	33.46	2.79	162.03	34.60	7.05
31	obj31-val14910	118.90	30.50	2.13	119.72	37.56	6.89
32	obj32-val15257	119.39	33.78	2.30	131.53	39.20	6.07
33	obj33-val15604	142.02	26.08	2.95	140.38	37.23	7.87
34	obj34-val16644	142.68	22.30	2.30	139.89	11.32	7.54
35	obj35-val16991	95.45	16.56	4.43	90.36	15.42	7.54
36	obj36-val17684	135.79	29.36	1.97	132.51	37.06	7.38
37	obj37-val18031	105.78	35.75	3.61	110.21	38.87	6.40
38	obj38-val18378	133.33	16.89	2.46	137.76	10.50	7.54
39	obj39-val18724	111.03	19.52	3.61	113.82	13.28	6.56
40	obj40-val19071	89.54	27.72	3.44	85.77	33.95	7.38
41	obj41-val19418	161.21	27.06	3.12	164.49	32.14	7.87
42	obj42-val19765	100.04	28.86	3.44	101.19	34.93	7.54
43	obj43-val20111	123.82	40.34	3.61	121.20	40.02	6.56
44	obj44-val20458	125.30	20.50	2.95	123.49	12.96	8.36
45	obj45-val20805	163.02	16.40	4.76	164.49	15.09	7.22
46	obj46-val21152	192.21	20.99	6.23	190.24	29.85	6.72
47	obj47-val21498	127.92	21.81	2.62	130.05	28.86	7.87
48	obj48-val21845	163.84	25.75	3.94	165.15	32.47	7.71
49	obj49-val22538	143.34	38.38	3.61	144.32	38.70	6.56
50	obj50-val23232	129.56	18.86	2.46	133.50	14.27	9.35
51	obj51-val23579	168.10	28.54	4.76	170.56	20.83	8.53
52	obj52-val23925	82.66	24.60	3.77	88.72	30.67	8.69
53	obj53-val24272	77.90	26.90	4.10	84.62	32.31	8.04
54	obj54-val24619	118.24	33.95	2.62	113.32	34.93	8.36
