 	objlabelArray	ACIMajor	ACIMinor	MajorAngle	Dap
1	obj1-val2507	6.73	3.78	10.30	2
2	obj2-val2865	8.73	5.10	69.57	2
3	obj3-val3223	7.00	5.74	61.86	3
4	obj4-val3581	5.24	4.15	22.11	2
5	obj5-val3939	8.28	6.58	58.47	2
6	obj6-val4297	12.07	5.92	40.53	4
7	obj7-val4655	7.93	3.18	5.83	2
8	obj8-val5014	7.37	6.21	3.43	2
9	obj9-val5372	3.63	2.23	28.61	2
10	obj10-val5730	8.05	3.31	29.48	2
11	obj11-val6088	9.29	5.78	1.71	3
12	obj12-val6446	7.91	5.98	9.09	2
13	obj13-val6804	6.82	3.45	40.60	2
14	obj14-val7162	5.08	2.32	32.35	2
15	obj15-val7520	7.05	5.82	53.97	2
16	obj16-val7879	10.29	4.42	28.54	3
17	obj17-val8237	7.49	6.47	79.38	3
18	obj18-val8595	12.53	5.56	49.09	4
19	obj19-val8953	5.73	5.30	82.87	3
20	obj20-val9311	8.40	4.88	8.97	4
21	obj21-val9669	8.51	4.63	29.60	3
22	obj22-val10027	8.71	5.90	4.69	3
23	obj23-val10385	7.31	4.19	5.83	2
24	obj24-val10743	6.08	3.88	16.70	2
25	obj25-val11102	8.02	4.02	8.91	3
26	obj26-val11460	6.99	4.57	36.12	3
27	obj27-val11818	6.08	4.21	15.38	3
28	obj28-val12176	7.83	5.64	83.66	3
29	obj29-val12534	6.79	4.61	11.31	2
30	obj30-val12892	7.86	6.40	20.67	3
31	obj31-val13250	8.32	4.60	27.47	3
32	obj32-val13608	6.72	3.02	34.70	3
33	obj33-val13966	6.89	5.21	63.97	3
34	obj34-val14325	8.84	6.28	17.40	4
35	obj35-val14683	9.20	6.23	19.06	3
36	obj36-val15041	8.20	5.09	37.87	3
37	obj37-val15399	7.88	4.55	29.43	3
38	obj38-val15757	7.26	4.22	35.17	2
39	obj39-val16115	8.91	3.87	5.81	3
40	obj40-val16473	5.39	3.08	60.46	2
41	obj41-val16831	9.21	6.56	45	3
42	obj42-val17190	7.40	3.78	6.71	2
43	obj43-val17548	7.51	4.29	32.74	3
44	obj44-val17906	5.56	2.93	80.79	3
45	obj45-val18264	7.20	1.82	25.35	3
46	obj46-val18622	7.07	5.45	30.34	3
47	obj47-val18980	5.10	4.15	32.28	3
48	obj48-val19338	12.06	2.79	7.77	3
49	obj49-val19696	4.74	3.31	21.80	3
50	obj50-val20054	7.47	3.78	12.41	3
51	obj51-val20413	6.92	2.94	27.15	4
52	obj52-val20771	9.37	4.73	4.76	4
53	obj53-val21129	5.56	2.95	31.70	3
54	obj54-val21487	4.40	2.90	8.13	2
55	obj55-val21845	5.53	3.35	9.46	2
56	obj56-val22203	7.81	6.07	83.42	3
57	obj57-val22561	8.39	5.06	22.01	3
58	obj58-val22919	7.51	5.09	30.26	3
59	obj59-val23277	6.99	2.00	78.44	3
60	obj60-val23636	12.08	2.01	2.39	3
61	obj61-val24352	4.61	1.54	9.46	3
62	obj62-val24710	5.26	3.51	9.46	3
63	obj63-val25068	5.17	4.39	35.54	2
64	obj64-val25426	5.56	4.83	68.75	3
65	obj65-val25784	4.04	1.95	65.10	3
66	obj66-val26142	10.04	5.05	7.02	2
67	obj67-val26500	5.93	3.81	5.57	3
68	obj68-val26859	4.46	2.66	16.70	3
69	obj69-val27217	9.59	5.41	6.84	3
70	obj70-val27575	7.28	3.09	23.36	3
71	obj71-val27933	6.50	2.84	15.02	2
72	obj72-val28291	6.35	3.34	83.93	3
73	obj73-val28649	8.07	2.61	42.77	3
74	obj74-val29007	4.51	4.08	51.34	3
75	obj75-val29365	8.13	4.54	65.82	3
76	obj76-val29724	5.97	4.09	79.92	3
77	obj77-val30082	6.82	3.31	67.29	3
78	obj78-val30440	5.65	3.08	16.14	4
79	obj79-val30798	7.55	4.29	9.27	3
80	obj80-val31156	5.25	2.57	11.98	2
81	obj81-val31514	6.32	3.41	57.03	3
82	obj82-val31872	6.36	3.00	5.08	2
83	obj83-val32230	8.54	3.34	5.19	3
84	obj84-val32588	5.92	4.49	10.30	3
85	obj85-val32947	6.11	3.20	67.29	3
86	obj86-val33305	6.66	4.06	69.59	3
87	obj87-val33663	5.01	2.45	32.74	2
88	obj88-val34021	6.98	1.66	15.15	3
89	obj89-val34379	4.28	3.92	40.03	4
90	obj90-val34737	10.34	3.62	45	4
91	obj91-val35095	7.06	3.33	20.96	3
92	obj92-val35453	5.78	3.68	25.91	3
93	obj93-val35811	4.71	3.43	18.97	2
94	obj94-val36170	5.88	3.83	56.66	3
95	obj95-val36528	7.15	4.68	48.37	3
96	obj96-val36886	4.77	3.16	64.13	4
97	obj97-val37244	6.69	3.24	18.03	3
98	obj98-val37602	8.09	3.15	16.80	3
99	obj99-val37960	5.14	4.28	71.08	3
100	obj100-val38318	3.76	2.46	5.91	3
101	obj101-val38676	4.47	3.77	70.97	3
102	obj102-val39035	13.11	3.41	20.47	4
103	obj103-val39393	7.03	2.59	11.31	3
104	obj104-val39751	6.41	3.04	18.82	3
105	obj105-val40109	6.13	3.72	58.30	3
106	obj106-val40467	6.35	4.99	60.26	3
107	obj107-val40825	6.37	3.80	6.63	3
108	obj108-val41183	4.16	2.40	25.71	3
109	obj109-val41541	8.07	3.05	18.43	4
110	obj110-val41899	6.80	3.69	23.36	2
111	obj111-val42258	4.37	1.96	19.03	3
112	obj112-val42616	7.35	3.37	8.65	3
113	obj113-val42974	4.26	2.59	63.43	3
114	obj114-val43332	8.91	5.16	7.39	3
115	obj115-val43690	5.82	4.09	67.38	3
116	obj116-val44048	3.63	1.53	27.55	3
117	obj117-val44406	9.49	3.59	2.56	3
118	obj118-val44764	2.65	2.30	15.52	3
119	obj119-val45122	5.48	4.45	66.30	4
120	obj120-val45481	4.92	4.62	59.62	3
121	obj121-val45839	3.75	2.07	68.63	3
122	obj122-val46197	1.33	0.75	26.57	1
123	obj123-val46555	3.96	3.25	64.23	3
124	obj124-val46913	4.04	2.33	81.87	2
125	obj125-val47271	5.03	3.96	50.01	4
126	obj126-val47629	6.37	4.22	87.21	3
127	obj127-val47987	3.40	2.23	18.43	2
128	obj128-val48345	4.58	2.97	41.35	4
129	obj129-val48704	5.88	4.31	55.92	3
130	obj130-val49062	4.77	2.81	23.20	3
131	obj131-val49420	7.55	1.12	50.91	3
132	obj132-val49778	5.05	3.31	75.96	3
133	obj133-val50136	5.99	2.93	11.59	3
134	obj134-val50494	6.12	2.79	6.17	3
135	obj135-val50852	6.59	3.82	12.09	3
136	obj136-val51210	5.35	4.22	52.52	3
137	obj137-val51569	6.00	2.10	34.88	3
138	obj138-val51927	4.92	3.53	63.43	3
139	obj139-val52285	4.21	3.16	28.18	3
140	obj140-val52643	3.91	3.33	40.60	3
141	obj141-val53001	6.61	3.94	87.21	2
142	obj142-val53359	4.15	3.29	54.25	3
143	obj143-val53717	4.91	3.96	76.37	3
144	obj144-val54075	5.79	3.03	25.20	3
145	obj145-val54433	4.66	2.98	14.47	3
146	obj146-val54792	4.02	3.45	33.18	3
147	obj147-val55150	5.83	4.47	64.06	3
148	obj148-val55508	8.29	6.25	6.12	3
149	obj149-val55866	2.96	2.07	11.31	3
150	obj150-val56224	3.55	1.64	53.13	4
151	obj151-val56582	4.22	2.39	60.75	3
152	obj152-val56940	7.76	4.82	75.43	4
153	obj153-val57298	6.41	2.32	6.79	4
154	obj154-val57656	3.34	1.40	56.31	3
155	obj155-val58015	5.29	1.91	4.90	3
156	obj156-val58373	2.95	2.38	13.39	3
157	obj157-val58731	2.27	1.00	23.63	2
158	obj158-val59089	5.89	5.33	76.29	3
159	obj159-val59447	4.82	4.18	39.17	3
160	obj160-val59805	3.39	1.98	71.57	3
161	obj161-val60163	3.41	1.89	45	3
162	obj162-val60521	5.05	3.90	10.30	3
163	obj163-val60880	2.17	0.55	12.99	1
164	obj164-val61238	3.71	2.79	66.50	3
165	obj165-val61596	4.58	2.94	64.29	3
166	obj166-val61954	5.90	2.69	51.34	3
167	obj167-val62312	4.83	3.96	46.08	3
168	obj168-val62670	2.54	1.65	11.89	3
169	obj169-val63028	2.49	1.38	45	2
170	obj170-val63386	3.74	3.39	75.47	3
171	obj171-val63744	4.88	3.54	66.57	2
172	obj172-val64103	6.04	3.62	17.53	3
173	obj173-val64461	6.18	4.25	74.25	3
174	obj174-val64819	2.30	1.16	50.71	2
175	obj175-val65177	5.30	3.92	30.38	3
176	obj176-val65535	5.77	1.82	83.66	2
