 	objlabelArray	ACIMajor	ACIMinor	MajorAngle	Dap
1	obj1-val3413	4.14	3.84	17.74	2
2	obj2-val4096	6.61	4.81	35.39	2
3	obj3-val5461	4.47	3.60	10.30	3
4	obj4-val6144	10.36	6.77	75.34	3
5	obj5-val6827	2.48	0.87	14.93	1
6	obj6-val8192	10.98	6.92	57.46	3
7	obj7-val8875	6.05	4.04	15.12	2
8	obj8-val9557	6.21	2.60	87.21	2
9	obj9-val10240	4.43	2.53	37.57	2
10	obj10-val10923	6.07	4.39	50.91	2
11	obj11-val11605	7.96	6.55	69.83	3
12	obj12-val12288	6.02	3.69	13.71	3
13	obj13-val12970	5.25	2.74	83.09	2
14	obj14-val13653	8.50	5.39	77.01	3
15	obj15-val14336	5.58	2.50	4.51	2
16	obj16-val15018	10.36	5.63	18.97	3
17	obj17-val15701	5.25	3.72	85.60	2
18	obj18-val16384	9.29	6.10	30.19	3
19	obj19-val17066	9.47	3.45	49.71	3
20	obj20-val17749	8.26	4.75	2.12	3
21	obj21-val19114	7.16	4.67	9.46	3
22	obj22-val19797	3.61	2.42	40.10	1
23	obj23-val20480	11.24	3.33	5.48	3
24	obj24-val21162	2.07	1.32	26.57	1
25	obj25-val21845	5.33	3.44	52.13	2
26	obj26-val23210	8.45	6.93	65.41	4
27	obj27-val23893	7.59	3.67	14.32	3
28	obj28-val24576	6.79	5.32	63.43	2
29	obj29-val25258	7.25	3.64	6.98	3
30	obj30-val25941	5.31	3.78	69.62	2
31	obj31-val26624	7.88	5.95	82.61	3
32	obj32-val27306	6.18	2.95	79.82	2
33	obj33-val27989	5.48	2.76	16.39	2
34	obj34-val28672	4.82	3.08	30.14	3
35	obj35-val29354	7.60	3.20	7.67	2
36	obj36-val30037	3.81	1.99	17.10	2
37	obj37-val30720	6.47	3.83	48.58	3
38	obj38-val31402	5.53	2.69	48.24	3
39	obj39-val32085	6.99	5.18	16.59	3
40	obj40-val32768	10.36	5.30	6.01	4
41	obj41-val33450	7.11	3.41	83.93	3
42	obj42-val34133	5.80	3.62	62.10	3
43	obj43-val34815	4.37	2.59	75.07	2
44	obj44-val35498	6.86	4.23	27.65	3
45	obj45-val36181	4.71	4.37	41.76	3
46	obj46-val36863	8.64	5.46	11.50	3
47	obj47-val37546	8.45	5.00	20.22	3
48	obj48-val38229	8.65	3.54	24.18	2
49	obj49-val38911	4.32	1.48	62.70	2
50	obj50-val39594	11.73	3.67	36.16	2
51	obj51-val40277	5.83	3.53	41.88	3
52	obj52-val41642	4.22	2.62	20.32	2
53	obj53-val42325	6.08	4.10	32.35	3
54	obj54-val43007	9.57	6.40	26.95	3
55	obj55-val43690	4.06	2.75	71.57	2
56	obj56-val44373	5.25	3.84	82.72	2
57	obj57-val45055	5.70	4.84	56.73	3
58	obj58-val45738	6.66	3.60	23.36	2
59	obj59-val46421	4.83	2.84	64.18	3
60	obj60-val47103	8.54	3.79	21.04	3
61	obj61-val47786	4.44	2.15	45	3
62	obj62-val48469	5.21	3.94	34.51	3
63	obj63-val49151	1.18	1.02	60.26	1
64	obj64-val49834	3.98	2.93	49.18	3
65	obj65-val50517	4.61	3.59	59.04	3
66	obj66-val51199	7.06	4.12	28.71	2
67	obj67-val51882	7.52	3.65	37.57	3
68	obj68-val52565	5.61	3.35	13.71	2
69	obj69-val53247	6.89	4.65	9.87	3
70	obj70-val53930	3.34	2.23	57.72	3
71	obj71-val54613	8.42	4.45	50.33	3
72	obj72-val55295	5.26	4.29	26.57	3
73	obj73-val55978	4.03	2.38	78.31	3
74	obj74-val56660	3.84	2.76	16.50	3
75	obj75-val57343	15.78	5.26	5.19	3
76	obj76-val58026	4.61	3.11	6.71	2
77	obj77-val58708	2.84	2.23	27.90	1
78	obj78-val59391	7.40	3.47	41.19	2
79	obj79-val60074	7.71	2.84	49.14	3
80	obj80-val60756	6.85	4.49	45.86	2
81	obj81-val61439	8.61	4.09	29.62	2
82	obj82-val62122	4.80	1.78	14.83	2
83	obj83-val62804	6.84	3.60	18.43	3
84	obj84-val63487	6.37	3.38	71.57	3
85	obj85-val64170	4.94	2.89	5.19	2
86	obj86-val64852	5.82	2.41	5.71	2
87	obj87-val65535	7.98	4.01	5.19	2
