 	objlabelArray	ACIMajor	ACIMinor	MajorAngle	Dap
1	obj1-val2643	7.88	6.33	22.17	3
2	obj2-val3171	5.47	4.74	3.09	2
3	obj3-val3700	8.13	4.87	28.95	2
4	obj4-val4228	7.51	3.14	2.12	2
5	obj5-val4757	6.69	5.03	16.82	3
6	obj6-val5285	7.58	6.97	76.83	2
7	obj7-val6342	11.35	7.75	24.38	4
8	obj8-val6871	9.06	5.76	26.16	3
9	obj9-val7399	8.13	6.02	80.36	3
10	obj10-val7928	4.34	2.62	36.47	2
11	obj11-val8456	8.80	5.96	80.87	3
12	obj12-val9513	6.54	4.43	22.38	2
13	obj13-val10042	7.77	4.80	68.20	3
14	obj14-val10570	3.95	3.75	41.50	2
15	obj15-val11099	7.40	6.46	6.98	3
16	obj16-val11627	10.82	4.74	14.62	3
17	obj17-val12156	6.33	2.63	66.45	2
18	obj18-val12684	8.77	3.64	60.26	3
19	obj19-val13213	9.54	5.76	53.97	3
20	obj20-val13741	5.27	3.58	85.91	2
21	obj21-val14270	6.38	5.30	45	3
22	obj22-val14798	8.65	5.26	15.80	3
23	obj23-val15327	6.68	4.28	26.57	3
24	obj24-val15855	7.27	4.58	70.87	3
25	obj25-val16384	11.44	4.39	38.66	3
26	obj26-val17441	4.14	2.22	15.42	2
27	obj27-val17969	5.90	4.01	35.71	2
28	obj28-val18498	6.49	3.53	6.48	2
29	obj29-val19026	9.66	2.66	8.97	2
30	obj30-val19555	4.26	2.09	38.05	2
31	obj31-val20083	6.37	4.77	16.31	3
32	obj32-val20612	8.83	4.91	73.44	2
33	obj33-val21140	9.21	3.07	81.87	3
34	obj34-val21669	9.02	4.46	2.82	4
35	obj35-val22197	5.34	3.01	54.09	3
36	obj36-val22726	6.48	4.44	32.28	3
37	obj37-val23254	5.64	4.97	55.89	2
38	obj38-val23783	6.50	3.24	69.72	3
39	obj39-val24311	8.85	6.44	56.94	4
40	obj40-val24840	6.21	2.34	18.92	2
41	obj41-val25368	6.63	5.37	52.88	3
42	obj42-val25897	8.86	3.11	34.56	3
43	obj43-val26425	5.42	3.79	10.71	3
44	obj44-val26954	7.81	3.95	45.74	3
45	obj45-val28011	6.70	4.08	34.99	3
46	obj46-val28539	5.91	3.50	2.54	3
47	obj47-val29068	5.30	4.53	33.31	3
48	obj48-val29596	5.63	4.71	7.31	3
49	obj49-val30125	9.75	3.66	19.00	3
50	obj50-val30653	4.62	1.53	79.11	2
51	obj51-val31182	9.09	6.22	17.53	3
52	obj52-val31710	5.03	3.41	77.12	3
53	obj53-val32239	6.25	5.36	6.48	3
54	obj54-val32768	6.83	1.87	19.23	3
55	obj55-val33296	7.89	3.55	3.12	3
56	obj56-val33825	8.05	3.54	11.73	2
57	obj57-val34353	5.83	2.62	42.80	2
58	obj58-val34882	6.37	4.31	11.59	2
59	obj59-val35410	6.27	4.14	9.93	3
60	obj60-val35939	9.26	3.14	20.46	3
61	obj61-val36467	4.83	2.86	3.37	2
62	obj62-val36996	7.25	2.41	8.13	2
63	obj63-val37524	4.16	4.02	42.51	3
64	obj64-val38053	6.45	4.02	5.08	2
65	obj65-val38581	5.98	3.50	18.85	3
66	obj66-val39110	5.80	2.06	20.73	3
67	obj67-val39638	5.00	1.97	30.14	3
68	obj68-val40167	5.82	4.19	40.76	3
69	obj69-val40695	7.06	2.90	7.77	2
70	obj70-val41224	2.90	1.52	69.78	2
71	obj71-val41752	5.83	3.30	29.20	3
72	obj72-val42281	6.54	3.57	20.85	3
73	obj73-val42809	5.14	2.62	39.17	2
74	obj74-val43338	8.60	3.75	33.41	3
75	obj75-val43866	7.10	3.09	33.34	2
76	obj76-val44395	5.04	2.49	31.26	3
77	obj77-val44923	4.59	1.96	11.69	3
78	obj78-val45452	3.57	2.33	41.99	2
79	obj79-val45980	4.39	1.98	32.62	2
80	obj80-val46509	4.59	1.61	66.57	3
81	obj81-val47037	4.92	2.91	12.34	3
82	obj82-val47566	9.23	2.69	6.24	3
83	obj83-val48094	7.80	3.60	21.41	3
84	obj84-val48623	6.78	2.39	28.50	2
85	obj85-val49151	5.70	2.79	66.80	3
86	obj86-val49680	6.97	2.69	65.66	3
87	obj87-val50208	4.80	0.94	50.60	2
88	obj88-val50737	7.63	3.88	30.76	3
89	obj89-val51265	7.07	3.94	7.43	3
90	obj90-val51794	8.01	3.45	4.24	4
91	obj91-val52322	6.97	4.51	13.74	2
92	obj92-val52851	4.80	4.19	70.02	3
93	obj93-val53908	3.84	2.84	10.12	3
94	obj94-val54436	8.99	3.34	25.71	2
95	obj95-val54965	4.23	2.91	21.80	3
96	obj96-val55493	8.53	2.52	20.90	2
97	obj97-val56022	6.46	4.79	2.49	3
98	obj98-val56550	3.77	2.03	4.24	3
99	obj99-val57079	4.97	2.33	74.74	2
100	obj100-val57607	2.70	1.62	19.44	1
101	obj101-val58136	4.62	2.28	77.28	2
102	obj102-val58664	4.11	2.48	25.71	3
103	obj103-val59193	4.71	3.69	8.13	3
104	obj104-val59721	2.03	1.47	58.39	2
105	obj105-val60250	6.34	4.18	18.43	3
106	obj106-val60778	7.11	2.68	6.79	2
107	obj107-val61307	4.57	2.68	19.03	3
108	obj108-val61835	3.40	1.27	20.85	2
109	obj109-val62364	8.46	4.51	16.39	2
110	obj110-val62892	5.88	3.67	23.39	2
111	obj111-val63421	8.06	2.90	15.95	3
112	obj112-val64478	5.42	2.95	18.43	3
113	obj113-val65006	NaN	NaN	NaN	3
114	obj114-val65535	NaN	NaN	NaN	3
