 	objlabelArray	fx0array	fy0array	fz0array	fx1array	fy1array	fz1array
1	obj1-val6144	49.69	25.58	0.16	45.76	25.42	2.30
2	obj2-val7168	155.80	22.14	2.46	154.49	14.92	2.62
3	obj3-val7680	163.34	30.34	0.98	158.42	35.42	5.08
4	obj4-val8704	94.79	19.84	1.31	84.79	17.06	3.77
5	obj5-val9216	145.47	20.99	1.31	144.98	18.20	3.61
6	obj6-val9728	89.87	21.48	1.15	78.39	18.04	3.28
7	obj7-val10240	44.94	20.34	0.49	54.12	21.16	1.80
8	obj8-val10752	77.24	24.60	1.80	68.55	25.09	2.62
9	obj9-val11264	121.03	38.54	1.31	128.74	29.68	4.26
10	obj10-val11776	92.99	15.42	1.80	104.80	13.61	3.12
11	obj11-val12288	67.08	20.66	1.48	54.78	21.81	1.97
12	obj12-val12800	145.80	21.48	1.15	142.68	23.12	3.44
13	obj13-val13312	78.72	22.80	0.98	84.46	21.65	2.95
14	obj14-val13824	105.78	14.10	1.64	113.98	12.46	3.61
15	obj15-val14336	141.37	20.34	1.80	147.44	12.79	5.41
16	obj16-val14848	94.46	27.88	2.30	82.98	28.86	2.95
17	obj17-val15360	82.98	25.09	1.48	81.67	26.90	4.26
18	obj18-val15872	118.74	13.78	2.13	123.33	13.28	4.43
19	obj19-val16384	99.88	19.52	1.64	106.27	14.92	4.59
20	obj20-val16896	81.51	21.48	0.98	75.28	20.17	4.10
21	obj21-val17408	165.48	23.29	2.13	170.72	11.81	7.05
22	obj22-val17920	96.76	20.99	0.98	99.55	18.37	5.08
23	obj23-val18944	167.61	26.57	1.97	161.54	31.82	4.92
24	obj24-val19456	162.52	21.98	1.97	162.85	12.14	6.56
25	obj25-val19968	94.63	21.81	1.48	85.44	18.37	4.26
26	obj26-val20480	92.50	24.60	1.64	88.07	25.91	4.59
27	obj27-val20992	174.50	8.04	2.79	176.14	10.50	5.74
28	obj28-val21504	106.76	20.17	1.48	119.39	14.27	4.59
29	obj29-val22016	177.94	20.17	2.46	175.97	11.48	6.40
30	obj30-val22528	101.68	30.67	2.79	109.39	31.00	4.92
31	obj31-val23040	147.27	23.29	1.80	152.68	13.94	6.89
32	obj32-val23552	107.58	21.81	1.80	114.47	17.71	5.74
33	obj33-val24064	180.56	11.48	2.62	179.74	11.48	6.23
34	obj34-val24576	182.04	19.02	2.30	187.29	20.50	6.40
35	obj35-val25088	165.80	31.98	2.62	164.49	33.62	5.41
36	obj36-val25600	160.56	21.48	2.95	147.44	17.22	7.22
37	obj37-val26112	114.31	23.29	2.30	124.97	15.25	5.25
38	obj38-val26624	102.50	24.11	1.80	107.91	17.88	5.58
39	obj39-val27136	91.68	30.18	2.95	103.32	28.86	4.76
40	obj40-val27648	118.90	28.86	2.95	123.66	31.82	6.23
41	obj41-val28160	177.45	10.82	2.95	178.76	10.50	6.23
42	obj42-val28672	185.48	23.29	3.28	189.58	25.26	7.22
43	obj43-val29184	134.64	20.66	1.80	141.37	12.79	5.90
44	obj44-val29696	182.70	25.26	2.79	187.29	28.70	6.23
45	obj45-val30208	146.29	25.42	2.30	152.19	31.49	7.38
46	obj46-val30720	180.73	17.06	3.12	184.01	14.27	7.54
47	obj47-val31232	157.28	32.14	3.28	148.09	34.44	6.23
48	obj48-val32768	102.01	24.60	1.97	110.54	27.06	6.23
