Nb	Obj	Type	Label	CX (pix)	CY (pix)	CZ (pix)	CX (unit)	CY (unit)	CZ (unit)	Xmin (pix)	Ymin (pix)	Zmin (pix)	Xmax (pix)	Ymax (pix)	Zmax (pix)	VolBounding (pix)	RatioVolbox	Vol (unit)	Vol (pix)	Surf (unit)	Surf (pix)	SurfCorr (pix)	Comp (pix)	Spher (pix)	CompCorr (pix)	SpherCorr (pix)	Comp (unit)	Spher (unit)	CompDiscrete	Feret (unit)	Ell_MajRad	Ell_Elon	Ell_Flatness	volEllipsoid (unit)	RatioVolEllipsoid	Moment1	Moment2	Moment3	Moment4	Moment5	DCMin (unit)	DCMax (unit)	DCMean (unit)	DCSD (unit)	
0	1	0	obj1-val3480	1241.799991807979	140.63279265994922	11.886376669124273	203.65519865650856	23.06377799623167	4.754550667649709	1213	107	1	1269	168	23	81282.0	0.3003617036982358	262.6555776	24414	437.42342400005384	9526.0	6314.422433333333	0.07798274573273725	0.4272347242212953	0.2677499237120118	0.6445299732192694	0.09322223726579193	0.45342645016534755	0.9683489484021268	10.866097450256348	4.706563584614112	1.1062002666789108	1.1498891001251839	310.36797593196303	0.8462715162906426	1002.846198519447	329044.6622376895	3.527146971600965E7	3.0564255048101217	0.03497200717599965	2.2679589187731315	5.9019071108423855	3.9454171709456953	0.6280994087049604	
1	2	0	obj2-val4060	1192.280808026177	155.66397144325157	15.312447605397658	195.53405251629306	25.528891316693258	6.1249790421590635	1163	119	0	1223	202	30	158844.0	0.2328007353126338	397.83487360000004	36979	572.5922240000672	12206.0	8057.940799999999	0.08504378910992864	0.4397588187670994	0.2955905064003243	0.66613690338249	0.0953502280288545	0.4568506553313095	0.974228944785322	14.113048553466797	6.691704081072464	1.355238230993329	1.3560058775652315	503.9714210644584	0.7893996702426438	1532.172639133294	694203.4023125299	9.299970423992462E7	3.381650087407403	0.025855828562288796	1.9238852031044495	7.843772219938691	4.724478914564259	1.103969173644082	
2	3	0	obj3-val4640	1168.415664044424	152.2179546506247	11.067908375751967	191.62016890328553	24.963744562702452	4.427163350300787	1152	132	0	1186	168	26	34965.0	0.24721864721864723	92.99560960000001	8644	209.6864639999877	4072.0	2552.067666666667	0.12515799057851892	0.5002109119257079	0.5083997566960238	0.7981204609033814	0.10608795463479269	0.4733935651124771	0.9686873320560764	10.651690483093262	5.032846627181879	1.8145706699744077	1.6143007671027474	100.46098881816722	0.9256887742596339	668.7652695675549	101028.30389559327	3695427.153514954	4.426947385377939	0.01235502168919136	1.2521553015764268	5.978723066076846	3.2263488046010775	0.9245631921009221	
3	4	0	obj4-val5220	1161.102492370295	92.40722278738555	13.18560528992879	190.4208087487284	15.154784537131231	5.274242115971516	1139	76	1	1188	112	31	57350.0	0.34280732345248477	211.51014400000005	19660	323.2230080000064	6578.0	4259.119766666667	0.15358110678448691	0.5355247357215228	0.5657959606056031	0.8270909729284333	0.14983317156890072	0.5311325679665809	0.9805667789907828	12.59489631652832	5.435100541520603	1.4766145799795463	1.3193070255656725	233.7928123815604	0.9046905328073387	945.7214637976265	254220.68546880884	2.001391537607E7	3.518160158518103	0.023661502668832827	2.0599015903599107	7.724928523303398	3.968104144450806	0.8449047763058639	
4	5	0	obj5-val5800	1297.3240064380338	121.74792621022657	16.966324130246377	212.76113705583757	19.966659898477157	6.786529652098551	1280	105	7	1317	138	26	25840.0	0.312577399380805	86.89559680000002	8077	186.5060479999904	3898.0	2544.0291666666667	0.12457389250853862	0.49943155662692484	0.4481116975984786	0.7652360600327317	0.1316343263302906	0.5086940742662897	0.9678016659855888	7.764363765716553	3.5249073466041105	1.2574887409747062	1.1686839415133794	99.2719193359837	0.8753290697030217	484.0032924449433	74065.65540928832	3608465.736668918	3.1628584909297612	0.03182567606623406	1.7274017775422876	4.195726749181672	2.789561868157178	0.4710065789496464	
5	6	0	obj6-val6380	1298.3353371478236	151.53748098790467	17.06145433475773	212.92699529224308	24.852146882016367	6.824581733903092	1269	123	4	1330	170	36	98208.0	0.28117872271098077	297.0824576	27614	451.35555200005274	9218.0	6013.921066666667	0.11010344383540922	0.47929248594513946	0.39649511735859483	0.7346479671389317	0.10855504768195222	0.47703509291289714	0.9766767565410267	13.902166366577148	6.18449344127194	1.4241561199496282	1.4461262655050113	337.8155003030151	0.879422221104484	1229.2391662531184	427229.07626472355	4.178581664316933E7	3.5368120097574636	0.022496747096624473	1.9187003416538133	8.387334186997139	4.364176196592605	0.983006764917746	
6	7	0	obj7-val6959	1364.9954969443552	165.59118687680927	22.298423930524283	223.85926149887425	27.156954647796724	8.919369572209714	1343	140	13	1389	192	35	57293.0	0.27132459462761593	167.23932800000003	15545	329.3749760000065	6942.0	4508.0221	0.08169208832161899	0.4339040415597824	0.29831542970477604	0.6681775898029886	0.08852325984614189	0.4456762423271259	0.9642051789318659	10.54105281829834	4.98393814365158	1.4448287107757836	1.171908400406561	211.9727945125038	0.7889660009654444	844.044322067875	212151.55385391598	1.645242801164332E7	3.3580278092404305	0.027361143328712437	1.318643552470774	5.932721088928711	3.5371892908144016	0.7769453301435255	
7	8	0	obj8-val7539	1164.342567196928	118.33927591881513	17.120680197476688	190.9521810202962	19.407641250685682	6.848272078990675	1148	107	10	1180	132	25	13728.0	0.2655885780885781	39.22512640000001	3646	115.73414400000063	2392.0	1512.3352333333332	0.10985053494033864	0.4789252248232024	0.4346518091232224	0.7574962674489064	0.1122526404492893	0.48239097245212775	0.9525454285948384	6.4368462562561035	2.7486148307281546	1.198495495627718	1.3071613004381437	46.32636776511415	0.8467127532829868	295.4474447628694	27364.54338342373	785825.7390253164	3.189864760169352	0.030470917750775105	1.0324505466474356	3.515789052115364	2.1264679755059923	0.4320533572813666	
8	9	0	obj9-val8119	1326.4854451148512	137.27691330581138	21.5747856462369	217.5436129988356	22.513413782153066	8.629914258494761	1310	117	10	1344	158	36	39690.0	0.2380196523053666	101.6346048	9447	227.98099199998333	4568.0	2880.372433333333	0.10589169948206394	0.4731014704301634	0.42237116996091323	0.7502939114498716	0.0985915426187402	0.4619697684423234	0.9650617610516475	10.478580474853516	4.479753958914181	1.3756339384319756	1.6679981686060603	119.30255393340272	0.8519063628489852	641.0736437398939	113953.51902265864	5211577.856974815	3.606517992798674	0.019780873402012438	1.2045745024080123	6.01246787423348	3.1009751887168298	0.798152941391202	
9	10	0	obj10-val8699	1294.6642936906755	196.55995254048017	20.223478503629256	212.3249441652708	32.23583221663875	8.089391401451703	1270	169	9	1319	216	35	64800.0	0.22111111111111112	154.14635520000002	14328	298.13887999999264	6244.0	4028.9968	0.09537506259064192	0.45689031504980576	0.355003595616352	0.7080722656615772	0.10140585871640552	0.46632426422570344	0.9671897190691443	11.51628589630127	5.981129420217272	1.936278143739687	1.2579080910609541	190.04383705465105	0.8111094660526773	954.5274670302857	212405.34282991616	1.3224441182983832E7	4.289546925591395	0.015205896828832707	1.2426427212393856	6.423295174356778	3.624699843861864	1.055887965438705	
