 	objlabelArray	fx0array	fy0array	fz0array	fx1array	fy1array	fz1array
1	obj1-val2829	136.78	26.57	0.82	127.59	24.60	3.28
2	obj2-val3300	123.33	22.47	1.80	125.79	34.93	2.79
3	obj3-val4243	101.19	17.38	0.98	101.52	18.53	3.61
4	obj4-val4715	133.99	28.54	0.82	127.10	28.04	5.25
5	obj5-val5186	107.58	20.34	1.48	108.24	19.02	3.44
6	obj6-val5658	139.07	33.13	2.79	144.16	24.44	3.12
7	obj7-val6129	137.43	31.65	1.15	132.68	32.14	5.58
8	obj8-val6601	139.24	23.45	1.15	140.88	18.04	5.74
9	obj9-val7072	90.04	25.58	2.13	98.40	24.60	3.28
10	obj10-val7544	140.71	38.54	1.80	136.45	40.67	5.41
11	obj11-val8015	126.28	16.07	1.97	134.97	9.84	4.76
12	obj12-val8487	119.56	23.29	1.80	120.70	13.78	5.90
13	obj13-val8958	121.69	31.98	1.80	126.44	32.96	5.41
14	obj14-val9429	126.44	35.75	2.13	132.84	39.85	6.40
15	obj15-val9901	151.37	29.68	2.13	155.47	29.36	6.23
16	obj16-val10372	74.29	34.44	4.26	88.56	39.85	5.41
17	obj17-val10844	138.58	18.53	1.48	142.35	12.63	6.89
18	obj18-val11315	110.04	19.52	2.46	119.06	14.10	6.23
19	obj19-val11787	67.57	29.36	3.28	63.47	35.59	5.90
20	obj20-val12258	80.52	26.08	2.62	89.38	36.41	6.23
21	obj21-val12730	70.68	33.29	2.79	69.21	35.59	6.72
22	obj22-val13201	122.02	22.47	2.13	128.74	12.96	6.40
23	obj23-val13673	127.59	20.66	1.64	131.36	14.43	6.89
24	obj24-val14144	157.44	24.76	3.61	163.18	22.80	6.56
25	obj25-val14616	118.74	34.28	2.62	126.44	39.69	6.72
26	obj26-val15087	134.48	20.01	1.15	139.07	16.24	7.38
27	obj27-val15559	132.51	16.07	2.62	143.34	12.30	6.89
28	obj28-val16030	100.70	20.83	2.30	93.97	15.58	6.89
29	obj29-val16502	82.66	23.12	2.79	92.33	15.58	6.23
30	obj30-val16973	103.48	18.04	1.80	110.54	15.25	6.40
31	obj31-val17445	117.92	32.31	2.30	121.85	34.60	8.04
32	obj32-val17916	69.21	38.70	2.95	69.37	35.92	6.89
33	obj33-val18388	143.83	13.94	2.13	155.31	15.09	7.05
34	obj34-val18859	80.85	25.91	2.95	90.36	33.46	6.72
35	obj35-val19330	95.12	32.80	2.79	97.58	35.42	7.87
36	obj36-val19802	104.14	21.98	1.97	108.40	16.73	7.54
37	obj37-val20273	76.42	24.27	3.12	85.61	26.08	8.36
38	obj38-val20745	142.68	31.98	2.79	148.58	27.88	9.18
39	obj39-val21216	113.16	31.49	2.62	118.24	37.72	7.38
40	obj40-val21688	98.07	35.59	1.64	106.76	39.85	6.23
41	obj41-val22159	106.93	22.80	2.13	113.65	19.84	8.36
42	obj42-val22631	68.88	22.47	3.61	82.66	16.40	7.71
43	obj43-val23102	110.37	26.40	2.62	119.39	24.11	8.04
44	obj44-val23574	148.26	24.27	2.13	151.04	25.91	9.02
45	obj45-val24045	106.27	30.67	2.13	111.19	33.29	8.04
46	obj46-val24517	134.15	36.74	2.95	141.37	32.31	9.02
47	obj47-val24988	125.46	35.10	2.95	127.76	36.24	7.87
48	obj48-val25460	99.06	32.80	3.61	110.21	37.72	6.56
49	obj49-val25931	125.79	36.74	3.77	135.14	38.38	7.54
50	obj50-val26403	68.88	18.37	3.61	76.42	13.28	7.54
51	obj51-val26874	144.81	17.55	2.95	142.19	16.40	8.36
52	obj52-val27346	125.30	23.78	3.94	127.92	16.40	7.71
53	obj53-val27817	99.55	22.80	2.30	95.61	19.52	8.20
54	obj54-val28288	113.65	26.57	3.61	123.16	30.50	8.69
55	obj55-val28760	96.76	27.06	3.28	87.58	29.03	7.54
56	obj56-val29231	108.90	28.04	3.12	119.88	32.96	8.20
57	obj57-val29703	87.25	35.59	2.79	96.43	37.56	7.38
58	obj58-val30174	141.04	35.26	2.46	151.70	37.56	8.04
59	obj59-val30646	146.62	17.38	2.95	148.91	16.73	8.53
60	obj60-val31117	80.03	20.66	3.61	90.36	15.09	7.22
61	obj61-val31589	131.69	20.50	2.30	133.33	16.73	8.20
62	obj62-val32060	107.91	26.73	2.95	115.78	17.55	8.04
63	obj63-val32532	136.28	21.48	2.46	135.79	22.47	9.18
64	obj64-val33003	103.16	22.80	2.62	107.58	20.66	8.69
65	obj65-val33475	134.81	27.06	2.79	133.00	28.54	9.35
66	obj66-val33946	165.15	26.90	5.08	155.64	28.70	9.84
67	obj67-val34418	121.20	29.85	2.62	126.44	29.85	8.69
68	obj68-val34889	146.45	34.60	2.95	150.39	28.86	9.35
69	obj69-val35361	76.42	15.25	3.94	84.62	14.27	7.38
70	obj70-val35832	122.18	22.63	2.30	121.03	20.66	8.53
71	obj71-val36304	107.58	27.39	3.12	114.96	27.88	8.86
72	obj72-val36775	136.28	26.90	2.30	141.37	29.03	9.35
73	obj73-val37247	61.17	26.90	4.10	56.25	31.49	7.71
74	obj74-val37718	140.71	32.47	2.95	146.29	27.55	9.35
75	obj75-val38189	154.32	33.95	3.61	152.52	29.36	9.51
76	obj76-val38661	141.20	34.93	2.62	146.94	31.98	9.02
77	obj77-val39132	61.17	17.22	3.44	68.72	12.79	6.89
78	obj78-val39604	163.18	19.68	5.25	170.40	19.19	8.36
79	obj79-val40075	136.45	27.72	1.97	137.27	33.13	9.02
80	obj80-val40547	122.18	20.66	3.44	117.59	17.88	8.04
81	obj81-val41018	69.04	18.86	3.61	74.29	16.40	8.36
82	obj82-val41490	152.03	20.50	3.61	152.68	26.57	9.84
83	obj83-val41961	145.96	25.42	2.62	145.80	24.60	9.68
84	obj84-val42433	50.02	25.26	4.76	41.33	26.90	7.87
85	obj85-val42904	157.77	33.78	5.08	164.16	36.08	8.53
86	obj86-val43376	154.82	33.62	3.44	156.13	31.98	9.68
87	obj87-val43847	152.36	19.19	3.12	154.82	19.35	9.18
88	obj88-val44319	97.09	26.40	3.77	86.76	25.26	8.04
89	obj89-val44790	121.52	25.58	3.61	125.13	21.48	8.53
90	obj90-val45262	138.58	24.76	3.28	142.02	23.94	9.51
91	obj91-val45733	107.58	26.73	2.95	103.81	23.62	8.69
92	obj92-val46205	46.90	31.32	6.40	33.46	27.06	7.54
93	obj93-val46676	101.35	26.57	3.61	92.17	27.22	7.87
94	obj94-val47147	55.92	29.68	4.59	46.58	31.16	7.38
95	obj95-val47619	65.44	27.88	4.59	61.83	34.11	7.71
96	obj96-val48090	99.55	28.54	2.95	102.50	33.78	8.53
97	obj97-val48562	165.15	36.74	5.41	171.87	32.47	8.86
98	obj98-val49033	134.32	37.72	3.28	143.99	36.41	8.04
99	obj99-val49505	58.88	18.20	4.43	47.23	16.89	7.54
100	obj100-val49976	70.03	22.30	3.28	81.84	17.71	8.69
101	obj101-val50448	50.18	21.65	4.92	41.16	22.96	8.20
102	obj102-val50919	74.62	26.40	3.28	86.10	29.36	7.87
103	obj103-val51391	104.80	30.01	2.95	109.72	27.88	8.86
104	obj104-val51862	94.63	24.60	3.61	91.84	17.55	8.20
105	obj105-val52334	63.47	22.14	4.26	55.10	18.37	8.20
106	obj106-val52805	127.10	24.27	3.44	133.99	22.96	9.35
107	obj107-val53277	75.11	23.45	3.77	88.07	20.50	9.02
108	obj108-val53748	31.00	24.27	7.22	41	19.02	7.71
109	obj109-val54220	98.89	26.08	2.95	94.96	20.01	8.36
110	obj110-val54691	67.40	23.62	4.10	54.78	20.99	8.04
111	obj111-val55163	155.96	22.80	3.94	153.34	28.04	9.84
112	obj112-val55634	71.34	26.40	3.77	82	29.36	8.69
113	obj113-val56106	126.77	31.49	4.92	132.02	32.80	8.86
114	obj114-val56577	155.31	19.02	4.59	159.74	26.24	9.84
115	obj115-val57048	70.03	25.58	3.94	64.45	24.93	8.86
116	obj116-val57520	72.16	30.34	3.12	74.13	34.60	8.86
117	obj117-val57991	171.87	25.42	5.58	181.22	23.12	9.02
118	obj118-val58463	70.36	25.91	3.77	77.57	32.47	9.35
119	obj119-val58934	36.24	18.20	7.54	21.81	16.56	7.87
120	obj120-val59406	68.06	20.99	3.61	65.76	20.17	9.35
121	obj121-val59877	67.90	23.62	3.77	79.70	26.24	8.36
122	obj122-val60349	74.29	28.54	2.95	83.48	35.59	8.20
123	obj123-val60820	125.62	25.58	4.10	133.33	26.24	9.51
124	obj124-val61292	146.45	21.65	4.43	149.57	24.76	10.00
125	obj125-val61763	166.46	27.39	6.07	169.74	30.83	9.18
126	obj126-val62235	155.31	16.24	4.43	163.51	21.65	9.68
127	obj127-val62706	165.31	29.19	6.07	158.42	30.50	9.84
128	obj128-val63178	163.51	23.45	6.07	164.66	30.34	9.84
129	obj129-val63649	171.05	22.80	5.90	180.24	21.48	9.18
130	obj130-val64121	170.72	23.12	5.90	166.62	26.40	10.00
131	obj131-val64592	167.77	25.91	5.25	175.64	24.60	9.68
132	obj132-val65064	169.90	28.04	6.40	182.53	28.37	9.51
133	obj133-val65535	180.73	27.22	7.38	188.60	25.26	9.51
