 	objlabelArray	fx0array	fy0array	fz0array	fx1array	fy1array	fz1array
1	obj1-val2643	129.07	22.30	1.80	117.75	15.25	2.13
2	obj2-val3171	86.76	15.91	0.66	81.84	16.56	3.77
3	obj3-val3700	118.74	16.24	1.64	108.57	20.99	2.79
4	obj4-val4228	110.21	23.62	1.64	121.85	22.47	3.12
5	obj5-val4757	120.05	25.91	0.16	125.30	31.32	5.08
6	obj6-val5285	129.56	24.44	0.66	130.38	30.83	4.92
7	obj7-val6342	112.67	27.39	1.64	126.28	33.46	5.74
8	obj8-val6871	137.27	21.81	2.13	149.24	15.09	5.58
9	obj9-val7399	93.32	23.78	1.48	94.63	34.93	5.08
10	obj10-val7928	133.66	31.65	1.80	135.96	31.32	4.92
11	obj11-val8456	99.22	27.22	1.80	101.02	36.57	5.25
12	obj12-val9513	132.18	15.42	1.64	135.79	6.56	4.92
13	obj13-val10042	166.62	7.22	3.94	173.18	18.70	4.92
14	obj14-val10570	128.25	17.71	1.97	129.72	11.15	5.58
15	obj15-val11099	126.77	16.89	1.31	121.85	14.60	6.40
16	obj16-val11627	86.10	24.44	1.97	81.18	16.73	7.38
17	obj17-val12156	86.43	27.88	1.97	88.07	33.78	5.90
18	obj18-val12684	107.75	17.71	1.80	111.52	14.92	6.72
19	obj19-val13213	112.67	17.06	1.15	113.98	20.83	6.72
20	obj20-val13741	104.80	18.20	2.13	107.26	11.15	6.23
21	obj21-val14270	87.41	21.48	1.97	81.84	16.73	7.38
22	obj22-val14798	128.41	19.68	1.97	137.60	16.56	7.22
23	obj23-val15327	79.70	24.93	2.62	88.56	31.98	6.23
24	obj24-val15855	87.90	22.96	1.97	92.33	33.78	5.74
25	obj25-val16384	70.36	27.39	3.77	83.97	31.65	5.08
26	obj26-val17441	129.89	32.96	2.62	135.63	31.49	5.90
27	obj27-val17969	36.08	40.51	3.61	33.78	34.44	6.40
28	obj28-val18498	95.61	10.00	3.61	107.26	9.02	5.08
29	obj29-val19026	83.31	34.93	3.77	73.14	33.62	4.59
30	obj30-val19555	117.75	15.58	2.46	115.29	12.30	7.22
31	obj31-val20083	149.73	20.99	1.64	153.83	25.42	7.22
32	obj32-val20612	100.04	26.73	2.79	102.34	35.10	5.90
33	obj33-val21140	105.94	25.58	1.31	111.68	35.10	6.07
34	obj34-val21669	112.01	11.81	2.30	128.74	11.15	5.41
35	obj35-val22197	131.69	14.43	2.13	137.43	13.28	6.72
36	obj36-val22726	140.22	21.81	2.46	149.40	18.86	7.22
37	obj37-val23254	164.66	25.42	3.94	172.04	28.54	5.90
38	obj38-val23783	103.98	28.04	1.48	105.62	29.03	7.71
39	obj39-val24311	108.08	22.63	1.97	116.77	35.59	5.90
40	obj40-val24840	81.34	15.09	2.95	88.72	10.17	5.90
41	obj41-val25368	96.92	16.73	1.80	98.56	15.74	7.54
42	obj42-val25897	70.36	19.52	3.12	78.88	14.43	7.22
43	obj43-val26425	92.82	25.42	1.31	89.71	24.60	7.38
44	obj44-val26954	102.34	23.94	2.13	110.21	31.16	6.89
45	obj45-val28011	137.10	19.52	2.62	146.78	14.76	6.40
46	obj46-val28539	126.12	23.45	1.80	128.25	26.73	8.04
47	obj47-val29068	135.46	28.37	2.62	142.84	24.44	8.04
48	obj48-val29596	100.53	25.42	2.46	93.15	24.27	7.05
49	obj49-val30125	151.04	26.90	2.95	163.02	30.18	5.90
50	obj50-val30653	97.09	30.01	2.62	91.84	31.98	6.72
51	obj51-val31182	142.68	31.49	2.46	157.77	35.42	5.25
52	obj52-val31710	88.40	22.63	1.80	83.80	17.55	7.87
53	obj53-val32239	103.65	19.02	2.13	105.78	19.52	7.71
54	obj54-val32768	107.91	22.14	1.97	112.34	20.66	8.36
55	obj55-val33296	135.63	28.54	2.62	144.98	33.46	6.72
56	obj56-val33825	66.91	13.78	4.76	78.56	11.48	5.58
57	obj57-val34353	153.18	18.53	3.28	158.10	22.30	7.22
58	obj58-val34882	158.75	26.08	3.28	165.64	21.32	7.05
59	obj59-val35410	102.17	20.99	2.62	96.27	21.98	8.20
60	obj60-val35939	71.18	26.08	3.28	83.80	29.52	6.72
61	obj61-val36467	73.96	35.75	5.41	66.09	34.93	5.74
62	obj62-val36996	111.68	10.33	4.76	122.18	10.00	5.74
63	obj63-val37524	79.38	18.86	2.46	83.48	12.79	6.72
64	obj64-val38053	62.16	18.86	3.77	65.76	13.94	7.22
65	obj65-val38581	135.79	23.62	2.79	142.35	19.02	7.38
66	obj66-val39110	75.11	22.47	2.46	82.49	19.02	8.53
67	obj67-val39638	87.25	23.12	1.80	83.31	24.93	8.04
68	obj68-val40167	144.32	29.19	2.79	143.99	26.08	7.87
69	obj69-val40695	146.62	29.03	3.44	153.34	28.86	7.22
70	obj70-val41224	155.80	30.83	1.80	159.24	32.31	6.56
71	obj71-val41752	97.42	19.68	2.62	89.87	16.89	7.71
72	obj72-val42281	68.22	23.12	3.44	78.72	17.88	7.87
73	obj73-val42809	160.56	26.40	3.61	156.78	26.08	7.54
74	obj74-val43338	65.76	27.88	3.77	76.59	32.31	6.89
75	obj75-val43866	66.58	34.11	5.90	55.60	31.32	6.72
76	obj76-val44395	103.16	15.74	3.61	110.54	17.22	7.87
77	obj77-val44923	101.02	20.01	2.79	94.79	19.35	8.04
78	obj78-val45452	140.22	23.45	4.43	145.30	20.01	7.54
79	obj79-val45980	147.11	26.24	3.12	149.24	27.22	7.87
80	obj80-val46509	115.62	26.40	2.79	112.18	30.01	7.71
