Nb	Obj	Type	Label	CX (pix)	CY (pix)	CZ (pix)	CX (unit)	CY (unit)	CZ (unit)	Xmin (pix)	Ymin (pix)	Zmin (pix)	Xmax (pix)	Ymax (pix)	Zmax (pix)	VolBounding (pix)	RatioVolbox	Vol (unit)	Vol (pix)	Surf (unit)	Surf (pix)	SurfCorr (pix)	Comp (pix)	Spher (pix)	CompCorr (pix)	SpherCorr (pix)	Comp (unit)	Spher (unit)	CompDiscrete	Feret (unit)	Ell_MajRad	Ell_Elon	Ell_Flatness	volEllipsoid (unit)	RatioVolEllipsoid	Moment1	Moment2	Moment3	Moment4	Moment5	DCMin (unit)	DCMax (unit)	DCMean (unit)	DCSD (unit)	
0	1	0	obj1-val2412	921.4516208554172	124.54739307284605	13.540490570689018	151.11806582028842	20.425772463946753	5.4161962282756075	896	103	7	946	145	23	37281.0	0.21761755317722165	87.28289920000002	8113	227.1360639999824	4810.0	3123.7480333333338	0.0668929110926018	0.40593866921130795	0.24422343668350516	0.6250706579815428	0.07352794244683525	0.41893937670692516	0.9483854826921725	9.074244499206543	4.71860214237023	1.4722663500073085	1.8964642818202648	107.05605363887555	0.8153009216501209	657.9644413143237	111154.7914562776	4196548.134511863	3.8947237484077046	0.01473278796308013	0.7478563828895853	4.8510149839397885	2.9473145720357232	0.8113101869424452	
1	2	0	obj2-val2814	1107.2558193309696	172.5871743486974	13.399028826884539	181.58995437027903	28.304296593186375	5.359611530753816	1074	147	6	1130	195	23	50274.0	0.2580657994191829	139.5794816	12974	307.0263679999974	6396.0	4084.245266666667	0.07275700200940877	0.4174700377534034	0.2794246511701427	0.6537648585363539	0.07613222285230631	0.42382822584328433	0.9586326091859998	10.51198959350586	4.269137309008775	1.2446158122819688	1.1918955639285689	176.52252305342188	0.7907176896500533	711.4993695019551	159946.0404216395	1.1409589016977772E7	3.1650133474213242	0.03167717488933345	1.5091089143236924	6.093999418127515	3.274757878660488	0.7178954998650552	
2	3	0	obj3-val3216	948.6595417145891	96.79447934176767	13.21923383172609	155.5801648411926	15.874294612049898	5.287693532690437	915	67	0	985	130	31	145408.0	0.38866499779929575	608.0109760000001	56515	619.2469440000581	13578.0	9138.911166666669	0.14430202456812424	0.5245148096859124	0.47325637165027057	0.7792894974493073	0.17606928319457024	0.5604817166754472	0.9856416400954255	12.996391296386719	5.630318481132092	1.0507016957591095	1.087590041400656	622.6778026421555	0.9764455604810051	1574.4226037771869	821445.4537942159	1.419699786169595E8	3.0176155018389257	0.03637747644726494	4.1536235096238965	7.3080971631783935	5.140877141222688	0.3994396619726439	
3	4	0	obj4-val3618	1064.9771140761686	192.76248122293893	12.99178227445436	174.65624670849166	31.613046920561985	5.196712909781745	1047	165	7	1086	222	23	39440.0	0.2869421906693712	121.75281280000002	11317	257.0785279999762	5670.0	3819.1633666666667	0.0794631594454646	0.4299213136768281	0.26002212154554455	0.6382685307648904	0.09867632495394334	0.46210215172094843	0.9592216280145156	10.597184181213379	4.567881186639465	1.5566055626718212	1.1202640743935641	147.08060931401135	0.8277964945063732	675.539313203601	131996.60324482148	7921010.505817354	3.457311419121663	0.025693821658657398	1.5046332208605002	5.896359471855317	3.10285173508958	0.7578181724030728	
4	5	0	obj5-val4021	1065.4082728447847	137.8273839117033	13.128169434224917	174.72695674654472	22.60369096151934	5.2512677736899676	1047	114	5	1088	163	26	46200.0	0.21768398268398267	108.1972288	10057	235.59059199998194	4920.0	3176.1647666666668	0.09604924721136131	0.45796433849075135	0.35700985309060046	0.7094036207958362	0.10125368041676854	0.46609087899010093	0.9630824660243544	8.722172737121582	3.7628397373810114	1.0858736630412866	1.3861379324977274	136.5433976234906	0.7924017615142895	602.6311330959049	115275.22756745438	6826705.358839153	3.150410458864159	0.031192951202924483	1.6291302593259964	5.2185778684349735	3.0115729426010116	0.6103856721977025	
5	6	0	obj6-val4423	1089.2555231346394	201.24468528553564	13.657982492705294	178.63790579408087	33.004128386827844	5.463192997082118	1075	185	6	1105	220	23	20088.0	0.23884906411788132	51.6188032	4798	148.30716799999541	3180.0	2121.4624	0.08096391509560524	0.43261097288291167	0.2726885132197574	0.6484685946085926	0.09238081935931457	0.45205812712710824	0.9456018427542274	7.844987392425537	3.269854250981616	1.303212891920548	1.337840349990959	64.45234865512398	0.800883199403724	381.18589424438665	43911.47984930972	1521063.1466276294	3.308990871396853	0.0274622919875602	0.9455816428338788	4.609683520289491	2.3322505353831047	0.6104099962358096	
6	7	0	obj7-val4825	1108.3031697695342	119.84061180704548	15.62641013218908	181.7617198422036	19.65386033635546	6.250564052875632	1070	85	6	1132	152	33	119952.0	0.24091303187941843	310.8962432000001	28898	438.36675200005396	9728.0	6613.4303	0.1025928893523408	0.4681367653639154	0.3265183584988329	0.688603461500092	0.12976886286159203	0.5062796392217717	0.9756893851860705	12.467809677124023	5.341552908689162	1.1804238318762121	1.2483399965401298	367.0137778055477	0.8470969266029027	1155.3537210902794	424462.9559878872	4.932129655560806E7	3.1447790720169397	0.031980819077108154	2.1825507243912674	7.168763096069123	4.1798217901990835	0.8267198302450988	
7	8	0	obj8-val5629	1199.9444102383675	115.6508048201249	15.033512182249979	196.79088327909227	18.966731990500485	6.013404872899992	1180	98	5	1216	138	30	39442.0	0.28824603214847117	122.31224960000003	11369	226.45119999998343	4632.0	2982.9430333333335	0.14709274552756318	0.5278745151789341	0.5507595391737737	0.8196982526346549	0.14570296917059067	0.5262067476783215	0.9754781039333066	10.479362487792969	4.350230495359564	1.3905348765843768	1.353459285472759	131.7699634625724	0.9282255711844474	633.0788061955834	117024.81956541841	6357737.601481179	3.4248185670560156	0.02505701167907456	1.7026984144047212	6.105746101738267	3.211874541243332	0.6525798385118299	
8	9	0	obj9-val6031	998.2808539347501	119.32229772059178	15.35174208471881	163.718060045299	19.56885682617705	6.1406968338875245	967	95	7	1031	146	26	67600.0	0.3069674556213018	223.24755840000003	20751	356.41136000002103	7976.0	5390.920166666668	0.0959787298541866	0.4578522352034768	0.31084345884563314	0.6774032006112973	0.12450052855072909	0.49933349586062736	0.9712842662858064	10.768619537353516	4.974840788906001	1.2622301491407135	1.326630302408188	244.00523033870277	0.9149293975793507	912.9484783588298	255739.1955178786	2.1800578589270923E7	3.2590816689240536	0.028650302558969838	1.8972936053965113	5.5172548581469645	3.673068901652942	0.698229042206238	
9	10	0	obj10-val6433	905.3789808917197	100.5328025477707	16.01751592356688	148.48215286624205	16.487379617834396	6.407006369426752	889	85	10	921	113	27	17226.0	0.18228259607569952	33.78137600000001	3140	113.80944000000122	2378.0	1539.1707999999999	0.0829232125300036	0.4360728685334028	0.3058096759967858	0.6737266720064757	0.08755323254397965	0.4440423724218905	0.9378230830702393	7.0828537940979	3.089731022381387	1.478843481834426	1.2331525258657645	45.81306927009972	0.7373742152230719	311.98139856684116	28202.129279088855	768508.2351331962	3.4512427089642355	0.025308267944601434	0.6922452452854156	4.698559539054567	2.1171607637491556	0.6328283063445214	
