 	objlabelArray	fx0array	fy0array	fz0array	fx1array	fy1array	fz1array
1	obj1-val3413	175.32	37.23	0.16	176.79	34.93	3.44
2	obj2-val4096	176.46	25.09	0	179.42	29.03	3.61
3	obj3-val5461	180.24	29.03	0.33	181.55	31.98	5.74
4	obj4-val6144	201.72	25.58	1.31	206.15	14.43	4.26
5	obj5-val6827	181.88	22.30	1.48	183.68	21.48	4.10
6	obj6-val8192	195.16	23.62	0.82	192.21	12.63	5.41
7	obj7-val8875	180.40	33.78	1.64	185.65	35.92	4.76
8	obj8-val9557	198.28	14.43	2.62	198.93	23.12	2.62
9	obj9-val10240	213.36	17.88	1.80	217.96	19.84	6.23
10	obj10-val10923	212.71	25.09	1.64	214.84	21.32	4.92
11	obj11-val11605	186.14	22.30	1.48	191.22	15.74	5.74
12	obj12-val12288	170.23	21.48	2.13	179.09	28.37	5.41
13	obj13-val12970	173.18	31.00	1.31	172.86	28.70	4.92
14	obj14-val13653	185.48	24.60	0.98	184.17	29.19	6.72
15	obj15-val14336	200.90	15.42	1.97	203.52	11.97	4.76
16	obj16-val15018	209.26	30.67	2.13	220.58	27.55	5.58
17	obj17-val15701	175.81	29.03	1.64	179.25	32.96	5.58
18	obj18-val16384	166.30	15.42	1.48	175.97	9.35	5.90
19	obj19-val17066	180.56	19.19	2.46	190.24	13.12	5.74
20	obj20-val17749	163.51	26.40	1.97	174.82	32.31	5.90
21	obj21-val19114	161.70	30.34	1.31	166.95	31.32	6.72
22	obj22-val19797	220.09	30.18	3.12	218.28	33.62	5.58
23	obj23-val20480	180.89	6.40	3.61	167.61	7.54	4.59
24	obj24-val21162	204.34	12.63	3.77	208.12	13.28	4.92
25	obj25-val21845	208.61	18.86	2.13	210.90	15.58	5.90
26	obj26-val23210	171.87	19.84	1.31	181.38	12.46	6.56
27	obj27-val23893	154.82	29.03	2.30	162.36	31.82	6.23
28	obj28-val24576	207.95	21.65	2.62	204.18	18.53	7.05
29	obj29-val25258	172.69	21.48	1.64	176.14	18.70	7.87
30	obj30-val25941	218.61	19.68	3.28	218.78	22.14	6.89
31	obj31-val26624	194.83	25.58	2.46	185.98	28.37	7.05
32	obj32-val27306	165.48	15.42	2.30	168.59	13.45	7.05
33	obj33-val27989	144.65	14.76	3.61	151.21	11.64	5.90
34	obj34-val28672	168.59	23.94	1.64	174.17	20.66	7.87
35	obj35-val29354	127.26	30.34	4.43	117.75	32.31	5.90
36	obj36-val30037	171.54	33.29	2.13	167.28	32.14	6.56
37	obj37-val30720	165.31	9.68	3.28	152.52	16.40	6.89
38	obj38-val31402	170.23	17.55	1.64	174.50	18.53	7.87
39	obj39-val32085	162.03	26.08	1.48	157.44	27.72	7.38
40	obj40-val32768	199.42	34.60	3.12	218.45	34.44	5.25
41	obj41-val33450	152.52	20.83	2.30	156.95	10.33	6.07
42	obj42-val34133	160.39	20.17	1.97	161.54	16.07	7.71
43	obj43-val34815	221.24	27.88	3.44	222.22	22.63	6.56
44	obj44-val35498	148.58	24.60	3.44	157.28	30.50	6.89
45	obj45-val36181	203.85	28.70	1.97	211.07	30.01	7.38
46	obj46-val36863	194.83	27.72	1.64	202.70	33.95	6.89
47	obj47-val37546	197.29	36.08	4.10	212.54	32.47	6.40
48	obj48-val38229	133.99	19.35	3.61	143.01	13.78	5.90
49	obj49-val38911	211.56	19.52	3.12	215.00	19.02	6.89
50	obj50-val39594	197.46	14.27	2.62	203.03	17.06	7.05
51	obj51-val40277	157.60	20.50	2.46	154.32	22.80	7.87
52	obj52-val41642	221.73	23.94	3.61	227.14	22.63	6.72
53	obj53-val42325	160.23	25.26	1.48	164.33	23.45	8.04
54	obj54-val43007	137.76	29.85	4.43	151.37	28.21	7.22
55	obj55-val43690	130.38	23.12	4.10	137.10	30.67	7.05
56	obj56-val44373	181.88	14.92	3.77	188.93	17.88	7.22
57	obj57-val45055	146.94	20.83	2.46	150.39	15.74	7.22
58	obj58-val45738	123	15.58	5.74	113.16	18.70	6.56
