Nb	Obj	Type	Label	CX (pix)	CY (pix)	CZ (pix)	CX (unit)	CY (unit)	CZ (unit)	Xmin (pix)	Ymin (pix)	Zmin (pix)	Xmax (pix)	Ymax (pix)	Zmax (pix)	VolBounding (pix)	RatioVolbox	Vol (unit)	Vol (pix)	Surf (unit)	Surf (pix)	SurfCorr (pix)	Comp (pix)	Spher (pix)	CompCorr (pix)	SpherCorr (pix)	Comp (unit)	Spher (unit)	CompDiscrete	Feret (unit)	Ell_MajRad	Ell_Elon	Ell_Flatness	volEllipsoid (unit)	RatioVolEllipsoid	Moment1	Moment2	Moment3	Moment4	Moment5	DCMin (unit)	DCMax (unit)	DCMean (unit)	DCSD (unit)	
0	1	0	obj1-val4810	259.1612576064909	136.2007268424611	8.165906017579445	42.502446247464505	22.336919202163624	3.266362407031778	225	122	0	290	152	18	38874.0	0.3043679580182127	127.2933888	11832	254.23673599997645	5714.0	3957.6031666666668	0.08486878549481713	0.4394569658178787	0.2554300338140808	0.6344888389017229	0.1115190747612194	0.4813378754616162	0.9617167894463726	11.05654525756836	5.371617386481828	1.9511836140887853	1.140160095006611	149.56903218359162	0.8510678109072143	785.6835675394254	148985.160820148	8191305.349210865	4.143356726960679	0.01688923993270295	1.5189534176784278	5.765597549346786	3.238831589388882	0.9340922635915735	
1	2	0	obj2-val6012	916.1392488262911	103.2262441314554	17.031455399061034	150.24683680751176	16.929104037558687	6.812582159624414	886	75	6	952	151	35	154770.0	0.13762357045939136	229.15392000000003	21300	459.05830400005624	10198.0	7050.557400000001	0.04838007724625455	0.3643811965112519	0.1464000491352599	0.527044243417621	0.061390816798546695	0.3944889788795378	0.9546421965239323	15.519205093383789	8.308479705028255	2.1978006300867285	1.2657129008286263	392.9537922579288	0.5831574208338138	1714.8015751830503	597811.1704712983	5.653959812774184E7	4.918851616526376	0.011212723065225146	0.40830954936484054	8.73289457931107	4.498947586785795	1.6988650139105415	
2	3	0	obj3-val6614	814.5295274646198	111.72353082273926	15.024850083952986	133.58284250419766	18.32265905492924	6.009940033581195	790	82	5	838	152	31	93933.0	0.22191349153119777	224.258848	20845	453.0532800000505	9874.0	6573.747633333334	0.05104777339306947	0.3709591022987869	0.1729884430799373	0.5571930576112495	0.06116510285854896	0.39400491667832116	0.955781120362948	14.03328800201416	7.658988126452451	2.2677413184696453	1.0379412418986065	352.5680730928927	0.6360724782385884	1499.3790363129763	487621.4649727386	4.551512216481234E7	4.610415365247541	0.013502724585024686	0.5747863473710639	7.771666004527302	4.201767681241159	1.4482110992974495	
3	4	0	obj4-val7215	896.1547564861174	73.63677742375967	21.09399180700956	146.96938006372326	12.076431497496586	8.437596722803823	874	67	12	917	83	30	14212.0	0.30917534477905995	47.2724096	4394	132.5316800000006	2628.0	1733.3081666666667	0.1203085232420505	0.49366511478256636	0.41931956721866	0.7484826015358484	0.10856972651150587	0.47705659350752	0.9588607945224884	7.416144371032715	3.645330338388567	1.129267665804143	2.849128522517254	55.84617479266176	0.8464753365025752	464.61193555420675	58371.90972314155	1141975.0385766313	3.698084432790914	0.011386376084454345	0.8241597088145802	4.197748882098374	2.5407771488766024	0.7348636854088434	
4	5	0	obj5-val7816	992.6039781591263	106.40366614664586	19.15421216848674	162.78705241809672	17.450201248049922	7.661684867394697	961	77	3	1022	141	36	137020.0	0.187125967012115	275.84537600000004	25640	485.8900160000663	10266.0	6770.2682	0.06872023490735976	0.40960187194400866	0.23959116273081632	0.6210934249464536	0.07501875700643906	0.42175184999503806	0.9660288483955641	16.73948097229004	7.857015971609292	2.0441833595576546	1.4652128751877087	331.834145391855	0.8312748396469594	1550.1801647631578	497120.06132700475	4.031919879950172E7	4.833960103743235	0.010823441313426987	1.742692296392243	8.572072381819698	4.552024143251238	1.4825713466748247	
5	6	0	obj6-val8417	937.4004303923192	75.66114881642112	20.176791921867242	153.73367058434036	12.408428405893064	8.070716768746896	916	65	8	961	88	29	24288.0	0.24872364953886694	64.99149440000001	6041	160.55993599999536	3224.0	2047.7025	0.12316432910442407	0.49754070630094915	0.48069484349050345	0.7833511544508267	0.11541276896187881	0.4868758869029068	0.9639819359256752	9.019163131713867	4.041936608935885	1.3471013033656105	2.063131513608397	73.88047121451464	0.879684351380148	510.3944711285176	69352.6249136252	1998614.6295426907	3.756202688550007	0.015031806562236925	1.0890590174228183	4.917183443903624	2.7306901001553654	0.7387508291828638	
6	7	0	obj7-val9019	639.5655678412732	120.34091143949571	22.291309290069236	104.8887531259688	19.735909476077296	8.916523716027696	614	104	15	658	138	32	28350.0	0.3413403880070547	104.10903680000001	9677	214.13414399998553	4482.0	3012.0931666666665	0.11763005469732343	0.4899740461759262	0.3875508136671441	0.7290817337870289	0.1248450895790613	0.4997937140268476	0.9682430801285604	8.578269958496094	3.9737631047585693	1.2230678820435694	1.4280711216436888	123.03921374212473	0.8461451730193914	586.0161866152976	104736.42842151468	5543152.7061605295	3.278849356911925	0.027544063244430986	1.5162949529840648	4.664543995569637	2.9598933770334774	0.6187558837629299	
7	8	0	obj8-val9620	1012.5537848605578	134.3591249038932	21.5389669392605	166.05882071713148	22.034896484238484	8.6155867757042	977	102	13	1036	160	31	67260.0	0.21271186440677967	153.92042880000002	14307	342.32441600000834	7458.0	5019.336866666667	0.055806192224970415	0.3821447357635889	0.18306718198820274	0.5678106039549112	0.0667930499278254	0.4057365667960281	0.952348996889963	10.787788391113281	4.381547736020803	1.0668704492847192	1.485933203085445	208.32844479909673	0.7388353949861934	812.4565677785637	207115.01821472307	1.5891573181326343E7	3.187048820584275	0.02963237293349274	0.9888849273122011	6.573260128526919	3.322275352607388	0.9212574720892214	
8	9	0	obj9-val10221	965.4832671582529	87.94930516165627	21.578204764605786	158.33925581395349	14.423686046511628	8.631281905842314	938	73	7	995	111	35	65598.0	0.2150065550778987	151.7364736	14104	291.44636799999205	5952.0	3886.3522666666668	0.1066960162801232	0.47429628766675225	0.3832749908657748	0.7263905083064109	0.10518562803223869	0.47204760022427433	0.9698046783435779	13.043624877929688	6.499122335630436	1.8272234918922547	1.9339459353948312	178.08406262302066	0.8520497082392215	1083.2860638061354	248835.7367145366	1.1612343067606894E7	4.715997434817151	0.009134617984034043	1.2910397800608964	6.850580068233054	3.8474948911730142	1.2236901344824216	
9	10	0	obj10-val10822	874.426466710613	93.5295978905735	20.987046802900462	143.40594054054054	15.338854054054055	8.394818721160185	834	74	6	911	127	37	134784.0	0.2251009021842355	326.40985600000005	30340	498.97328000007167	10692.0	7191.762933333333	0.08517392797454094	0.43998301890953695	0.27988359089558446	0.65412258711356	0.09699448284908553	0.4594617351562143	0.9724444719451905	14.56725788116455	6.701334525972078	1.171272745844009	2.193269035626002	418.95222327115414	0.7791099745250454	1569.8869796917784	690629.1277923849	6.426858637928899E7	3.568550803647337	0.016610916109108857	1.1334989581611887	7.971030837853669	4.69175923070813	1.307256650493033	
